"cluster_index","features","M.Z","RT","Annotation","Cosine.Score","No..of.Shared.Peaks","Mass.Diff..to.Library.Reference","ppm.error","Analog.","Nearest.Neighbors","Proximity","classes","CF_superclass_score"
2,"X387.181_2.767",387.181,2.767,NA,NA,NA,NA,NA,"No","smenospongidine","First Analog","no matches",0
5,"X404.207_2.768",404.207,2.768,NA,NA,NA,NA,NA,"No","smenospongidine","First Analog","no matches",0
14,"X409.162_2.768",409.162,2.768,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
17,"X624.388_3.054",624.388,3.054,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.944878,7,82.151,116272,"Yes","Self-Loop","Self-Loop","no matches",0
23,"X638.403_3.073",638.403,3.073,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.948735,7,68.1358,96436,"Yes","Self-Loop","Self-Loop","no matches",0
24,"X287.018_2.395",287.018,2.395,"Massbank:EA018510 Sulfathiazole|4-Amino-N-2-thiazolylbenzenesulfonamide|4-amino-N-(1,3-thiazol-2-yl)benzenesulfonamide",0.959135,7,30.9974,121074,"Yes","Spectral Match to Sulfachloropyridazine from NIST14","First","Benzenoids",0.233333333
25,"X489.228_2.768",489.228,2.768,NA,NA,NA,NA,NA,"No","[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate","First Analog","no matches",0
30,"X110.021_6.211",110.021,6.211,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
35,"X637.306_3.32",637.306,3.32,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
39,"X105.07_2.767",105.07,2.767,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
