filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,X452.242_2.457,X468.308_2.823,X468.309_2.821,X476.242_2.484,X480.345_2.967,X482.36_2.968,X482.361_2.958,X492.308_2.804,X494.324_2.861,X494.325_2.865,X496.34_2.935,X496.341_2.924,X496.341_2.926,X502.257_2.547,X506.324_2.987,X506.36_3.003,X506.361_3.016,X508.303_3.007,X508.304_3.001,X508.34_3.061,X508.376_3.076,X510.319_2.774,X510.32_2.768,X510.355_2.988,X510.356_2.983,X510.392_3.083,X510.392_3.088,X518.322_2.93,X518.323_2.92,X518.325_2.837,X520.341_2.89,X522.355_2.966,X524.371_3.05,X524.372_3.04,X524.373_3.132,X534.319_2.722,X536.335_2.7,X536.335_2.767,X536.336_2.744,X538.351_2.803,X538.352_2.737,X538.387_3.102,X538.388_3.104,X542.323_2.885,X542.324_2.718,X544.305_2.627,X544.305_2.706,X546.353_3.044,X546.354_3.034,X546.356_2.933,X550.387_3.072,X550.388_3.072,X552.402_3.174,X552.403_3.173,X560.335_2.722,X560.335_2.774,X566.38_3.055,X566.382_3.018,X568.341_2.887,X570.356_2.935,X572.372_2.972,X584.335_2.714,X584.335_2.79,X594.377_3,X596.391_3.062,X596.393_3.06,X600.33_2.645,X600.33_2.731,X600.33_2.804,X600.331_2.658,X648.423_3.138,X648.424_3.067,X674.437_3.128,X674.439_3.065,X674.439_3.163,X674.439_3.237,X698.437_3.068,X706.538_3.9,X706.538_3.951,X706.538_4.03,X706.538_4.076,X716.485_3.266,X720.443_2.989,X720.444_3.034,X720.445_3.09,X732.555_3.343,X734.568_4.907,X734.569_3.073,X734.569_4.31,X734.569_4.399,X734.569_4.504,X734.569_4.824,X734.569_5.591,X734.569_5.603,X734.57_3.377,X734.57_4.45,X734.57_4.559,X734.57_4.658,X734.57_4.702,X734.57_5.605,X734.571_3.043,X744.554_5.58,X744.59_5.59,X746.51_3.501,X746.568_3.653,X746.568_3.705,X748.527_3.337,X748.62_3.417,X754.537_3.679,X756.551_3.414,X758.571_5.594,X758.571_5.632,X760.583_5.072,X760.584_4.341,X760.584_4.578,X760.584_4.674,X760.584_4.778,X760.584_4.836,X760.584_4.943,X760.584_5.512,X760.584_5.607,X760.584_5.636,X760.585_4.148,X760.585_4.737,X760.585_5.61,X760.586_3.367,X760.586_5.601,X762.506_3.463,X762.506_3.572,X762.599_3.268,X762.599_3.341,X762.599_3.749,X762.599_5.596,X762.6_3.212,X766.536_3.971,X766.537_3.976,X766.573_4.054,X766.574_4.106,X766.574_4.17,X768.553_3.263,X768.553_3.284,X768.588_5.586,X768.589_4.124,X772.548_3.502,X772.584_3.341,X772.584_4.226,X772.62_3.336,X772.62_3.348,X772.62_3.374,X774.599_3.283,X774.599_3.587,X774.6_3.438,X774.6_5.602,X774.601_5.586,X776.558_3.324,X776.578_3.558,X778.537_3.629,X778.537_3.785,X780.517_3.358,X780.553_3.716,X782.567_3.55,X782.568_3.34,X782.568_5.56,X782.569_3.91,X782.569_4.084,X782.569_4.198,X782.569_4.312,X782.57_3.269,X782.57_4.015,X782.57_5.591,X784.584_4.164,X784.584_4.252,X784.584_5.594,X784.585_5.595,X786.563_3.567,X786.599_5.438,X786.599_5.596,X786.599_5.653,X786.6_4.389,X786.6_4.521,X786.6_4.602,X786.6_4.95,X786.601_3.279,X786.601_3.393,X786.601_5.59,X786.601_5.631,X786.602_5.6,X788.521_3.624,X788.522_3.689,X788.616_3.191,X788.616_3.75,X788.616_5.598,X790.572_3.358,X792.552_4.231,X792.553_3.269,X792.553_3.274,X792.553_3.389,X792.553_3.906,X792.554_3.351,X792.554_3.915,X792.554_3.989,X792.554_4.048,X792.554_4.114,X792.554_4.169,X792.554_4.53,X792.554_5.593,X792.555_4.362,X792.589_3.261,X792.589_3.314,X792.589_3.329,X792.589_3.367,X792.589_4.032,X792.589_4.09,X792.589_4.167,X792.589_4.249,X792.589_4.299,X792.59_5.594,X792.59_5.628,X794.604_3.247,X794.604_3.274,X794.604_3.326,X794.604_3.361,X794.604_4.185,X794.604_5.596,X794.605_5.605,X796.582_3.602,X796.582_5.568,X798.563_3.38,X798.563_3.515,X802.595_3.81,X804.553_3.651,X804.589_3.537,X804.589_3.596,X804.589_3.656,X804.589_3.798,X804.61_3.784,X804.61_3.876,X806.53_3.404,X806.532_3.537,X806.532_3.587,X806.569_3.835,X806.569_5.586,X806.57_3.157,X806.57_3.256,X806.57_3.303,X806.57_3.362,X806.57_3.848,X806.57_3.972,X806.57_4.101,X806.571_4.175,X808.547_3.517,X808.548_3.613,X808.58_3.363,X808.584_3.271,X808.584_3.334,X808.584_3.586,X808.584_4.008,X808.584_4.102,X808.584_4.204,X808.584_4.337,X808.585_5.595,X808.586_4.577,X810.6_3.201,X810.6_4.069,X810.6_4.289,X810.6_4.625,X810.6_4.678,X810.6_4.741,X810.6_4.806,X810.6_4.843,X810.6_4.952,X810.6_5.007,X810.6_5.077,X810.6_5.216,X810.6_5.504,X810.601_3.479,X810.601_3.669,X810.601_3.752,X810.601_3.809,X810.601_4.362,X810.601_4.413,X810.601_4.46,X810.601_4.511,X810.601_4.568,X810.601_5.6,X810.602_5.596,X812.611_3.352,X812.614_3.487,X812.614_3.571,X812.615_3.579,X814.631_3.254,X814.631_3.702,X816.646_3.398,X816.646_3.609,X816.647_3.49,X816.647_3.739,X826.594_3.683,X826.595_3.726,X830.553_3.623,X836.615_3.699,X836.616_3.594,X836.617_3.659,X852.549_3.694,X854.537_3.527,X854.538_3.484,X862.624_3.581,X882.569_3.692,X882.57_3.622
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,DPI_50,LA,A1,P121,0,0,4.96E-05,0,0,0,0.000432201,0,0.000813006,0,0.035510599,0,0,0,0,0,0,0,6.20E-05,0,0,0,0,0,0.000481262,5.21E-05,0,0.000320063,0,0.000195955,0.015909683,0,0,0.029202795,0,0.00018978,0,0.000509297,0,6.28E-05,2.23E-05,0,0.00017429,0,0,0,0,0.000144296,0,0.000233622,0,0.000119001,0,3.41E-05,0.000109354,0.000116941,0,0.000103967,0.006377891,0.000551349,0.000105518,0.000294364,0.000252312,0.001495183,0,4.59E-05,4.54E-05,2.70E-05,0,0,2.00E-05,0,0,0.000287356,0.000380804,0,0,0,0,0,0,2.87E-05,0,2.02E-05,0.000110338,0,0,0,0,0,0,0,0,0,0.001102698,0,0,0,0,0.003901493,0,0.000261657,0,0,0,0,0,0,0,2.73E-05,0.002058213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009204721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002191378,0,0,0,0,0,0,0,0,0,0,0,0.000511633,0,0,0,0,0,0,0.001534899,0,0,0,0,0,0.000885429,0,0.000151203,6.92E-05,0.000689186,0,0,0,0,0,0,0,0,0,0.001950747,0.001976445,0.002453035,0,0,0,0,0,0,0,0,0,0,0,0,0.000310718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429865,0.00133632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48E-05,0,0,0,3.25E-05,0.00010099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001857298,0,0,0,0,0,0,0,0,0,0,0.00013062,0.000145139,0,0,0,0,0,0,0,0,0,0
X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML,501,Group1A,naive,DPI_50,LV_bottom,A1,P133,0,0,0,0,0.000234941,0,0.000917902,0,0.000494255,0,0,0,0.077276403,0,0,0,0,0,0,0,0,0,0,0,0.000757073,0,0,0,0.001478843,0,0.008119906,0,0,0.036127699,0,7.16E-05,9.73E-05,0,3.15E-05,0,0,0,0.000217636,0,0,0,0,0,0.000631548,0,0,3.90E-05,0,0,0,0,0,6.36E-05,0.016200586,0,8.51E-05,0.000263719,0,0.001121881,0,0,0,0.000302576,0,0.000269898,0,0.000194299,0,0,0.000203626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000682543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E-05,0,0,0,0,0,0.000136992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000411879,0,0,0,0,0,0,0.000240345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145803,0.000186768,0,3.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,naive,DPI_50,LV_top,A1,P129,0,0,0.000101947,0,0.000547909,0.00078919,0,0,0.001075711,0,0.082689005,0,0,5.41E-05,0,2.18E-05,0,0,0,0,0,3.96E-05,0,0.000990257,0,0,0,0.000623309,0,0.000296575,0.016512668,0.009450172,0.039962163,0,0,0.000316681,0.000469995,0.000221917,0,0.000119087,0,0.000351868,0,0,0,0,0,0.000434808,0,0.000243939,0.000281494,0,0,0,0.000177795,0.000316681,0,0.000151233,0.037700154,0.002915479,0.000492615,0.000997797,0,0.000934964,0,0.000172195,0.00072133,0.000995284,0,0,2.04E-05,0,0,0,0.001324532,0,0,0,0,0,0,0.000122916,1.83E-05,6.14E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0.002538477,0,0,0,0,0.001136031,0,0,0,0,0,0,0,0,0,0,0.001239078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001862388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119866,1.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170153,0,0,9.57E-05,0,0,0,0.000175024,0,0,0.000578069,0.000222029,0,0,0,0.000229818,0,0,0,0,0,0,0,0,0.001686454,0,0.001095818,0,0,2.68E-05,0,0,0,0,0,0,0,0,0,0.000152779,0,0.000502669,0.000213029,0,0.00015599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144771,0.000118596,0,0,0,0,0,0,0,0,0,0,0,0.002143882,0,0,0,0,0,0,0.000495129,0.000997797,0,0,0,0,0.000174882,0,0,0,0,0,0,9.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,DPI_50,RA,A1,P125,0,0,4.32E-05,0,0.000126266,0,0.000280111,0,0.000559362,0,0.02682531,0,0,0,0,0,0,0,0.000234103,0,0,0,0,0,0.000396966,2.99E-05,0,5.88E-05,0,3.36E-05,0.005473326,0,0,0.028208678,0,0.000158885,0.000312761,0.000161309,0,0,2.54E-05,0,0.000185619,0,0,0,0,0.000108706,0,0.000115816,0,0.000114959,0,0,0.000148348,8.69E-05,0,0.000145696,0.005262813,0,0.000117363,0.000249697,0,0.002204367,0,0.00016146,2.55E-05,6.07E-05,0,0,0.000152255,0,0,0,0.00092024,0,0,0.000393959,0,0,0,6.09E-05,0,0.000134794,0.000318776,0,0,0,0.001052563,0.001139775,0,0,0,0,0.000676647,0.000799948,0,0,0,0.001094665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002772751,0.000905204,0,0,0,0,0.000502223,0,0,0,0,0,0,0.002102118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000805962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004962081,0,0,0,0,0,0,0.000860094,0,0,0,0,0,0,0,0,0.000339827,0.000203864,0,0.000384937,0,0.000339827,0,0.001305178,0,0,0,0.000787918,0,0,0,0,0,0,0,0,0.001001438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289463,0.000360879,0.000120451,0,0,0,0,0,0,0,0,0,0,0.004450836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275424,0.000646574,0,0,0,0,0,0,0.001109702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363886,0.001208943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147822,4.86E-05,0,0,0,0,0,0,0,0,0,0
X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML,501,Group1A,naive,DPI_50,RV_bottom,A1,P141,0,0,0,0,5.36E-05,0,0.000175903,0,0,0.000505058,0,0,0.042693777,0,0,0,0,0,0,0,0,0,0,0,0.000174702,0,0,0,0.001332099,0,0.013254386,0,0,0.012188707,0,0,0,0,7.61E-05,0,0,0,0,0.000337113,0,0,0,0,0.000287741,0.000138706,0,0,0,0,0,5.56E-05,0,0,0.025642908,0,0.000213938,0,0,0.001272155,0,0,0,0.000402706,0,5.47E-05,0,0,0,0,0.000284918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380473,0.000217283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,501,Group1A,naive,DPI_50,RV_top,A1,P137,0,0,0,0,0,0,0,0,0,0,0,0,0.029713808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000737593,0,0.004859275,0,0,0.005598016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009357387,0,0,0,0,0.001649855,0,0,0,0,0,0,0,0,0,0,7.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000461181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000437832,0,0,0,0,0,0,0,0.000509101,0,0,0,0,0,0,0,0,0.000147076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,DPI_50,LA,A2,P121,0,0,0.00014792,0,0.000409237,0,0.000671148,0,0.001007466,0,0.048066697,0,0,0,0,0,0,0,4.11E-05,2.23E-05,0,0.000121432,0,0,0.000785734,7.14E-05,0,0.000238101,3.81E-05,0.000115033,0.009434763,0,0,0.033185367,0,0.000385426,0.000465786,0.00042263,0,0.000172623,0.00015179,0,0.000428582,0,4.21E-05,0,0,7.75E-05,0,0.000111312,0,0.000217267,0,0.000117563,0.000133486,0.000239589,0,0.000166671,0.005625143,0.000620551,0.000168159,0.000212803,0.000602694,0.001254496,0,0.000130212,0.000312508,0.000224708,0,0,0.00013423,0,0,0,0.001005978,0,0,0,0.00028721,0,0,0.00024703,4.43E-05,6.74E-05,0.00018304,0,0,0,0.000584836,0.000754483,0.001636946,0,0,0,0,0.000584836,0.00062948,0.000342271,0.000276793,0.002261962,0,0,0.000437511,0,0,0,0,0,0,0,0,0,0,0.003824502,0.001607184,0.000909249,0,0,0,0,0,0,0,0.001592302,0.009315713,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24E-05,0,0,0,0,0,0,4.61E-05,0,0,0,0,0,0,0.000108485,0.000171135,0,0.000875022,0,0,0,6.85E-05,0,0,0,0.001047646,0,0,0,0,0,0,0.001711353,0,0,0,9.27E-05,0,0,0,0,0.000992585,0.001080385,0,0.000191969,0,0.003958434,0,0.002782809,8.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001074432,0,0,0,0,0,0,0,0,0,0.00015923,0.000118158,4.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000403284,0.001830404,0.000413701,0,0,0,0,0,0,0,0,0,2.84E-05,0,0,0,0,0,0,0.004732263,0,0,0,4.00E-05,0,0,0,0,0,0.0022322,0,0,0,0,0,0,0,0.002663758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001148839,0.000373521,0.001154791,0,0,0.001696472,0,0,0,0,0,0,0,0,0,0,0,0.000415189,0.000793175,0,0,0,0,0,0,0,0,0,0
X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML,502,Group1A,naive,DPI_50,LV_bottom,A2,P133,0,0,5.15E-05,0,0.000360062,0,0.000447264,0,0.00074544,0,0,0,0.077638291,0,0,0,0,0,0,0,0,0,4.48E-05,0,0.000779196,0,0,0,0.000939536,0.000180977,0.012883456,0,0,0.034880971,0,0.000317867,0.000393817,0,0.000221547,0.000105855,0,0,0.000278246,0,0,0,0,0.000269039,0,0.000103641,0,0.000181481,0,0,9.74E-05,0.000200994,0,0.000169964,0.01991591,0,0.000260856,0.000711684,0.001324914,0.001763739,0,0.000148399,0,0.000790448,0,0.000708871,0,0.000357249,0,0,0.000900154,0.000236306,0,0,0,0,0,2.88E-05,0,0,0.000244479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001774991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002312271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04E-05,0,0,0,0,0.000150095,0.000265985,0.000133305,0.000118366,0,0.000436012,0.000562596,0,0,0,0.000284111,0,0,0,0,0,0,0,0,0,0,0,0,0.00068918,0,0,0,0,0,0,0,0,0,0,0,0,0.000158598,0.000483833,0.000250817,0,0,0,0.00015254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18E-05,8.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000950788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,naive,DPI_50,LV_top,A2,P129,0,0,6.58E-05,0,0.000935528,0,0.000824584,0,0.000908542,0,0.093552832,0,0,0,0,2.76E-05,0,0,0,2.74E-05,0,0,0,0.001100445,0,2.46E-05,0,0.000818587,0.000117938,0.00025929,0.017571141,0,0.042578533,0,0,0.000209101,0.000326835,0.000233472,0,0,0,0.000347825,0,0,0,0,0,0.00035682,0,0.000179172,0.000256255,0,2.12E-05,0,0,0.000296828,0,6.18E-05,0.0380808,0.002893541,0.000428784,0.000479758,0,0.000677658,3.33E-05,0,0.000467764,0.000758618,0,0,0,0,0,0,0.00057571,0.000102771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536729,0,0,0,0,0,0.000291154,0,0,0,0,0,0,0,0,0,0,0.000254948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000965513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34E-05,0,0,0.000740627,0,0.002353813,0,0,0,0,0,0,6.39E-05,0,0,0,0,0,0,0,0,0,0,0,0.001115438,0,0.000719637,0.000335831,0,7.04E-05,0,0,0,0,0,0,0,0,0,0.002056963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50E-05,8.36E-05,0,0,0,0,0,0,0,0,0,0,0,0.003568201,0,0,0,0,0,0.004287838,0,0,0,0,0,0,0.000110426,0.000234685,0,0,0.000289632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017324,0.00020856,0,0.0003958,0,0,0,0,0.0002613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,DPI_50,RA,A2,P125,0,0,0,0,0,0,0.000296778,0,0.000411492,0,0.033077129,0,0,0,0,0,0,0,0.000535352,0,0,0,0,0,0.000323715,0,0,0.000211116,0,0,0.007647891,0,0,0.01825934,0,0,0.000110961,0,0,0,0,0,4.72E-05,0,0,0,0,0,0,0.000158714,0,4.80E-05,0,0,0.000115534,0.000102552,0,0.000183701,0.01051585,0.000917747,0.000182354,0.000394093,0.000232731,0.002920538,0,5.16E-05,0,0,0,0,0,0,0,0.000181404,0.00038999,0,0,0,0,0,0,0,0,0,5.16E-05,0,0,0,0,0,0,0,0,0,0.006500708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001577378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72E-05,0,0,0,0,0,0,0,0,0,0,6.07E-05,0,0,0.000755229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006978701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001022905,0,0,0,0,0,0,4.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375986,0,0,0,0,0,0,0,0,0.000764789,0,0,0,0.000232232,9.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
