filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X452.242_2.457,X468.308_2.823,X468.309_2.821,X476.242_2.484,X480.345_2.967,X482.36_2.968,X482.361_2.958,X492.308_2.804,X494.324_2.861,X494.325_2.865,X496.34_2.935,X496.341_2.924,X496.341_2.926,X502.257_2.547,X506.324_2.987,X506.36_3.003,X506.361_3.016,X508.303_3.007,X508.304_3.001,X508.34_3.061,X508.376_3.076,X510.319_2.774,X510.32_2.768,X510.355_2.988,X510.356_2.983,X510.392_3.083,X510.392_3.088,X518.322_2.93,X518.323_2.92,X518.325_2.837,X520.341_2.89,X522.355_2.966,X524.371_3.05,X524.372_3.04,X524.373_3.132,X534.319_2.722,X536.335_2.7,X536.335_2.767,X536.336_2.744,X538.351_2.803,X538.352_2.737,X538.387_3.102,X538.388_3.104,X542.323_2.885,X542.324_2.718,X544.305_2.627,X544.305_2.706,X546.353_3.044,X546.354_3.034,X546.356_2.933,X550.387_3.072,X550.388_3.072,X552.402_3.174,X552.403_3.173,X560.335_2.722,X560.335_2.774,X566.38_3.055,X566.382_3.018,X568.341_2.887,X570.356_2.935,X572.372_2.972,X584.335_2.714,X584.335_2.79,X594.377_3,X596.391_3.062,X596.393_3.06,X600.33_2.645,X600.33_2.731,X600.33_2.804,X600.331_2.658,X648.423_3.138,X648.424_3.067,X674.437_3.128,X674.439_3.065,X674.439_3.163,X674.439_3.237,X698.437_3.068,X706.538_3.9,X706.538_3.951,X706.538_4.03,X706.538_4.076,X716.485_3.266,X720.443_2.989,X720.444_3.034,X720.445_3.09,X732.555_3.343,X734.568_4.907,X734.569_3.073,X734.569_4.31,X734.569_4.399,X734.569_4.504,X734.569_4.824,X734.569_5.591,X734.569_5.603,X734.57_3.377,X734.57_4.45,X734.57_4.559,X734.57_4.658,X734.57_4.702,X734.57_5.605,X734.571_3.043,X744.554_5.58,X744.59_5.59,X746.51_3.501,X746.568_3.653,X746.568_3.705,X748.527_3.337,X748.62_3.417,X754.537_3.679,X756.551_3.414,X758.571_5.594,X758.571_5.632,X760.583_5.072,X760.584_4.341,X760.584_4.578,X760.584_4.674,X760.584_4.778,X760.584_4.836,X760.584_4.943,X760.584_5.512,X760.584_5.607,X760.584_5.636,X760.585_4.148,X760.585_4.737,X760.585_5.61,X760.586_3.367,X760.586_5.601,X762.506_3.463,X762.506_3.572,X762.599_3.268,X762.599_3.341,X762.599_3.749,X762.599_5.596,X762.6_3.212,X766.536_3.971,X766.537_3.976,X766.573_4.054,X766.574_4.106,X766.574_4.17,X768.553_3.263,X768.553_3.284,X768.588_5.586,X768.589_4.124,X772.548_3.502,X772.584_3.341,X772.584_4.226,X772.62_3.336,X772.62_3.348,X772.62_3.374,X774.599_3.283,X774.599_3.587,X774.6_3.438,X774.6_5.602,X774.601_5.586,X776.558_3.324,X776.578_3.558,X778.537_3.629,X778.537_3.785,X780.517_3.358,X780.553_3.716,X782.567_3.55,X782.568_3.34,X782.568_5.56,X782.569_3.91,X782.569_4.084,X782.569_4.198,X782.569_4.312,X782.57_3.269,X782.57_4.015,X782.57_5.591,X784.584_4.164,X784.584_4.252,X784.584_5.594,X784.585_5.595,X786.563_3.567,X786.599_5.438,X786.599_5.596,X786.599_5.653,X786.6_4.389,X786.6_4.521,X786.6_4.602,X786.6_4.95,X786.601_3.279,X786.601_3.393,X786.601_5.59,X786.601_5.631,X786.602_5.6,X788.521_3.624,X788.522_3.689,X788.616_3.191,X788.616_3.75,X788.616_5.598,X790.572_3.358,X792.552_4.231,X792.553_3.269,X792.553_3.274,X792.553_3.389,X792.553_3.906,X792.554_3.351,X792.554_3.915,X792.554_3.989,X792.554_4.048,X792.554_4.114,X792.554_4.169,X792.554_4.53,X792.554_5.593,X792.555_4.362,X792.589_3.261,X792.589_3.314,X792.589_3.329,X792.589_3.367,X792.589_4.032,X792.589_4.09,X792.589_4.167,X792.589_4.249,X792.589_4.299,X792.59_5.594,X792.59_5.628,X794.604_3.247,X794.604_3.274,X794.604_3.326,X794.604_3.361,X794.604_4.185,X794.604_5.596,X794.605_5.605,X796.582_3.602,X796.582_5.568,X798.563_3.38,X798.563_3.515,X802.595_3.81,X804.553_3.651,X804.589_3.537,X804.589_3.596,X804.589_3.656,X804.589_3.798,X804.61_3.784,X804.61_3.876,X806.53_3.404,X806.532_3.537,X806.532_3.587,X806.569_3.835,X806.569_5.586,X806.57_3.157,X806.57_3.256,X806.57_3.303,X806.57_3.362,X806.57_3.848,X806.57_3.972,X806.57_4.101,X806.571_4.175,X808.547_3.517,X808.548_3.613,X808.58_3.363,X808.584_3.271,X808.584_3.334,X808.584_3.586,X808.584_4.008,X808.584_4.102,X808.584_4.204,X808.584_4.337,X808.585_5.595,X808.586_4.577,X810.6_3.201,X810.6_4.069,X810.6_4.289,X810.6_4.625,X810.6_4.678,X810.6_4.741,X810.6_4.806,X810.6_4.843,X810.6_4.952,X810.6_5.007,X810.6_5.077,X810.6_5.216,X810.6_5.504,X810.601_3.479,X810.601_3.669,X810.601_3.752,X810.601_3.809,X810.601_4.362,X810.601_4.413,X810.601_4.46,X810.601_4.511,X810.601_4.568,X810.601_5.6,X810.602_5.596,X812.611_3.352,X812.614_3.487,X812.614_3.571,X812.615_3.579,X814.631_3.254,X814.631_3.702,X816.646_3.398,X816.646_3.609,X816.647_3.49,X816.647_3.739,X826.594_3.683,X826.595_3.726,X830.553_3.623,X836.615_3.699,X836.616_3.594,X836.617_3.659,X852.549_3.694,X854.537_3.527,X854.538_3.484,X862.624_3.581,X882.569_3.692,X882.57_3.622
X631_Group15_142dpi_LA_191_G_C7_P120.mzXML,631,BNZ,142,LA,C7,P120,0,0,0.000170078,0,0.000178272,0,0.00057206,0,0.000462696,0.000389085,0,0,0.058678231,0,0,0,0,0,0,0,0,7.15E-05,9.26E-05,0,0.000813924,4.43E-05,0,0.000202559,0,3.04E-05,0.005342033,0,0,0.03806724,0,0.000205543,0.000241864,0.000529997,0,0.000456386,0.00029234,0,0.000323887,0,0,0,0,6.77E-05,0,5.22E-05,0,0.00018942,0,5.28E-05,6.90E-05,0.000129091,6.08E-05,0.000225038,0.006667025,0,7.49E-05,0.00013625,0,0.002187289,0,0.000248173,0,6.47E-05,0,0.000108091,0.000204905,0,0,0,0.001335508,0,0,0,0.00017395,0,0,0.000104738,7.64E-05,0.000188535,0.000288133,0,0,0,0,0.00065198,0.00057206,0,0,0,0,0.000374363,0.000374363,0,0,0,0,0,3.28E-05,0,0,0,0,0,0,0,0,0,0,0,0.000734004,0,0,0,0,0,0,0,0,0,0,0,0.006330519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001196699,0,0,0,0,0,0,0,0,0,0,0,0.002052687,0,0,0,0,0,0,0.000483727,0,0.000704559,0,0,0,0.001318683,0,0,0.000296546,0,0,0,0,0,0,0,0,0,0,0,0,0.001224041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95E-05,0.000790789,0.000380672,0,0,0,0,0,0.000349125,0,0,0,0,0,0,0,0,0,0,0.001579475,0.000757138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239761,0,0,0,0,0.000378569,0,0,0,0,0,0,0,0,0,0,0,0.000248173,0,0,0,0,0,0,0,0,0,0
X631_Group15_142dpi_LV_bottom_191_G_C7_P132.mzXML,631,BNZ,142,LV_bottom,C7,P132,0,0,0,0,3.43E-05,0,0.000168725,0,0,0.000310167,0,0,0.036925289,0,0,0,0,0,0,0,0,0,0,0,0.00030457,0,0,0,0.000682239,0,0.006998221,0,0,0.015649289,0,0,0,2.44E-05,3.13E-05,0,0,0,0,0.000129259,0,0,0,0,0.000145599,2.99E-05,0,0,0,0,0,0,0,9.77E-05,0.019271484,0,0.000115172,0,0.000931924,0.001779447,0,8.03E-05,0,0.000492337,0,0.00018969,0,0.000485304,0,0,0.001311727,0,0,0,0,0,0,0,0,0,0.000400903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000450137,0,0,0,0,0,0,0,0,0,0,0.00132931,0.000555638,0,0,0,0,0,0,0,0,0,0,0,0,0.000640038,0.001153476,0.001174576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0,0,0,0,0,0.000268268,0,0,0,0.000400903,0.00037277,0,0,0,0.000213735,0,0,0,0,0,0,0,0,9.70E-05,0.000386836,0,0.000154034,0.000262816,7.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000773673,0.000784223,0.000207259,0.000107701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001719663,0.004149699,0,0,0,0,0,0,0,0,0,0,0,0,0.000152984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277267,0.000942474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X631_Group15_142dpi_LV_top_191_G_C7_P128.mzXML,631,BNZ,142,LV_top,C7,P128,8.37E-05,3.70E-05,0,0,0,0.000160279,0,0,0.000512105,0,0.041712464,0,0,0.000279772,0,0,0,0,0,0,0,0,0,0.000347496,0,0,0,0.00039744,0,0.000171724,0.009454242,0.004945969,0.016326075,0,0,3.48E-05,3.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,8.95E-05,0,0,0,0,0,0,0,0.000258879,0.030770055,0.001518806,0.000206121,0.00035962,0.00063466,0.002149089,0,8.91E-05,0.000196078,0.00043298,0.000435305,0,0,0,0,0,0.000932293,0,0,0,0,0,0,0,0,0,0.000373889,0,0,0,0,0,0,0,0,0.000503351,0.000730953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000674052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069156,0,0,0,0,0,0.000155878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019668,0,0,0,0.000254084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000362062,0.000468335,4.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000463958,0.000241182,8.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000932293,0.000507728,0.000387627,0.000704691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X631_Group15_142dpi_RA_191_G_C7_P124.mzXML,631,BNZ,142,RA,C7,P124,0,0,4.74E-05,0,0,0.000311079,0,0,0.000204667,0,0.03300143,0,0,0,0,0,0,0,0,0,0,0,0,0.000363059,0,0,0,0.000272029,0,0,0.003129593,0.003739309,0,0.021361391,0,0,0,0,0,0,0,6.42E-05,0,0,0,0,0,0.000133018,0,0,0,0,0,0,0,0,0,0.000305852,0.004690126,0.000198024,0,7.03E-05,0,0.004775401,0,8.56E-05,0,0,0,0,9.09E-05,0,0,0.00017424,0.000520178,0,0,0,0,0,0,0,0,0,0.000376689,0,0,0,0,0,0,0,0,0,0.000925234,0,0,0,0,0.003530386,0,0,0,0,0,0,0,0,0,0,5.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004818038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017576,0,0,0,0,0,0,0.000262907,0,0.00119385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002003963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001202378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000367754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X631_Group15_142dpi_RV_bottom_191_G_C7_P140.mzXML,631,BNZ,142,RV_bottom,C7,P140,0,0,0,0,0,0,0,0,0,0,0,0,0.007016621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12E-05,0,0.000866759,0,0,0.001829825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003350093,0,0,0,0,0.000660835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X631_Group15_142dpi_RV_top_191_G_C7_P136.mzXML,631,BNZ,142,RV_top,C7,P136,0,0,0,0,0,0,5.84E-05,0,0,2.57E-05,0,0,0.018053941,0,0,0,0,0,0,0,0,0,0,0,3.51E-05,0,0,0,0.000359654,0,0.001549007,0,0,0.008190151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92E-05,0,0,0,0,0,0,0,0,0,0.003215524,0,0,0,0,0.001502715,0,0,0,0,0,0,0,0,0,0,0.000266479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000573311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000199385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384581,0.00010471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X632_Group15_142dpi_LA_192_G_C8_P120.mzXML,632,BNZ,142,LA,C8,P120,0,0,0,0,0,0,0.000112423,0,0,0,0.033230371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243263,0,0,0.000107598,0,0,0.001307166,0,0,0.016956414,0,0,0,0,0,0,0,0,5.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36E-05,0.00026765,0.002351849,0,0,0,0,0.004656452,0.000226578,0,0,0,0,0,0.000237919,0,0,0,0.000845196,0,0,0,0,0,0,0,0,0.000265379,0.000396785,0,0,0,0,0,0,0,0,0,0.004509461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000792699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237451,0,0,0,0,0,0,0,0,0.00024282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167428,0,0,0
X632_Group15_142dpi_LV_bottom_192_G_C8_P132.mzXML,632,BNZ,142,LV_bottom,C8,P132,0,0,0,0,2.60E-05,0,0.000142675,0,0,0.00037276,0,0,0.034999648,0,0,0,0,0,0,0,0,0,0,0,0.000183189,0,0,6.86E-05,0.000483735,9.34E-05,0.006743835,0,0,0.013288484,0,0,2.52E-05,0,2.11E-05,0,0,0,0,6.73E-05,0,0,0,0,5.66E-05,5.41E-05,0,0,0,0,0,3.87E-05,0,8.38E-05,0.018723389,0,0.00013644,0,0,0.001550797,0,2.46E-05,0,0.0005691,0,0.000135987,0,0.000137719,0,0,0.001012998,0,0,0,0,0,0,0,0,0,0.000209025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000836577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001647544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49E-05,0,0,0,0,0,0.000458125,0,0,0,0.000830886,0.000412597,0,0,0,5.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000890641,0,0,0,0,0,0,0,0,0,0,0,0,0.000845113,0.0005691,0.000186297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001675999,0,0,0,0,0,0.00295932,0,0.001192264,0,0,0,0,0,0,0,0,0,0,0,0.000250384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000717066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X632_Group15_142dpi_LV_top_192_G_C8_P128.mzXML,632,BNZ,142,LV_top,C8,P128,0,5.36E-05,0,0,0.000192694,0,0.000281033,0,0.000758831,0,0.062669643,0,0,0,0,0,0,0,0,0,0,0,0,0.000509663,0,0,0,0.000596494,0,0.000223442,0.01174112,0.0060782,0.022689431,0,0,7.24E-05,4.11E-05,0,0,0,0,3.36E-05,0,0,0,0,0,5.85E-05,0,0.000168159,3.91E-05,0,0,0,0,0,0,0.000144582,0.031787855,0.001955595,0.000258811,0.000288659,0.000475685,0.00195937,0,3.76E-05,0.000222883,0.000573843,0.000170185,0,0,0,0,9.33E-05,0.00081546,0.000157116,0,0,0,0,0,0,0,0,0.000311334,0,0,0,0,0,0,0,0,0,0.001011775,0,0,0,0,0.001087281,0,0,0,0,0,0,0,0,0,0,0.001064629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121017,0,0.000324406,0.000124861,5.17E-05,0,0,0.000187545,0.000303342,0,0,0,9.22E-05,0,0,0,0,0,0,0,0,0.001260943,0.001185438,0.001045752,0,0,0,0,0,0.000281027,0,0,0,0,0,0,0,0,0.000694651,0.00018398,0.000122409,6.21E-05,0,0,3.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75E-05,3.23E-05,0,0,0,0,0,0.000144442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053609,0,0,0,0,0,0,0,0,0,0.000819236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000392629,0,0,0,0,0,0,0
X632_Group15_142dpi_RA_192_G_C8_P124.mzXML,632,BNZ,142,RA,C8,P124,0,0,0,0,0,0,0.000277454,0,0.000213038,0,0,0,0.033646578,0,0,0,0,0,0,0,0,0,0,0,0.000258403,0,0,0.000192338,0,0,0.00300429,0,0,0.018349336,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11E-05,0,0,0,0,0,0,0,0,0,0.000241062,0.004780388,0.000249985,0,0,0,0.004412666,0,3.80E-05,0,0,0,0,0.000161915,0,0,0.000112429,0.000672932,0,0,0,0,0,0,0,0,0,0.000316348,0,0,0,0,0,0,0,0,0,0.00068764,0,0,0,0,0.001081103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694995,0,0,0,0,0.000867824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000632482,0,0,0,0,0,0,0,0,0,0,0,0,0.000287307,0.00035017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002081307,0.000430235,0,0,0,0,0,0,0,0,3.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48E-05,0,4.30E-05,4.85E-05,0,0,0.000320212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
