filename,X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML,X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML,X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML,X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML,X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML,X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML,X566_Group3B_70dpi_LA_296_B_D10_P121.mzXML,X567_Group3B_70dpi_LA_297_B_D11_P121.mzXML,X568_Group3B_70dpi_LA_298_B_D12_P121.mzXML,X569_Group3B_70dpi_LA_299_B_E1_P121.mzXML,X570_Group3B_70dpi_LA_300_B_E2_P121.mzXML,X651_Group3B_70dpi_LA_301_B_E3_P121.mzXML,X652_Group3B_70dpi_LA_302_B_E4_P121.mzXML,X653_Group3B_70dpi_LA_303_B_E5_P121.mzXML,X654_Group3B_70dpi_LA_304_B_E6_P121.mzXML,X655_Group3B_70dpi_LA_305_B_E7_P121.mzXML,X736_Group3B_70dpi_LA_306_B_E8_P121.mzXML,X737_Group3B_70dpi_LA_307_B_E9_P121.mzXML,X738_Group3B_70dpi_LA_308_B_E10_P121.mzXML,X739_Group3B_70dpi_LA_309_B_E11_P121.mzXML,X740_Group3B_70dpi_LA_310_B_E12_P121.mzXML
X338.342_3.533,0.146689873,0.125642397,0.119279746,0,0.143563071,0.108532369,0.127097276,0.152140541,0.116011593,0.117462816,0,0.077056856,0.004080882,0.074695091,0,0.09418036,0.126582822,0,0.09970394,0,0,0.04620488,0.03636959,0.029148014,0.043128201,0,0,0,0,0
X387.181_2.767,0.044283735,0.03097735,0.05662307,0.013873667,0.020985606,0.01907468,0.010209453,0.011668299,0.020639078,0.030506703,0.019732095,0.041163923,0.188040635,0.022047406,0.031707179,0.021288508,0.018125709,0.016343725,0.007201729,0.012649476,0.014563032,0.04453079,0.040707247,0.049165324,0.064478796,0.066003519,0.013383953,0.014859473,0.030773161,0.026471714
X311.081_2.525,0.017796526,0.010462979,0.022556403,0.003636883,0.009578046,0.014090576,0.009376029,0.006047901,0.00772301,0.013523838,0.017824903,0.014206573,0.068614828,0.00830579,0.008900931,0.008736804,0.005110856,0.010552641,0.007393775,0.005818759,0.016660588,0.017745352,0.016549832,0.015481224,0.024339678,0.019344649,0.010504975,0.014286954,0.013136006,0.016842821
X228.196_2.71,0.008026427,0.010203029,0.019771662,0,0.016271916,0.010573754,0.013109077,0,0.009620474,0.008359317,0,0.014432473,0.022004755,0.011498863,0.011384023,0.009571313,0.01069714,0.018402777,0.008866129,0.00507244,0.014832718,0.021260941,0.032165399,0.011413379,0.013408173,0.021064953,0.006966688,0.011034004,0,0.016842821
X404.207_2.768,0.012344091,0.009444842,0.014062943,0.004082822,0.006198825,0.006311646,0.003160069,0.003357151,0.005709035,0.007302392,0.007885503,0.011294979,0.050610937,0.005758935,0.009454852,0.005177365,0.005066284,0.0048688,0.002176523,0.00385809,0.004554693,0.011249884,0.012045341,0.011032933,0.016397257,0.015868931,0.004043756,0.004033657,0.009392704,0.0081118
X496.341_2.926,0.033212801,0.050040334,0.033416894,0,0,0.054499087,0,0.052054698,0,0.049723523,0,0.040661924,0.001090236,0.032690981,0,0.054668889,0,0,0.043370414,0,0,0,0.08174816,0,0.105471938,0,0,0,0,0
X310.31_3.391,0.050649522,0.036609595,0.036665758,0.017143888,0.041110265,0.026085033,0.031947949,0.01722583,0.026797513,0.03723259,0.032825697,0.031123942,0.003080666,0.01866427,0.038010413,0.026568058,0.021839994,0.043325885,0.02240538,0.017329782,0.043149725,0.020926123,0.017183797,0.024816783,0.020368467,0.030965481,0.034723557,0.040857044,0.043633586,0.035295618
X228.196_3.321,0.026902369,0.026428228,0.024227248,0.018828548,0.036805525,0.021007768,0.035073292,0.024769989,0.02430085,0.024261236,0.036676756,0.012650376,0,0.013551552,0.031134158,0.015072264,0.025405707,0.049116969,0.02544611,0.024539983,0.034160199,0.011350329,0,0.015451959,0.007515409,0.025664134,0.020987973,0.027585011,0.049604498,0.056349145
X285.022_2.394,0.007223784,0.004115872,0.023716712,0.002130599,0.00628492,0.006055454,0.00748346,0.0031434,0.006541256,0.008023023,0.014413965,0.010165481,0,0.004105379,0.006436939,0.004768626,0.006031998,0.007464063,0.003824918,0.004199626,0.01189614,0.012053447,0.012011975,0.009189233,0.010974206,0.011480399,0.004966787,0.00564712,0.008382242,0.010681569
X336.326_3.156,0.005839918,0.004700759,0.015548138,0.003131485,0.006995202,0.006334937,0.005417261,0.003344577,0.004727015,0.007758791,0.01243342,0.007228786,0.006301362,0.005131724,0.00834701,0.005449858,0.004679999,0.007077991,0.003952949,0.003643049,0.009468967,0.008169558,0.009042348,0.008252751,0.011187712,0.013762436,0.008307281,0.00962873,0.007945906,0.008731021
