filename,MeanDecreaseAccuracy
X285.083_0.446,4.283840128
X231.073_0.435,3.96878483
X184.074_0.312,3.187743474
X458.23_2.165,2.990562198
X508.376_2.995,2.823559012
X169.036_0.372,2.780464228
X482.361_2.958,2.777208498
X949.624_2.926,2.73629336
X473.238_2.238,2.716266783
X344.229_2.208,2.703363624
X856.569_3.369,2.620565735
X410.201_2.128,2.494479285
X215.016_0.331,2.392059972
X366.785_2.164,2.333935916
X664.418_3.08,2.304503204
X587.553_2.334,2.291715007
X137.046_0.31,2.28852711
X692.449_3.051,2.168865628
X669.741_2.258,2.156091362
X760.586_5.601,2.135835843
X414.321_2.745,2.122301707
