Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
468.308	468.3085	0.0005	LPC 14:0	C22H46NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 14:0
468.308	468.3085	0.0005	PC O-14:0	C22H46NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-14:0
468.309	468.3085	0.0005	LPC 14:0	C22H46NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 14:0
468.309	468.3085	0.0005	PC O-14:0	C22H46NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-14:0
480.345	480.3448	0.0002	LPC O-16:1	C24H50NO6P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC O-16:1
482.36	482.3605	0.0005	LPC O-16:0	C24H52NO6P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC O-16:0
482.361	482.3605	0.0005	LPC O-16:0	C24H52NO6P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC O-16:0
494.324	494.3241	0.0001	LPC 16:1	C24H48NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 16:1
494.325	494.3241	0.0009	LPC 16:1	C24H48NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 16:1
496.34	496.3398	0.0002	LPC 16:0	C24H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 16:0
496.34	496.3398	0.0002	PC O-16:0	C24H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-16:0
496.341	496.3398	0.0012	LPC 16:0	C24H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 16:0
496.341	496.3398	0.0012	PC O-16:0	C24H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-16:0
496.341	496.3398	0.0012	LPC 16:0	C24H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 16:0
496.341	496.3398	0.0012	PC O-16:0	C24H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-16:0
502.257	502.2564	0.0006	PC 16:4	C24H40NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 16:4
506.324	506.3241	0.0001	LPC 17:2	C25H48NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 17:2
506.36	506.3605	0.0005	LPC O-18:2	C26H52NO6P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC O-18:2
506.361	506.3605	0.0005	LPC O-18:2	C26H52NO6P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC O-18:2
508.34	508.3398	0.0002	LPC 17:1	C25H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 17:1
508.376	508.3761	0.0001	LPC O-18:1	C26H54NO6P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC O-18:1
510.319	510.319	0	PC 16:0	C24H48NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 16:0
510.32	510.319	0.001	PC 16:0	C24H48NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 16:0
510.355	510.3554	0.0004	LPC 17:0	C25H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 17:0
510.355	510.3554	0.0004	PC O-17:0	C25H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-17:0
510.356	510.3554	0.0006	LPC 17:0	C25H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 17:0
510.356	510.3554	0.0006	PC O-17:0	C25H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-17:0
