mass,annotation
468.308,LPC 14:0_C22H46NO7P or PC O-14:0_C22H46NO7P or LPC O-14:1;O_C22H46NO7P
468.309,LPC 14:0_C22H46NO7P or PC O-14:0_C22H46NO7P or LPC O-14:1;O_C22H46NO7P
480.345,LPC O-16:1_C24H50NO6P
482.36,LPC O-16:0_C24H52NO6P
482.361,LPC O-16:0_C24H52NO6P
494.324,LPC 16:1_C24H48NO7P or LPC O-16:2;O_C24H48NO7P
494.325,LPC 16:1_C24H48NO7P or LPC O-16:2;O_C24H48NO7P
496.34,LPC 16:0_C24H50NO7P or PC O-16:0_C24H50NO7P or LPC O-16:1;O_C24H50NO7P
496.341,LPC 16:0_C24H50NO7P or PC O-16:0_C24H50NO7P or LPC O-16:1;O_C24H50NO7P
502.257,PC 16:4_C24H40NO8P
506.324,LPC 17:2_C25H48NO7P or LPC O-17:3;O_C25H48NO7P
506.36,LPC O-18:2_C26H52NO6P
506.361,LPC O-18:2_C26H52NO6P
508.34,LPC 17:1_C25H50NO7P or LPC O-17:2;O_C25H50NO7P
508.376,LPC O-18:1_C26H54NO6P
510.319,PC 16:0_C24H48NO8P or LPC 16:1;O_C24H48NO8P
510.32,PC 16:0_C24H48NO8P or LPC 16:1;O_C24H48NO8P
510.355,LPC 17:0_C25H52NO7P or PC O-17:0_C25H52NO7P or LPC O-17:1;O_C25H52NO7P
510.356,LPC 17:0_C25H52NO7P or PC O-17:0_C25H52NO7P or LPC O-17:1;O_C25H52NO7P
510.392,LPC O-18:0_C26H56NO6P
518.322,LPC 18:3_C26H48NO7P or LPC O-18:4;O_C26H48NO7P
518.323,LPC 18:3_C26H48NO7P or LPC O-18:4;O_C26H48NO7P
518.325,LPC 18:3_C26H48NO7P or LPC O-18:4;O_C26H48NO7P
520.341,LPC 18:2_C26H50NO7P or LPC O-18:3;O_C26H50NO7P
522.355,LPC 18:1_C26H52NO7P or PC O-18:1_C26H52NO7P or LPC O-18:2;O_C26H52NO7P
524.371,LPC 18:0_C26H54NO7P or PC O-18:0_C26H54NO7P or LPC O-18:1;O_C26H54NO7P
524.372,LPC 18:0_C26H54NO7P or PC O-18:0_C26H54NO7P or LPC O-18:1;O_C26H54NO7P
524.373,LPC 18:0_C26H54NO7P or PC O-18:0_C26H54NO7P or LPC O-18:1;O_C26H54NO7P
536.335,PC 18:1_C26H50NO8P or LPC 18:2;O_C26H50NO8P
536.336,PC 18:1_C26H50NO8P or LPC 18:2;O_C26H50NO8P
538.351,PC 18:0_C26H52NO8P or LPC 18:1;O_C26H52NO8P
538.352,PC 18:0_C26H52NO8P or LPC 18:1;O_C26H52NO8P
538.387,LPC 19:0_C27H56NO7P or PC O-19:0_C27H56NO7P or LPC O-19:1;O_C27H56NO7P
538.388,LPC 19:0_C27H56NO7P or PC O-19:0_C27H56NO7P or LPC O-19:1;O_C27H56NO7P
542.323,LPC 20:5_C28H48NO7P or PC O-20:5_C28H48NO7P
542.324,LPC 20:5_C28H48NO7P or PC O-20:5_C28H48NO7P
546.353,LPC 20:3_C28H52NO7P or LPC O-20:4;O_C28H52NO7P or PC O-20:3_C28H52NO7P
546.354,LPC 20:3_C28H52NO7P or LPC O-20:4;O_C28H52NO7P or PC O-20:3_C28H52NO7P
546.356,LPC 20:3_C28H52NO7P or LPC O-20:4;O_C28H52NO7P or PC O-20:3_C28H52NO7P
550.387,LPC 20:1_C28H56NO7P or PC O-20:1_C28H56NO7P or LPC O-20:2;O_C28H56NO7P
550.388,LPC 20:1_C28H56NO7P or PC O-20:1_C28H56NO7P or LPC O-20:2;O_C28H56NO7P
552.402,LPC 20:0_C28H58NO7P or PC O-20:0_C28H58NO7P or LPC O-20:1;O_C28H58NO7P
