	SubjectID1	SubjectID2	Group1	Group2	Distance
0	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.36443131088915637
1	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.5055183672428978
2	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.36212147620229274
3	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.4533732277782646
4	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.4645279336057695
5	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.5014049390995927
6	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.3487285963559933
7	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.3378169559058442
8	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.3852323406013346
9	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.4421350993833244
10	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.6864266881169099
11	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.6911115616957281
12	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.7128770107369515
13	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.44261870901630307
14	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.6763190595914027
15	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.4873710259784766
16	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.6193699642332748
17	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.6085194901257118
18	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.3926625201943358
19	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.5398207391069143
20	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.4391885884898131
21	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.4378091995473497
22	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.39747710047019125
23	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.38896594250539374
24	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.35578056459924484
25	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.3135413763459465
26	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.592747340483958
27	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	Group1C	Group1C	0.49663958354067667
28	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.5314487677236756
29	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.6571808418167511
30	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.663273936035201
31	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.468988496784586
32	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.5679766958276588
33	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.5281539804540331
34	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	Group1C	Group1C	0.3721890392813165
35	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	Group1C	Group1C	0.5409456780299816
36	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.33608100619559356
37	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.48797867382237115
38	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.5048729382612263
39	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.4129299871636988
40	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.31205503478393737
41	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.6297783266679196
42	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	Group1C	Group1C	0.4313029758519611
43	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	Group1C	Group1C	0.3363855749245813
44	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	Group1C	Group1C	0.4268072121576754
45	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.6482700056199323
46	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.6011905029613034
47	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.5138913847621388
48	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.501501591156106
49	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.606548588170952
50	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.4287009173774884
51	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	Group1C	Group1C	0.557289281027227
52	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	Group1C	Group1C	0.50052296045322
53	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	Group1C	Group1C	0.5434423626316454
54	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	Group1C	Group1C	0.6134989429993446
55	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.3428183239187112
56	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.31448962560099636
57	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.42286953116988246
58	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.4420164118034476
59	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.2659523055236056
60	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.68497614343617
61	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	Group1C	Group1C	0.5535170596421658
62	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	Group1C	Group1C	0.34669494603372264
63	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	Group1C	Group1C	0.5755557251800018
64	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	Group1C	Group1C	0.340414533138084
65	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	Group1C	Group1C	0.6025432423913991
66	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.42500896248555947
67	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.5786260560916073
68	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.6148148744147879
69	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.4539735221824464
70	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.5521022568071964
71	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.45269102791730936
72	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	Group1C	Group1C	0.35734656123397335
73	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	Group1C	Group1C	0.5147879904512975
74	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	Group1C	Group1C	0.49673269705549333
75	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	Group1C	Group1C	0.48939941137984855
76	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	Group1C	Group1C	0.46554063782763205
77	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	Group1C	Group1C	0.5867679139538987
78	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.46296310543516345
79	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.3642017059232799
80	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML	Group1C	Group1C	0.28756652441122327
81	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML	Group1C	Group1C	0.48414997805760557
82	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML	Group1C	Group1C	0.3058641828618897
83	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML	Group1C	Group1C	0.6868055797177067
84	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML	Group1C	Group1C	0.5998939244202601
85	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML	Group1C	Group1C	0.3760757161562002
86	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML	Group1C	Group1C	0.6622509333013469
87	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML	Group1C	Group1C	0.48636713027265804
88	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML	Group1C	Group1C	0.5618134114613875
89	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML	Group1C	Group1C	0.40789053632374034
90	X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML	X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML	Group1C	Group1C	0.5976102076252211
91	X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML	X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML	Group1C	Group1C	0.37790673967440397
92	X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML	X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML	Group1C	Group1C	0.20243600957708716
