	SubjectID1	SubjectID2	Group1	Group2	Distance
0	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.3436221972491714
1	X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.4334087502776775
2	X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	Group1C	Group1C	0.3879153166549833
3	X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.3283475492004956
4	X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	Group1C	Group1C	0.31397071678418575
5	X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML	X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML	Group1C	Group1C	0.34141871482357655
6	X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.5319620188776893
7	X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	Group1C	Group1C	0.33489567863463904
8	X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML	X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML	Group1C	Group1C	0.4329960341589974
9	X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML	X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML	Group1C	Group1C	0.41157044474046056
10	X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.4788165776617778
11	X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	Group1C	Group1C	0.3161522993059714
12	X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML	X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML	Group1C	Group1C	0.412432048361617
13	X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML	X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML	Group1C	Group1C	0.33861405012474505
14	X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML	X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML	Group1C	Group1C	0.1731947331227027
15	X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.4315417078838758
16	X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	Group1C	Group1C	0.3924223109472111
17	X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML	X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML	Group1C	Group1C	0.22812807653054237
18	X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML	X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML	Group1C	Group1C	0.27261938348502424
19	X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML	X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML	Group1C	Group1C	0.343632389296498
20	X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML	X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML	Group1C	Group1C	0.31940009339438846
21	X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.5399795225872662
22	X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	Group1C	Group1C	0.3467801893266097
23	X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML	X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML	Group1C	Group1C	0.3956642787574185
24	X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML	X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML	Group1C	Group1C	0.39560234949482803
25	X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML	X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML	Group1C	Group1C	0.14694612972143406
26	X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML	X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML	Group1C	Group1C	0.16002952258001468
27	X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML	X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML	Group1C	Group1C	0.319229851086761
28	X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML	X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML	Group1C	Group1C	0.3732619353614718
29	X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML	X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML	Group1C	Group1C	0.20468192418758133
