	SubjectID1	SubjectID2	Group1	Group2	Distance
0	X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML	X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML	Group1C	Group1C	0.29722604897232013
1	X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML	X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML	Group1C	Group1C	0.2859234740851211
2	X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML	X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML	Group1C	Group1C	0.24205494185567591
3	X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML	X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML	Group1C	Group1C	0.37097450613718136
4	X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML	X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML	Group1C	Group1C	0.25452632103200123
5	X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML	X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML	Group1C	Group1C	0.26257133588761183
6	X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML	X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML	Group1C	Group1C	0.3545251543283857
7	X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML	X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML	Group1C	Group1C	0.23636126532583002
8	X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML	X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML	Group1C	Group1C	0.2278197562420939
9	X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML	X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML	Group1C	Group1C	0.318821682626041
10	X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML	X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML	Group1C	Group1C	0.3599247856743215
11	X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML	X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML	Group1C	Group1C	0.2954894379874265
12	X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML	X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML	Group1C	Group1C	0.31894175837525324
13	X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML	X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML	Group1C	Group1C	0.2945389789641868
14	X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML	X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML	Group1C	Group1C	0.3623823585839867
15	X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML	X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML	Group1C	Group1C	0.3374730166541587
16	X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML	X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML	Group1C	Group1C	0.31414681004501516
17	X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML	X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML	Group1C	Group1C	0.3383187088145998
18	X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML	X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML	Group1C	Group1C	0.31872838854554325
19	X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML	X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML	Group1C	Group1C	0.3434709596826105
20	X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML	X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML	Group1C	Group1C	0.19647299507054009
21	X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML	X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML	Group1C	Group1C	0.32687175096123067
