SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.281606934
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.345734236
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.463942106
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.371794779
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.279755659
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.449378767
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.337758133
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.467950391
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.227647232
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.483014429
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.484133884
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.550119157
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.479803182
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.570511836
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.414743967
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.546337219
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.546574554
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.596738739
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.560979873
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.624683501
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.364519836
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.308571546
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.39949221
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.304202722
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.436531285
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.276974309
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.413872725
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.546962653
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.517179312
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.476070723
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.632236564
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.488678477
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.641253463
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.430206634
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.277001904
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.575899882
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.372802227
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.326581047
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.482674645
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.247934015
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.504108852
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.568529672
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.557955052
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.41320813
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.445906623
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.362218921
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.424820821
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.439685163
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.455807675
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.456823781
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.368199683
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.399186353
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.346187632
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.427191162
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.431451996
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.462398174
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.464282486
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.582288748
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.448982232
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.572817994
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.418382162
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.400539897
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.54343094
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.334454825
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.467575781
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.362097147
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.532001312
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.701766981
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.478542665
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.695531068
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.465526052
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.654428803
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.783042922
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.517172733
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.787581356
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,Group1C,Group1C,Group1C_Group1C,0.699648804
