Ensembl_ID	m10A	m12A	m14A	m15A	m09A	m21A	m22A	m23A	m24A	m25A	m16A	m17A	m18A	m19A	m20A	GenLoc	Gene_Symbol	MGI_ID	GO_Annot
ENSMUSG00000000817.10	12	4	21	16	8	1	1	0	2	4	38	5	65	41	60	1	Fasl	MGI:99255	Apoptosis
ENSMUSG00000015437.5	16	41	47	66	35	3	2	0	2	8	167	26	77	368	358	14	Gzmb	MGI:109267	Apoptosis
ENSMUSG00000039264.9	224	158	1765	388	503	55	69	44	54	144	1434	206	1413	1275	1790	6	Gimap3	MGI:1932723	Apoptosis
ENSMUSG00000041481.16	546	612	1453	336	353	37	103	26	39	89	3117	336	1928	3191	4548	12	Serpina3g	MGI:105046	Apoptosis
ENSMUSG00000042385.14	8	9	86	25	2	0	0	0	0	2	100	9	63	135	142	13	Gzmk	MGI:1298232	Apoptosis
ENSMUSG00000066363.12	234	296	327	131	207	12	22	8	19	34	1370	287	853	1341	2310	12	Serpina3f	MGI:2182838	Apoptosis
ENSMUSG00000001281.10	200	157	1117	388	371	37	60	31	67	141	1657	180	1213	1007	1505	15	Itgb7	MGI:96616	Other
ENSMUSG00000024670.17	56	28	348	123	123	9	4	2	5	22	341	54	394	360	462	19	Cd6	MGI:103566	Other
ENSMUSG00000030187.15	31	18	88	17	59	4	8	0	0	7	135	32	94	69	195	6	Klra2	MGI:101906	Other
ENSMUSG00000048521.8	66	53	204	172	120	10	21	10	18	18	306	56	644	319	729	9	Cxcr6	MGI:1934582	Other
ENSMUSG00000050232.6	49	34	242	110	109	11	13	6	10	29	428	52	299	232	431	X	Cxcr3	MGI:1277207	Other
ENSMUSG00000052270.7	11	36	73	28	38	6	15	2	4	4	164	31	87	78	146	17	Fpr2	MGI:1278319	Other
ENSMUSG00000000409.14	97	76	1139	214	182	21	18	13	21	52	702	89	687	578	782	4	Lck	MGI:96756	Immunity
ENSMUSG00000002033.14	44	39	382	136	90	18	12	5	12	30	427	46	419	376	459	9	Cd3g	MGI:88333	Immunity
ENSMUSG00000016283.13	98	26	81	82	71	4	14	4	5	12	247	64	198	55	297	17	H2-M2	MGI:95914	Immunity
ENSMUSG00000016496.7	690	1020	646	736	502	164	250	83	143	193	2212	502	2197	2104	3770	19	Cd274	MGI:1926446	Immunity
ENSMUSG00000016498.10	5	0	20	5	7	0	5	1	4	3	83	9	56	163	167	19	Pdcd1lg2	MGI:1930125	Immunity
ENSMUSG00000022126.6	15	27	16	12	9	1	2	0	3	0	87	8	79	89	128	14	Acod1	MGI:103206	Immunity
ENSMUSG00000024338.15	1570	1966	4168	2381	2047	408	955	264	492	669	9750	1714	8024	8746	11603	17	Psmb8	MGI:1346527	Immunity
ENSMUSG00000024610.15	12112	12804	55589	21307	20558	1869	5857	1251	3449	4462	116158	13707	77947	84634	110874	18	Cd74	MGI:96534	Immunity
ENSMUSG00000024669.8	40	33	308	90	97	5	2	1	5	12	223	39	238	246	388	19	Cd5	MGI:88340	Immunity
ENSMUSG00000024910.5	73	47	249	139	87	4	14	3	6	9	459	48	516	449	614	19	Ctsw	MGI:1338045	Immunity
ENSMUSG00000025165.12	10	21	46	19	22	2	4	1	1	1	97	31	77	96	196	11	Sectm1a	MGI:2384805	Immunity
ENSMUSG00000026117.10	46	34	321	90	53	5	9	4	15	21	277	44	268	222	337	1	Zap70	MGI:99613	Immunity
ENSMUSG00000027514.14	164	251	439	195	359	23	93	13	34	53	1307	233	1269	1401	2901	2	Zbp1	MGI:1927449	Immunity
ENSMUSG00000028268.14	1188	1757	1266	1292	1257	222	446	139	310	405	3374	863	3806	3461	5920	3	Gbp3	MGI:1926263	Immunity
ENSMUSG00000030149.15	35	34	153	70	67	2	16	1	9	17	230	41	233	206	363	6	Klrk1	MGI:1196250	Immunity
ENSMUSG00000030165.16	10	9	33	16	20	3	2	1	4	3	99	11	58	68	123	6	Klrd1	MGI:1196275	Immunity
ENSMUSG00000030742.7	63	51	458	123	107	15	6	5	15	24	493	57	442	348	528	7	Lat	MGI:1342293	Immunity
ENSMUSG00000031132.1	11	2	28	11	18	0	0	0	1	0	24	4	25	14	28	X	Cd40lg	MGI:88337	Immunity
ENSMUSG00000032093.7	73	54	549	173	112	13	22	14	13	38	555	74	485	513	568	9	Cd3e	MGI:88332	Immunity
ENSMUSG00000032094.8	39	12	302	63	53	5	7	4	5	17	286	36	268	230	316	9	Cd3d	MGI:88331	Immunity
ENSMUSG00000032661.9	37	64	196	77	104	10	54	7	15	23	343	72	303	394	564	5	Oas3	MGI:2180850	Immunity
ENSMUSG00000034438.16	424	301	631	627	718	53	79	31	46	61	1329	378	1832	991	3548	5	Gbp8	MGI:1923324	Immunity
ENSMUSG00000035186.6	62	103	122	58	93	7	16	7	7	3	820	84	763	581	1218	17	Ubd	MGI:1344410	Immunity
ENSMUSG00000036594.15	4793	5138	17909	8309	7875	688	2199	493	1320	1488	33936	5051	24166	28618	33370	17	H2-Aa	MGI:95895	Immunity
ENSMUSG00000037321.17	1359	1564	3100	1539	1117	244	533	145	354	409	5808	896	4037	4463	6146	17	Tap1	MGI:98483	Immunity
ENSMUSG00000037649.10	522	514	1843	929	1005	134	207	67	125	180	3802	544	2723	3127	4059	17	H2-DMa	MGI:95921	Immunity
ENSMUSG00000040264.10	234	219	483	296	357	17	42	14	23	47	1823	323	1534	977	2641	3	Gbp2b	MGI:95666	Immunity
ENSMUSG00000042345.15	20	22	131	50	31	2	3	3	1	5	163	29	185	109	198	17	Ubash3a	MGI:1926074	Immunity
ENSMUSG00000042351.9	67	47	475	146	118	17	20	13	22	38	405	68	370	289	354	15	Grap2	MGI:1333842	Immunity
ENSMUSG00000046879.7	2379	2221	1522	1952	1302	368	784	314	421	485	5907	1498	7886	10466	11652	11	Irgm1	MGI:107567	Immunity
ENSMUSG00000051457.7	159	214	635	293	248	42	50	17	46	64	857	124	915	795	849	7	Spn	MGI:98384	Immunity
ENSMUSG00000053044.8	33	23	239	92	35	4	3	1	3	12	249	20	338	241	325	6	Cd8b1	MGI:88347	Immunity
ENSMUSG00000053318.7	44	58	135	79	74	5	17	3	14	11	344	63	322	304	602	1	Slamf8	MGI:1921998	Immunity
ENSMUSG00000053977.13	130	93	677	315	128	11	11	6	5	20	947	75	1493	830	1441	6	Cd8a	MGI:88346	Immunity
ENSMUSG00000054072.12	9236	8814	3652	5674	3336	474	2125	379	889	753	12744	3625	16777	16964	21182	18	Iigp1	MGI:1926259	Immunity
ENSMUSG00000059089.4	41	67	135	47	76	5	24	1	3	3	413	108	446	410	796	1	Fcgr4	MGI:2179523	Immunity
ENSMUSG00000060586.11	5831	5970	27219	10288	7132	584	2429	425	1289	1945	49396	4731	32080	22218	53176	17	H2-Eb1	MGI:95901	Immunity
ENSMUSG00000061232.16	20139	22909	49240	33606	25672	4271	11653	3074	7069	8839	75592	18760	73704	47025	85373	17	H2-K1	MGI:95904	Immunity
ENSMUSG00000061577.12	38	24	102	37	35	13	7	9	16	16	160	29	166	194	183	8	Adgrg5	MGI:2685955	Immunity
ENSMUSG00000062545.4	28	14	89	30	18	3	4	0	7	3	181	29	163	133	265	4	Tlr12	MGI:3045221	Immunity
ENSMUSG00000073421.6	5478	5598	19267	9178	9652	750	2219	493	1113	1470	39492	6202	30105	31817	40126	17	H2-Ab1	MGI:103070	Immunity
ENSMUSG00000074151.13	632	627	930	637	684	59	185	46	107	130	1110	462	1198	915	1288	8	Nlrc5	MGI:3612191	Immunity
ENSMUSG00000076498.2	61	56	692	160	134	7	11	9	16	36	534	63	559	422	599	6	Trbc2	MGI:4835227	Immunity
