filename,cluster_index,Metabolite_classes,CF_superclass_score,MeanDecreaseAccuracy,annotation,ppm,M.Z,RT,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,Analog.,Nearest.Neighbors,Restoration_information
X105.07_2.767,39,No matches,0,2.757706304,NA,NA,105.07,2.767,NA,NA,NA,No,Self-Loop,combo_BNZ
X111.044_2.768,2157,No matches,0,2.284332688,NA,NA,111.044,2.768,NA,NA,NA,No,Self-Loop,combo_BNZ
X137.046_0.35,58,Organoheterocyclic compounds,0.325,2.492086159,Hypoxanthine_C5H4N4O,2.189041,137.046,0.35,0.8225,5,9.16E-05,No,Spectral Match to Allopurinol from NIST14,BNZ
X141.959_6.859,760,No matches,0,2.242115459,NA,NA,141.959,6.859,NA,NA,NA,Yes,DIHYDROOROTATE - 70.0 eV,combo_BNZ
X142.027_0.328,6809,No matches,0,3.002693212,NA,NA,142.027,0.328,NA,NA,NA,No,DIHYDROOROTATE - 70.0 eV,combo_BNZ
X192.125_4.643,2339,No matches,0,2.29359359,NA,NA,192.125,4.643,NA,NA,NA,No,NA,combo_BNZ
X249.112_2.768,2081,No matches,0,2.490937123,NA,NA,249.112,2.768,NA,NA,NA,No,Self-Loop,combo_BNZ
X263.091_2.771,6591,No matches,0,3.090346322,NA,NA,263.091,2.771,NA,NA,NA,No,h_43_17_epimethanedienone,combo_BNZ
X263.2_2.895,8017,No matches,0,2.269246645,NA,NA,263.2,2.895,NA,NA,NA,Yes,4-acetyloxy-8-(3-oxo-2-pent-2-enylcyclopenten-1-yl)octanoic acid,combo_BNZ
X276.02_2.431,7079,No matches,0,2.82912917,NA,NA,276.02,2.431,NA,NA,NA,No,NA,combo_BNZ
X281.102_2.768,179,"Nucleosides, nucleotides, and analogues",0.245901639,2.462176845,NA,NA,281.102,2.768,NA,NA,NA,Yes,ADENOSINE-MONOPHOSPHATE,combo_BNZ
X285.133_2.768,75,No matches,0,2.442166543,NA,NA,285.133,2.768,NA,NA,NA,Yes,rhodioloside,combo_BNZ
X295.227_3.017,149,No matches,0,2.364102315,NA,NA,295.227,3.017,NA,NA,NA,No,Self-Loop,combo_BNZ
X296.258_2.976,7935,No matches,0,3.622355236,NA,NA,296.258,2.976,NA,NA,NA,Yes,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585],combo_BNZ
X305.248_3.26,1792,Lipids and lipid-like molecules,0.75,2.316497892,"cis-5,8,11,14-Eicosatetraenoic acid_C20H32O2",0.327602,305.248,3.26,0.824589,12,0.00149536,No,"Spectral Match to cis-5,8,11,14-Eicosatetraenoic acid from NIST14",combo_BNZ
X369.17_2.767,8306,No matches,0,2.232433525,NA,NA,369.17,2.767,NA,NA,NA,Yes,"[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",combo_BNZ
X400.342_2.89,346,Lipids and lipid-like molecules,0.196969697,3.192293037,CAR 16:0_C23H45NO4,0.24978637,400.342,2.89,0.9779,9,0.000183105,No,Massbank:RP025603 Stearoyl-L-Carnitine|stearoylcarnitine|3-octadecanoyloxy-4-(trimethylazaniumyl)butanoate,BNZ
X409.162_2.768,14,No matches,0,3.021907759,NA,NA,409.162,2.768,NA,NA,NA,No,Self-Loop,combo_BNZ
X425.136_2.773,136,No matches,0,4.509621196,NA,NA,425.136,2.773,NA,NA,NA,No,Self-Loop,combo_BNZ
X440.337_2.765,5113,Lipids and lipid-like molecules,0.196969697,3.115936299,CAR 18:2;O_C25H45NO5,0,440.337,2.765,0.935914,6,13.9796,Yes,Massbank:RP025103 Oleoyl-L-Carnitine|(3R)-3-[(Z)-octadec-9-enoyl]oxy-4-(trimethylazaniumyl)butanoate,combo_BNZ
X448.342_2.867,1830,Lipids and lipid-like molecules,0.196969697,2.61220254,CAR 20:4_C27H45NO4,0.223043966,448.342,2.867,0.826603,6,21.9842,Yes,Spectral Match to Palmitoylcarnitine from NIST14,combo_BNZ
X489.228_2.768,25,No matches,0,2.895790156,NA,NA,489.228,2.768,NA,NA,NA,No,"[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",combo_BNZ
X538.315_2.977,358,No matches,0,2.941103831,NA,NA,538.315,2.977,NA,NA,NA,No,DIDECANOYL-GLYCEROPHOSPHOCHOLINE,combo_BNZ
X596.357_2.948,13,No matches,0,2.656246921,PC 20:1;O2_C28H54NO10P,2.012221563,596.357,2.948,0.934193,6,82.1511,Yes,Self-Loop,combo_BNZ
X650.978_2.339,3137,No matches,0,2.558289402,NA,NA,650.978,2.339,NA,NA,NA,No,NA,combo_BNZ
X664.419_3.086,190,No matches,0,2.129977788,NA,NA,664.419,3.086,NA,NA,NA,Yes,Self-Loop,combo_BNZ
X668.414_2.975,2133,No matches,0,2.32186407,NA,NA,668.414,2.975,NA,NA,NA,Yes,Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14,combo_BNZ
X696.443_3.1,8020,No matches,0,2.137099375,NA,NA,696.443,3.1,NA,NA,NA,Yes,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,combo_BNZ
X696.445_3.083,587,No matches,0,2.736024117,NA,NA,696.445,3.083,NA,NA,NA,Yes,Self-Loop,BNZ
X748.439_2.944,1001,No matches,0,2.175178151,NA,NA,748.439,2.944,NA,NA,NA,Yes,Self-Loop,combo_BNZ
