filename,cluster_index,Metabolite_classes,CF_superclass_score,MeanDecreaseAccuracy,annotation,ppm,M.Z,RT,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,Analog.,Nearest.Neighbors,Restoration_information
X105.07_2.767,39,No matches,0,3.891764369,NA,NA,105.07,2.767,NA,NA,NA,No,Self-Loop,not_restored
X111.044_2.768,2157,No matches,0,3.591253378,NA,NA,111.044,2.768,NA,NA,NA,No,Self-Loop,not_restored
X132.102_0.307,101,No matches,0,2.120854978,NA,NA,132.102,0.307,NA,NA,NA,No,Gyromitrin,combo_BNZ
X137.046_0.35,58,Organoheterocyclic compounds,0.325,3.94252503,Hypoxanthine_C5H4N4O,2.189041,137.046,0.35,0.8225,5,9.16E-05,No,Spectral Match to Allopurinol from NIST14,not_restored
X142.035_0.315,536,No matches,0,2.520380173,NA,NA,142.035,0.315,NA,NA,NA,No,DIHYDROOROTATE - 70.0 eV,combo
X150.059_0.3,721,Organic acids and derivatives,0.5,3.031617236,Methionine_C5H11NO2S,0.666405,150.059,0.3,0.926149,6,0.000305176,No,Massbank:PB000442 Methionine|2-amino-4-methylsulfanylbutanoic acid,not_restored
X200.165_3.207,7574,No matches,0,2.200047775,NA,NA,200.165,3.207,NA,NA,NA,Yes,alpha-Pinene,not_restored
X214.181_2.634,97,No matches,0,4.080736993,NA,NA,214.181,2.634,NA,NA,NA,Yes,MUCIC ACID,combo
X226.181_2.61,18,Phenylpropanoids and polyketides,0.090909091,2.215086701,NA,NA,226.181,2.61,NA,NA,NA,Yes,Spectral Match to Monoelaidin from NIST14,combo_BNZ
X236.163_2.635,5309,No matches,0,3.64473744,NA,NA,236.163,2.635,NA,NA,NA,No,Self-Loop,combo
X242.212_2.78,424,No matches,0,2.332087645,NA,NA,242.212,2.78,NA,NA,NA,Yes,Self-Loop,combo
X242.586_2.766,9151,No matches,0,2.257247174,NA,NA,242.586,2.766,NA,NA,NA,No,h_43_17_epimethanedienone,combo
X249.112_2.768,2081,No matches,0,3.74573234,NA,NA,249.112,2.768,NA,NA,NA,No,Self-Loop,not_restored
X256.227_2.847,146,No matches,0,2.10338515,NA,NA,256.227,2.847,NA,NA,NA,No,Massbank:AU250206 Octyl-methoxycinnamate|Octinoxate|2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate,combo_BNZ
X267.123_2.767,53,No matches,0,3.727081357,NA,NA,267.123,2.767,NA,NA,NA,Yes,D-Mannitol,not_restored
X268.105_0.35,5245,"Nucleosides, nucleotides, and analogues",0.245901639,4.370076728,Adenosine_C10H13N5O4,2.237933,268.104,0.35,0.989704,8,0.000396729,No,INOSINE - 50.0 eV,not_restored
X269.088_0.35,529,"Nucleosides, nucleotides, and analogues",0.245901639,2.404486584,Inosine_C10H12N4O5,2.229749,269.088,0.35,0.950718,5,0.00140381,No,INOSINE - 50.0 eV,not_restored
X277.216_3.018,479,Lipids and lipid-like molecules,0.166666667,2.484820259,"9,12-Octadecadiynoic Acid_C18H28O2",2.885828,277.216,3.018,0.895177,9,0.000396729,No,"Spectral Match to 9,12-Octadecadiynoic Acid from NIST14",BNZ
X278.186_2.23,8197,No matches,0,2.361584542,NA,NA,278.186,2.23,NA,NA,NA,No,NA,combo_BNZ
X278.248_3.1,206,No matches,0,2.727758899,NA,NA,278.248,3.1,NA,NA,NA,Yes,"Spectral Match to 14,15-EE-(8Z)-E from NIST14",not_restored
X280.264_3.159,5285,No matches,0,3.175438197,NA,NA,280.264,3.159,NA,NA,NA,Yes,Spectral Match to 1-Linoleoylglycerol from NIST14,not_restored
X281.102_2.768,179,"Nucleosides, nucleotides, and analogues",0.245901639,3.414511951,NA,NA,281.102,2.768,NA,NA,NA,Yes,ADENOSINE-MONOPHOSPHATE,combo
X285.133_2.768,75,No matches,0,3.403810508,NA,NA,285.133,2.768,NA,NA,NA,Yes,rhodioloside,not_restored
X295.227_3.017,149,No matches,0,2.675945123,NA,NA,295.227,3.017,NA,NA,NA,No,Self-Loop,BNZ
X298.2_2.676,979,No matches,0,2.442767572,NA,NA,298.2,2.676,NA,NA,NA,No,Cholestan-3-One,combo_BNZ
X300.199_2.264,5883,No matches,0,3.104916281,NA,NA,300.199,2.264,NA,NA,NA,No,Self-Loop,combo
X303.648_2.884,9157,No matches,0,3.712866123,NA,NA,303.648,2.884,NA,NA,NA,No,NA,not_restored
X306.279_2.989,487,No matches,0,3.110613733,NA,NA,306.279,2.989,NA,NA,NA,Yes,"Spectral Match to 9Z,11E,13E-Octadecatrienoic acid ethyl ester from NIST14",not_restored
X306.279_3.212,920,No matches,0,2.572571997,NA,NA,306.279,3.212,NA,NA,NA,Yes,"Spectral Match to 14,15-EE-(8Z)-E from NIST14",not_restored
X308.295_3.045,8338,No matches,0,3.961060402,NA,NA,308.295,3.045,NA,NA,NA,Yes,Spectral Match to 1-Linoleoylglycerol from NIST14,combo
X324.29_3.082,200,No matches,0,2.60504217,NA,NA,324.29,3.082,NA,NA,NA,Yes,Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14,combo
X327.232_3.01,5826,Lipids and lipid-like molecules,0.166666667,3.880467878,11-HDOHE_C22H32O3,1.222373,327.232,3.01,0.772703,14,0.000518799,No,"Spectral Match to (.+/-.)-11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid from NIST14",BNZ
X348.288_3.044,7261,No matches,0,2.162823453,NA,NA,348.288,3.044,NA,NA,NA,No,Self-Loop,combo_BNZ
X369.17_2.767,8306,No matches,0,3.650931822,NA,NA,369.17,2.767,NA,NA,NA,Yes,"[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",not_restored
X387.181_2.767,2,No matches,0,3.754613299,NA,NA,387.181,2.767,NA,NA,NA,No,smenospongidine,not_restored
X404.207_2.768,5,No matches,0,3.455191379,NA,NA,404.207,2.768,NA,NA,NA,No,smenospongidine,not_restored
X406.154_2.765,7464,No matches,0,2.918643762,NA,NA,406.154,2.765,NA,NA,NA,Yes,smenospongidine,not_restored
X409.162_2.768,14,No matches,0,2.211742254,NA,NA,409.162,2.768,NA,NA,NA,No,Self-Loop,combo
X415.14_2.768,1870,No matches,0,3.344809785,NA,NA,415.14,2.768,NA,NA,NA,No,NA,not_restored
X430.223_2.768,8304,No matches,0,3.07671084,NA,NA,430.223,2.768,NA,NA,NA,Yes,"ReSpect:PT101903 Cytidine-5'-diphosphate sodium salt hydrate,from yeast|CDP Sodium Salt|Cytidine 5'-Diphosphoric Acid|[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen p",not_restored
X446.218_2.884,378,No matches,0,2.433845219,NA,NA,446.218,2.884,NA,NA,NA,No,"ReSpect:PT111810 1-O-b-D-glucopyranosyl sinapate|1-O-Sinapoyl-beta-D-glucose|1-O-Sinapoyl beta-D-glucoside|[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-eno",not_restored
X475.989_2.164,495,No matches,0,2.360467589,NA,NA,475.989,2.164,NA,NA,NA,No,NA,not_restored
X476.24_2.164,436,No matches,0,2.866322951,NA,NA,476.24,2.164,NA,NA,NA,No,NA,not_restored
X486.098_2.765,1079,No matches,0,2.936988906,NA,NA,486.098,2.765,NA,NA,NA,No,NA,not_restored
X489.228_2.768,25,No matches,0,4.403976006,NA,NA,489.228,2.768,NA,NA,NA,No,"[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",not_restored
