filename,LVT
X203.007_0.309,group15
X293.211_2.933,group15
X311.221_2.932,group15
X440.337_2.765,group15
X249.112_2.768,group9
X272.222_2.957,group9
X345.243_3.095,group9
X546.029_2.319,group9
X607.227_2.771,group9
X690.434_3.14,group9
X692.414_2.985,group9
X720.445_3.09,group9
X737.391_2.399,group9
X776.095_2.398,group9
X776.148_2.398,group9
X776.359_2.398,group9
X819.433_2.399,group9
X867.281_2.399,group9
X141.091_1.54,group9_group15
X296.258_2.976,group9_group15
X366.373_3.699,group9_group15
X608.227_2.768,group9_group15
X708.445_3.006,group9_group15
X709.936_2.18,group9_group15
X776.042_2.398,group9_group15
