filename,RA
X137.046_0.35,group15
X400.342_2.89,group15
X696.445_3.083,group15
X105.07_2.767,group9_group15
X111.044_2.768,group9_group15
X141.959_6.859,group9_group15
X142.027_0.328,group9_group15
X192.125_4.643,group9_group15
X249.112_2.768,group9_group15
X263.091_2.771,group9_group15
X263.2_2.895,group9_group15
X276.02_2.431,group9_group15
X281.102_2.768,group9_group15
X285.133_2.768,group9_group15
X295.227_3.017,group9_group15
X296.258_2.976,group9_group15
X305.248_3.26,group9_group15
X369.17_2.767,group9_group15
X409.162_2.768,group9_group15
X425.136_2.773,group9_group15
X440.337_2.765,group9_group15
X448.342_2.867,group9_group15
X489.228_2.768,group9_group15
X538.315_2.977,group9_group15
X596.357_2.948,group9_group15
X650.978_2.339,group9_group15
X664.419_3.086,group9_group15
X668.414_2.975,group9_group15
X696.443_3.1,group9_group15
X748.439_2.944,group9_group15
