filename,RVT
X111.044_2.768,group9_group15
X122.082_0.534,group9_group15
X142.035_0.315,group9_group15
X198.15_2.471,group9_group15
X200.165_3.207,group9_group15
X216.16_2.471,group9_group15
X232.191_2.63,group9_group15
X249.112_2.768,group9_group15
X303.305_3.529,group9_group15
X303.648_2.884,group9_group15
X324.327_3.455,group9_group15
X327.232_3.01,group9_group15
X333.063_2.524,group9_group15
X334.311_3.335,group9_group15
X369.17_2.767,group9_group15
X489.228_2.768,group9_group15
X568.341_2.887,group9_group15
X570.357_2.934,group9_group15
X599.241_2.765,group9_group15
X602.344_2.984,group9_group15
X604.362_2.948,group9_group15
X792.329_2.764,group9_group15
