organ,LA,LVB,LVT,RA,RVB,RVT,all_sum
X365.232_2.881,0.0000106,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000106
X784.51_3.338,0.0000107,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000107
X429.319_3.126,0.0000107,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000107
X357.301_4.292,0.0000108,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000108
X470.42_3.094,0.0000108,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000108
X544.304_2.727,0.000011,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000011
X330.337_2.844,0.000011,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000011
X620.598_4.648,0.0000111,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000111
X399.326_3.519,0.0000116,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000116
X531.387_3.175,0.0000116,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000116
X341.305_3.469,0.0000117,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000117
X572.29_2.141,0.0000118,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000118
X800.616_5.613,0.0000121,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000121
X738.506_3.586,0.0000122,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000122
X419.352_3.506,0.0000123,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000123
X528.33_2.778,0,0.00E+00,1.25E-05,0.00E+00,0.00E+00,0,0.0000125
X539.415_3.114,0.0000126,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000126
X752.485_3.364,0,0.00E+00,0.00E+00,1.27E-05,0.00E+00,0,0.0000127
X227.179_3.143,0,0.00E+00,1.27E-05,0.00E+00,0.00E+00,0,0.0000127
X357.301_4.199,0.0000128,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000128
X561.398_3.107,0.0000129,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000129
X358.295_3.078,0.000013,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000013
X137.038_5.762,0.0000131,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000131
X574.32_3.108,0.0000131,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000131
X487.361_3.179,0.0000131,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000131
X722.47_3.124,0.0000132,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000132
X804.61_3.876,0.0000136,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000136
X510.437_3.189,0.0000138,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000138
X722.496_3.21,0.000014,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000014
X717.554_3.533,0.000014,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000014
X590.717_2.37,0.000014,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000014
X510.452_3.16,0,0.00E+00,1.42E-05,0.00E+00,0.00E+00,0,0.0000142
X381.227_2.644,0,0.00E+00,1.43E-05,0.00E+00,0.00E+00,0,0.0000143
X554.251_2.611,0,0.00E+00,1.43E-05,0.00E+00,0.00E+00,0,0.0000143
X291.159_2.637,0,0.00E+00,1.46E-05,0.00E+00,0.00E+00,0,0.0000146
X584.473_3.112,0.0000148,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000148
X546.283_3.015,0.0000149,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000149
X962.559_3.245,0,0.00E+00,0.00E+00,0.00E+00,1.50E-05,0,0.000015
X762.506_3.432,0,0.00E+00,0.00E+00,0.00E+00,1.50E-05,0,0.000015
X878.569_3.588,0.0000155,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000155
X410.406_2.232,0.0000156,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000156
X428.301_2.691,0.0000156,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000156
X377.155_2.375,0,0.00E+00,0.00E+00,0.00E+00,1.59E-05,0,0.0000159
