DPI,DPI_50,DPI_75,DPI_142,sum
X373.238_2.855,0.00E+00,6.78E-06,0,0.00000678
X424.27_2.835,0.00E+00,7.08E-06,0,0.00000708
X876.537_3.262,0.00E+00,7.14E-06,0,0.00000714
X159.117_2.781,0.00E+00,7.24E-06,0,0.00000724
X440.265_2.648,0.00E+00,7.69E-06,0,0.00000769
X548.336_2.972,0.00E+00,7.94E-06,0,0.00000794
X327.216_2.819,0.00E+00,8.00E-06,0,0.000008
X534.296_2.937,0.00E+00,8.07E-06,0,0.00000807
X833.586_5.559,0.00E+00,8.21E-06,0,0.00000821
X361.89_2.144,0.00E+00,8.33E-06,0,0.00000833
X258.17_2.454,0.00E+00,8.72E-06,0,0.00000872
X385.167_2.655,0.00E+00,8.74E-06,0,0.00000874
X435.482_2.212,0.00E+00,9.02E-06,0,0.00000902
X405.226_2.801,0.00E+00,9.24E-06,0,0.00000924
X383.243_2.686,0.00E+00,1.02E-05,0,0.0000102
X280.139_0.313,0.00E+00,1.02E-05,0,0.0000102
X748.62_3.417,0.00E+00,1.06E-05,0,0.0000106
X429.319_3.126,1.07E-05,0.00E+00,0,0.0000107
X357.301_4.292,1.08E-05,0.00E+00,0,0.0000108
X564.366_3.017,0.00E+00,1.10E-05,0,0.000011
X330.337_2.844,1.10E-05,0.00E+00,0,0.000011
X242.175_2.774,1.11E-05,0.00E+00,0,0.0000111
X816.647_3.49,0.00E+00,1.11E-05,0,0.0000111
X564.498_2.407,0.00E+00,1.11E-05,0,0.0000111
X552.268_2.549,0.00E+00,1.12E-05,0,0.0000112
X237.087_0.467,0.00E+00,1.15E-05,0,0.0000115
X836.601_4.111,0.00E+00,0.00E+00,0.0000116,0.0000116
X531.387_3.175,1.16E-05,0.00E+00,0,0.0000116
X664.311_2.433,0.00E+00,1.16E-05,0,0.0000116
X362.29_2.707,1.20E-05,0.00E+00,0,0.000012
X800.616_5.613,1.21E-05,0.00E+00,0,0.0000121
X622.263_2.51,0.00E+00,1.22E-05,0,0.0000122
X322.691_2.125,0.00E+00,1.24E-05,0,0.0000124
X636.424_3.228,0.00E+00,1.24E-05,0,0.0000124
X539.415_3.114,1.26E-05,0.00E+00,0,0.0000126
X105.954_3.647,1.27E-05,0.00E+00,0,0.0000127
X561.398_3.107,1.29E-05,0.00E+00,0,0.0000129
X1025.618_2.934,0.00E+00,1.31E-05,0,0.0000131
X487.361_3.179,1.31E-05,0.00E+00,0,0.0000131
X433.266_2.136,0.00E+00,1.32E-05,0,0.0000132
X590.793_2.315,0.00E+00,1.33E-05,0,0.0000133
X676.453_3.155,0.00E+00,1.33E-05,0,0.0000133
X644.392_3.176,1.34E-05,0.00E+00,0,0.0000134
X299.633_2.896,0.00E+00,1.35E-05,0,0.0000135
X451.219_2.403,0.00E+00,1.36E-05,0,0.0000136
X609.318_2.215,0.00E+00,1.37E-05,0,0.0000137
