DPI,DPI_50,DPI_75,DPI_142,sum
X662.437_3.088,0.00E+00,0.00E+00,0.00000855,0.00000855
X199.17_2.558,0.00E+00,0.00E+00,0.00000863,0.00000863
X443.205_2.666,0.00E+00,0.00E+00,0.0000091,0.0000091
X506.216_2.307,0.00E+00,0.00E+00,0.00000945,0.00000945
X402.78_3.474,0.00E+00,0.00E+00,0.00000958,0.00000958
X646.372_3,0.00E+00,0.00E+00,0.00000988,0.00000988
X664.454_3.212,0.00E+00,0.00E+00,0.00000992,0.00000992
X241.227_2.948,0.00E+00,0.00E+00,0.00000994,0.00000994
X544.304_2.727,0.00E+00,0.00E+00,0.0000101,0.0000101
X453.213_2.522,0.00E+00,0.00E+00,0.0000101,0.0000101
X768.588_5.586,0.00E+00,0.00E+00,0.0000103,0.0000103
X796.62_5.631,0.00E+00,0.00E+00,0.0000104,0.0000104
X115.051_5.274,0.00E+00,0.00E+00,0.0000106,0.0000106
X387.216_2.692,0.00E+00,0.00E+00,0.0000106,0.0000106
X475.195_2.512,0.00E+00,0.00E+00,0.0000108,0.0000108
X732.553_4.261,0.00E+00,0.00E+00,0.0000111,0.0000111
X838.594_3.65,0.00E+00,0.00E+00,0.0000112,0.0000112
X766.574_4.106,0.00E+00,0.00E+00,0.0000112,0.0000112
X566.273_2.608,0.00E+00,0.00E+00,0.0000113,0.0000113
X453.213_2.45,0.00E+00,0.00E+00,0.0000113,0.0000113
X518.253_2.43,0.00E+00,0.00E+00,0.0000113,0.0000113
X752.558_4.163,0.00E+00,0.00E+00,0.0000115,0.0000115
X864.521_3.258,0.00E+00,0.00E+00,0.0000117,0.0000117
X212.201_3.565,0.00E+00,0.00E+00,0.000012,0.000012
X331.205_2.463,0.00E+00,0.00E+00,0.000012,0.000012
X446.261_2.274,0.00E+00,0.00E+00,0.000012,0.000012
X710.423_3.033,0.00E+00,1.23E-05,0,0.0000123
X296.295_3.557,0.00E+00,0.00E+00,0.0000123,0.0000123
X812.521_3.604,0.00E+00,0.00E+00,0.0000123,0.0000123
X461.739_2.087,0.00E+00,0.00E+00,0.0000125,0.0000125
X602.273_2.861,0.00E+00,0.00E+00,0.0000125,0.0000125
X436.174_2.304,0.00E+00,0.00E+00,0.0000125,0.0000125
X698.437_3.068,0.00E+00,0.00E+00,0.0000127,0.0000127
X696.3_2.38,0.00E+00,0.00E+00,0.0000127,0.0000127
X745.622_3.35,0.00E+00,1.28E-05,0,0.0000128
X424.74_5.615,0.00E+00,0.00E+00,0.0000129,0.0000129
X466.352_2.807,0.00E+00,0.00E+00,0.000013,0.000013
X386.29_2.704,0.00E+00,0.00E+00,0.0000133,0.0000133
X242.567_2.774,1.36E-05,0.00E+00,0,0.0000136
X718.574_3.397,0.00E+00,1.38E-05,0,0.0000138
X391.246_2.932,1.38E-05,0.00E+00,0,0.0000138
X237.185_3.468,0.00E+00,0.00E+00,0.0000139,0.0000139
X748.583_3.471,0.00E+00,1.40E-05,0,0.000014
X370.331_3.171,1.41E-05,0.00E+00,0,0.0000141
X552.295_2.672,1.42E-05,0.00E+00,0,0.0000142
X512.336_2.657,0.00E+00,1.42E-05,0,0.0000142
X768.59_5.617,1.42E-05,0.00E+00,0,0.0000142
X396.383_3.046,0.00E+00,0.00E+00,0.0000142,0.0000142
X381.227_2.644,1.43E-05,0.00E+00,0,0.0000143
X554.251_2.611,1.43E-05,0.00E+00,0,0.0000143
X1134.137_2.401,0.00E+00,0.00E+00,0.0000143,0.0000143
X297.29_3.234,0.00E+00,0.00E+00,0.0000144,0.0000144
X380.322_4.083,0.00E+00,1.46E-05,0,0.0000146
X291.159_2.637,1.46E-05,0.00E+00,0,0.0000146
X774.599_3.283,0.00E+00,1.47E-05,0,0.0000147
X784.547_3.694,1.47E-05,0.00E+00,0,0.0000147
X479.228_2.399,1.47E-05,0.00E+00,0,0.0000147
X115.054_2.506,0.00E+00,0.00E+00,0.0000148,0.0000148
X492.367_2.904,0.00E+00,0.00E+00,0.0000149,0.0000149
X552.33_2.993,0.00E+00,0.00E+00,0.000015,0.000015
X212.201_3.282,1.50E-05,0.00E+00,0,0.000015
X784.547_3.568,1.50E-05,0.00E+00,0,0.000015
X552.297_2.54,1.51E-05,0.00E+00,0,0.0000151
X709.649_2.179,0.00E+00,0.00E+00,0.0000151,0.0000151
X307.19_2.736,1.53E-05,0.00E+00,0,0.0000153
X438.322_2.729,0.00E+00,1.53E-05,0,0.0000153
X380.112_0.423,0.00E+00,0.00E+00,0.0000153,0.0000153
X384.395_2.542,1.54E-05,0.00E+00,0,0.0000154
X276.199_2.623,0.00E+00,0.00E+00,0.0000156,0.0000156
X298.31_3.418,0.00E+00,0.00E+00,0.0000157,0.0000157
X748.583_3.524,0.00E+00,1.57E-05,0,0.0000157
X704.485_3.261,1.59E-05,0.00E+00,0,0.0000159
X415.357_3.504,1.59E-05,0.00E+00,0,0.0000159
X381.227_2.697,1.59E-05,0.00E+00,0,0.0000159
X811.941_2.422,1.59E-05,0.00E+00,0,0.0000159
X801.433_2.883,0.00E+00,1.60E-05,0,0.000016
X528.367_2.865,0.00E+00,1.60E-05,0,0.000016
X315.109_2.399,0.00E+00,1.63E-05,0,0.0000163
X1065.685_2.933,0.00E+00,1.63E-05,0,0.0000163
X173.072_2.415,0.00E+00,0.00E+00,0.0000165,0.0000165
X722.425_2.954,0.00E+00,1.65E-05,0,0.0000165
X242.212_3.324,0.00E+00,0.00E+00,0.0000166,0.0000166
X282.206_2.716,0.00E+00,1.66E-05,0,0.0000166
X675.677_3.534,0.00E+00,0.00E+00,0.0000166,0.0000166
X771.636_3.626,0.00E+00,1.67E-05,0,0.0000167
X366.203_2.245,0.00E+00,0.00E+00,0.0000168,0.0000168
X718.574_3.28,0.00E+00,1.68E-05,0,0.0000168
X247.133_2.564,0.00E+00,1.69E-05,0,0.0000169
X194.155_2.386,1.72E-05,0.00E+00,0,0.0000172
X354.373_3.762,0.00E+00,0.00E+00,0.0000172,0.0000172
X192.701_2.544,1.72E-05,0.00E+00,0,0.0000172
X736.439_3.066,0.00E+00,0.00E+00,0.0000174,0.0000174
X263.2_2.895,0.00E+00,1.75E-05,0,0.0000175
X368.388_3.93,0.00E+00,1.75E-05,0,0.0000175
X488.208_2.381,0.00E+00,0.00E+00,0.0000176,0.0000176
X1273.605_3.33,1.76E-05,0.00E+00,0,0.0000176
X568.323_2.953,0.00E+00,1.77E-05,0,0.0000177
X406.208_2.642,1.79E-05,0.00E+00,0,0.0000179
X274.184_2.58,0.00E+00,0.00E+00,0.000018,0.000018
X108.069_4.53,1.81E-05,0.00E+00,0,0.0000181
X506.589_2.206,0.00E+00,0.00E+00,0.0000181,0.0000181
X706.501_3.33,0.00E+00,0.00E+00,0.0000182,0.0000182
X772.584_3.341,1.82E-05,0.00E+00,0,0.0000182
X450.227_2.354,1.83E-05,0.00E+00,0,0.0000183
X630.412_3.133,1.83E-05,0.00E+00,0,0.0000183
X242.1_0.35,1.86E-05,0.00E+00,0,0.0000186
X105.954_3.973,0.00E+00,0.00E+00,0.0000188,0.0000188
X637.582_2.364,1.89E-05,0.00E+00,0,0.0000189
X291.195_2.749,1.91E-05,0.00E+00,0,0.0000191
X836.613_5.59,0.00E+00,1.91E-05,0,0.0000191
X728.558_5.578,0.00E+00,0.00E+00,0.0000191,0.0000191
X248.132_2.378,1.93E-05,0.00E+00,0,0.0000193
X368.389_3.935,0.00E+00,1.94E-05,0,0.0000194
X665.357_2.437,0.00E+00,0.00E+00,0.0000194,0.0000194
X316.513_2.11,0.00E+00,1.95E-05,0,0.0000195
X396.275_2.709,2.01E-05,0.00E+00,0,0.0000201
X399.215_2.764,2.01E-05,0.00E+00,0,0.0000201
X814.535_5.545,0.00E+00,0.00E+00,0.0000201,0.0000201
X591.618_2.201,0.00E+00,2.02E-05,0,0.0000202
X445.367_3.761,0.00E+00,0.00E+00,0.0000202,0.0000202
X698.461_3.073,2.04E-05,0.00E+00,0,0.0000204
X782.532_3.599,0.00E+00,0.00E+00,0.0000204,0.0000204
X620.393_5.623,0.00E+00,2.04E-05,0,0.0000204
X379.284_3.175,0.00E+00,0.00E+00,0.0000206,0.0000206
X358.235_2.594,0.00E+00,0.00E+00,0.000021,0.000021
X792.59_5.628,2.10E-05,0.00E+00,0,0.000021
X724.527_5.587,0.00E+00,0.00E+00,0.000021,0.000021
