DPI,DPI_50,DPI_75,DPI_142,sum
X860.54_3.333,1.17E-05,0.00E+00,0,0.0000117
X752.485_3.364,1.27E-05,0.00E+00,0,0.0000127
X894.548_3.086,1.31E-05,0.00E+00,0,0.0000131
X766.574_4.106,1.37E-05,0.00E+00,0,0.0000137
X860.541_3.347,1.38E-05,0.00E+00,0,0.0000138
X808.547_3.517,1.40E-05,0.00E+00,0,0.000014
X180.022_5.922,1.43E-05,0.00E+00,0,0.0000143
X506.361_3.016,1.46E-05,0.00E+00,0,0.0000146
X844.546_3.486,1.49E-05,0.00E+00,0,0.0000149
X888.521_3.27,1.50E-05,0.00E+00,0,0.000015
X217.104_2.956,1.51E-05,0.00E+00,0,0.0000151
X212.201_3.503,0.00E+00,1.57E-05,0,0.0000157
X141.091_1.354,1.59E-05,0.00E+00,0,0.0000159
X536.371_3.013,0.00E+00,1.60E-05,0,0.000016
X462.298_2.924,1.61E-05,0.00E+00,0,0.0000161
X143.118_0.441,1.62E-05,0.00E+00,0,0.0000162
X199.17_0.961,1.64E-05,0.00E+00,0,0.0000164
X261.185_2.107,1.64E-05,0.00E+00,0,0.0000164
X626.33_3.277,0.00E+00,1.64E-05,0,0.0000164
X776.507_3.184,1.65E-05,0.00E+00,0,0.0000165
X438.379_3.197,1.70E-05,0.00E+00,0,0.000017
X766.448_2.91,0.00E+00,1.71E-05,0,0.0000171
X748.475_3.146,1.71E-05,0.00E+00,0,0.0000171
X235.17_0.454,1.72E-05,0.00E+00,0,0.0000172
X100.076_1.335,1.73E-05,0.00E+00,0,0.0000173
X822.526_3.333,1.75E-05,0.00E+00,0,0.0000175
X560.253_2.206,0.00E+00,1.77E-05,0,0.0000177
X832.583_5.551,0.00E+00,0.00E+00,0.0000179,0.0000179
X702.434_3.129,0.00E+00,0.00E+00,0.0000179,0.0000179
X548.335_2.94,1.81E-05,0.00E+00,0,0.0000181
X946.606_3.379,0.00E+00,1.82E-05,0,0.0000182
X576.571_4.664,0.00E+00,1.83E-05,0,0.0000183
X572.262_2.707,0.00E+00,1.84E-05,0,0.0000184
X658.408_3.184,0.00E+00,1.84E-05,0,0.0000184
X700.527_3.967,0.00E+00,1.85E-05,0,0.0000185
X407.756_5.679,1.86E-05,0.00E+00,0,0.0000186
X113.518_3.673,1.87E-05,0.00E+00,0,0.0000187
X122.964_6.349,1.88E-05,0.00E+00,0,0.0000188
X848.564_3.208,0.00E+00,0.00E+00,0.0000189,0.0000189
X1147.751_3.056,0.00E+00,1.90E-05,0,0.000019
X417.337_3.425,0.00E+00,1.90E-05,0,0.000019
X537.367_2.959,0.00E+00,1.94E-05,0,0.0000194
X367.212_2.65,0.00E+00,0.00E+00,0.0000194,0.0000194
X912.467_2.871,0.00E+00,0.00E+00,0.0000195,0.0000195
X386.29_2.704,0.00E+00,0.00E+00,0.0000195,0.0000195
X257.117_0.431,0.00E+00,0.00E+00,0.0000195,0.0000195
X746.496_3.353,1.99E-05,0.00E+00,0,0.0000199
X442.389_3.008,1.99E-05,0.00E+00,0,0.0000199
X279.205_2.564,0.00E+00,0.00E+00,0.00002,0.00002
X343.286_5.593,0.00E+00,0.00E+00,0.0000201,0.0000201
X367.212_2.569,0.00E+00,0.00E+00,0.0000201,0.0000201
X838.63_5.599,2.04E-05,0.00E+00,0,0.0000204
X593.276_2.234,0.00E+00,2.05E-05,0,0.0000205
X397.382_4.184,0.00E+00,2.05E-05,0,0.0000205
X758.531_3.488,0.00E+00,2.06E-05,0,0.0000206
X666.47_3.143,0.00E+00,0.00E+00,0.0000208,0.0000208
X262.165_0.431,0.00E+00,0.00E+00,0.0000208,0.0000208
X510.283_2.723,0.00E+00,2.08E-05,0,0.0000208
X350.305_3.336,0.00E+00,0.00E+00,0.0000209,0.0000209
X554.345_3.062,0.00E+00,2.10E-05,0,0.000021
X319.227_2.783,0.00E+00,2.11E-05,0,0.0000211
X488.516_2.327,2.11E-05,0.00E+00,0,0.0000211
X309.157_2.415,0.00E+00,0.00E+00,0.0000211,0.0000211
X818.552_3.289,0.00E+00,0.00E+00,0.0000212,0.0000212
X233.581_2.766,0.00E+00,2.13E-05,0,0.0000213
X608.356_3.125,0.00E+00,2.14E-05,0,0.0000214
X904.553_3.289,0.00E+00,0.00E+00,0.0000214,0.0000214
X142.981_5.612,2.15E-05,0.00E+00,0,0.0000215
X718.465_3.24,0.00E+00,0.00E+00,0.0000216,0.0000216
X748.511_3.295,0.00E+00,0.00E+00,0.0000216,0.0000216
X612.312_2.244,0.00E+00,2.16E-05,0,0.0000216
X391.211_2.639,0.00E+00,2.18E-05,0,0.0000218
X384.116_0.473,0.00E+00,0.00E+00,0.0000218,0.0000218
X373.282_2.17,0.00E+00,2.18E-05,0,0.0000218
X756.516_3.487,0.00E+00,0.00E+00,0.000022,0.000022
X223.097_2.74,0.00E+00,2.20E-05,0,0.000022
X720.591_5.646,0.00E+00,2.21E-05,0,0.0000221
X336.253_2.869,0.00E+00,2.24E-05,0,0.0000224
X676.382_2.983,2.24E-05,0.00E+00,0,0.0000224
