DPI,DPI_50,DPI_75,DPI_142,sum
X302.208_2.286,0.00E+00,2.36E-05,0,0.0000236
X326.342_3.543,0.00E+00,0.00E+00,0.0000246,0.0000246
X574.279_2.652,0.00E+00,2.53E-05,0,0.0000253
X734.459_2.999,0.00E+00,2.58E-05,0,0.0000258
X906.569_3.264,0.00E+00,2.66E-05,0,0.0000266
X706.428_3.062,0.00E+00,2.78E-05,0,0.0000278
X842.589_3.52,0.00E+00,2.80E-05,0,0.000028
X894.548_3.257,0.00E+00,2.82E-05,0,0.0000282
X306.152_2.932,0.00E+00,2.82E-05,0,0.0000282
X594.311_2.18,0.00E+00,2.84E-05,0,0.0000284
X300.29_2.788,0.00E+00,2.89E-05,0,0.0000289
X804.553_3.651,0.00E+00,2.90E-05,0,0.000029
X464.314_2.993,0.00E+00,2.91E-05,0,0.0000291
X728.486_3.279,0.00E+00,2.92E-05,0,0.0000292
X747.719_2.337,0.00E+00,2.94E-05,0,0.0000294
X119.026_6,0.00E+00,0.00E+00,0.0000295,0.0000295
X618.377_3.107,0.00E+00,2.96E-05,0,0.0000296
X632.321_2.535,0.00E+00,2.96E-05,0,0.0000296
X796.511_3.392,0.00E+00,2.99E-05,0,0.0000299
X1040.532_2.538,3.00E-05,0.00E+00,0,0.00003
X216.159_3.223,3.01E-05,0.00E+00,0,0.0000301
X335.222_2.771,3.02E-05,0.00E+00,0,0.0000302
X166.042_2.26,0.00E+00,3.04E-05,0,0.0000304
X412.321_2.848,0.00E+00,3.05E-05,0,0.0000305
X780.517_3.481,0.00E+00,3.06E-05,0,0.0000306
X864.573_3.465,0.00E+00,3.06E-05,0,0.0000306
X480.405_3.014,0.00E+00,3.06E-05,0,0.0000306
X550.388_3.072,0.00E+00,3.09E-05,0,0.0000309
X900.484_2.874,3.11E-05,0.00E+00,0,0.0000311
X850.595_3.83,0.00E+00,3.12E-05,0,0.0000312
X730.429_3.016,0.00E+00,3.13E-05,0,0.0000313
X790.576_5.595,0.00E+00,3.16E-05,0,0.0000316
X163.031_2.26,0.00E+00,3.17E-05,0,0.0000317
X177.114_4.153,0.00E+00,0.00E+00,0.000032,0.000032
X846.562_3.417,0.00E+00,3.22E-05,0,0.0000322
X596.393_3.06,0.00E+00,3.23E-05,0,0.0000323
X361.274_2.889,0.00E+00,0.00E+00,0.0000325,0.0000325
X658.408_3.068,0.00E+00,3.26E-05,0,0.0000326
X794.566_5.577,0.00E+00,3.26E-05,0,0.0000326
X399.771_5.729,0.00E+00,0.00E+00,0.0000328,0.0000328
X442.389_3.008,0.00E+00,3.31E-05,0,0.0000331
X609.318_2.215,0.00E+00,3.32E-05,0,0.0000332
X385.346_3.401,0.00E+00,3.34E-05,0,0.0000334
X772.511_3.33,0.00E+00,0.00E+00,0.0000335,0.0000335
X654.398_3.076,0.00E+00,0.00E+00,0.0000341,0.0000341
X776.558_4.123,0.00E+00,3.44E-05,0,0.0000344
X766.501_3.29,0.00E+00,3.45E-05,0,0.0000345
X756.55_5.552,0.00E+00,0.00E+00,0.0000347,0.0000347
X432.296_3.158,3.49E-05,0.00E+00,0,0.0000349
X836.543_3.482,0.00E+00,3.49E-05,0,0.0000349
X832.569_3.326,0.00E+00,0.00E+00,0.0000352,0.0000352
X566.345_3.09,3.53E-05,0.00E+00,0,0.0000353
X241.227_2.948,0.00E+00,3.53E-05,0,0.0000353
X199.169_1.536,0.00E+00,3.55E-05,0,0.0000355
X669.741_2.258,0.00E+00,3.56E-05,0,0.0000356
X241.126_2.655,0.00E+00,3.57E-05,0,0.0000357
X251.086_2.309,3.59E-05,0.00E+00,0,0.0000359
X524.299_2.93,0.00E+00,3.60E-05,0,0.000036
X171.138_0.904,0.00E+00,3.60E-05,0,0.000036
X185.154_0.977,0.00E+00,3.61E-05,0,0.0000361
X300.202_2.162,0.00E+00,3.61E-05,0,0.0000361
X167.107_0.836,0.00E+00,3.63E-05,0,0.0000363
X262.129_0.406,3.63E-05,0.00E+00,0,0.0000363
X858.584_3.285,0.00E+00,0.00E+00,0.0000365,0.0000365
X261.145_0.419,3.65E-05,0.00E+00,0,0.0000365
X774.527_3.285,0.00E+00,0.00E+00,0.0000366,0.0000366
X814.057_2.343,0.00E+00,3.66E-05,0,0.0000366
X195.003_0.365,3.69E-05,0.00E+00,0,0.0000369
X658.51_3.151,0.00E+00,3.70E-05,0,0.000037
X283.176_2.164,0.00E+00,3.71E-05,0,0.0000371
X810.601_4.511,0.00E+00,0.00E+00,0.0000372,0.0000372
X706.464_3.123,3.74E-05,0.00E+00,0,0.0000374
X484.177_2.427,0.00E+00,3.74E-05,0,0.0000374
X550.027_2.301,0.00E+00,3.74E-05,0,0.0000374
X211.079_2.769,0.00E+00,0.00E+00,0.0000377,0.0000377
X115.964_6.179,3.78E-05,0.00E+00,0,0.0000378
X259.19_2.795,0.00E+00,0.00E+00,0.0000379,0.0000379
X1093.625_2.886,0.00E+00,3.81E-05,0,0.0000381
X143.107_1.541,3.81E-05,0.00E+00,0,0.0000381
X361.274_3.162,3.82E-05,0.00E+00,0,0.0000382
X750.705_2.463,0.00E+00,3.83E-05,0,0.0000383
X311.136_2.89,0.00E+00,0.00E+00,0.0000383,0.0000383
X708.481_3.277,0.00E+00,0.00E+00,0.000039,0.000039
X556.304_2.967,3.91E-05,0.00E+00,0,0.0000391
X190.109_3.821,0.00E+00,0.00E+00,0.0000392,0.0000392
X796.547_3.404,0.00E+00,0.00E+00,0.0000395,0.0000395
X457.35_3.267,0.00E+00,3.95E-05,0,0.0000395
X317.66_2.931,0.00E+00,3.96E-05,0,0.0000396
X395.363_3.276,0.00E+00,0.00E+00,0.0000396,0.0000396
X352.248_2.931,0.00E+00,0.00E+00,0.0000397,0.0000397
X701.558_3.565,0.00E+00,0.00E+00,0.0000397,0.0000397
X149.013_0.333,0.00E+00,4.02E-05,0,0.0000402
X546.353_3.251,0.00E+00,4.02E-05,0,0.0000402
X219.138_2.761,0.00E+00,4.03E-05,0,0.0000403
X119.026_5.842,0.00E+00,0.00E+00,0.0000404,0.0000404
X186.222_2.554,4.06E-05,0.00E+00,0,0.0000406
X766.537_3.889,0.00E+00,4.07E-05,0,0.0000407
X628.383_2.98,4.07E-05,0.00E+00,0,0.0000407
X349.645_5.652,4.11E-05,0.00E+00,0,0.0000411
X353.352_3.526,0.00E+00,0.00E+00,0.0000413,0.0000413
X550.315_2.658,0.00E+00,0.00E+00,0.0000414,0.0000414
X278.191_2.561,0.00E+00,4.16E-05,0,0.0000416
X429.17_3.322,0.00E+00,0.00E+00,0.0000417,0.0000417
X245.175_2.611,0.00E+00,4.20E-05,0,0.000042
X682.429_3.093,4.20E-05,0.00E+00,0,0.000042
X386.717_2.856,4.25E-05,0.00E+00,0,0.0000425
X340.321_3.334,4.27E-05,0.00E+00,0,0.0000427
X634.316_2.163,0.00E+00,0.00E+00,0.0000427,0.0000427
X170.129_0.459,4.28E-05,0.00E+00,0,0.0000428
X104.956_5.678,0.00E+00,4.28E-05,0,0.0000428
X508.304_3.001,0.00E+00,0.00E+00,0.000043,0.000043
X603.411_2.992,0.00E+00,0.00E+00,0.0000434,0.0000434
X642.398_2.991,4.36E-05,0.00E+00,0,0.0000436
X156.011_2.395,0.00E+00,0.00E+00,0.0000441,0.0000441
X254.248_3.555,0.00E+00,0.00E+00,0.0000441,0.0000441
X689.128_2.341,0.00E+00,4.41E-05,0,0.0000441
X503.239_2.159,4.42E-05,0.00E+00,0,0.0000442
X100.076_1.335,4.48E-05,0.00E+00,0,0.0000448
X668.413_2.913,4.51E-05,0.00E+00,0,0.0000451
X159.969_6.632,0.00E+00,0.00E+00,0.0000454,0.0000454
X320.938_5.683,0.00E+00,4.55E-05,0,0.0000455
X780.517_3.358,0.00E+00,0.00E+00,0.0000456,0.0000456
X616.36_3.007,4.56E-05,0.00E+00,0,0.0000456
X229.942_0.3,4.58E-05,0.00E+00,0,0.0000458
X254.212_3.447,0.00E+00,0.00E+00,0.0000459,0.0000459
X401.269_2.983,4.61E-05,0.00E+00,0,0.0000461
X271.591_2.263,4.61E-05,0.00E+00,0,0.0000461
X663.672_2.237,4.63E-05,0.00E+00,0,0.0000463
