"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","X102.092_0.611","X105.07_2.767","X111.044_2.768","X114.092_1.761","X119.049_2.765","X122.082_0.534","X128.018_0.344","X130.087_0.452","X132.102_0.307","X136.062_0.301","X136.097_0.551","X137.046_0.35","X137.046_0.42","X141.091_1.54","X141.959_6.859","X142.027_0.328","X142.035_0.315","X150.059_0.3","X166.053_0.305","X172.134_2.343","X175.148_2.71","X192.125_4.643","X198.15_2.471","X200.165_3.207","X203.007_0.309","X214.181_2.634","X216.16_2.471","X226.181_2.61","X228.196_2.71","X230.176_2.586","X232.191_2.63","X236.163_2.635","X240.116_2.324","X242.212_2.78","X242.586_2.766","X249.112_2.768","X251.037_0.323","X256.227_2.847","X256.227_3.318","X256.264_3.225","X258.111_0.302","X258.207_2.775","X263.091_2.771","X263.2_2.895","X267.123_2.767","X272.222_2.957","X276.02_2.431","X277.216_3.018","X278.186_2.23","X278.248_3.1","X280.189_2.775","X280.263_3.169","X280.264_3.159","X281.102_2.768","X282.28_3.246","X285.133_2.768","X291.146_2.39","X295.227_3.017","X296.258_2.976","X296.259_2.971","X298.2_2.676","X300.199_2.264","X301.115_0.328","X301.115_0.413","X303.305_3.529","X303.648_2.884","X305.248_3.26","X306.279_2.989","X306.279_3.212","X308.295_3.045","X308.295_3.285","X311.221_2.932","X324.29_3.082","X324.327_3.455","X327.232_3.01","X333.063_2.524","X334.311_3.335","X345.243_3.095","X348.288_3.044","X351.217_2.741","X352.306_2.997","X352.321_3.187","X366.373_3.699","X368.316_2.962","X368.317_3.315","X369.17_2.767","X377.146_2.225","X380.993_2.164","X385.165_2.771","X386.717_2.856","X387.181_2.767","X387.192_2.843","X387.193_2.842","X396.332_2.991","X397.22_2.071","X399.394_3.159","X399.395_3.152","X400.342_2.89","X400.97_2.127","X404.207_2.768","X406.154_2.765","X409.162_2.768","X415.14_2.768","X416.337_2.79","X420.899_2.103","X425.136_2.773","X426.484_2.164","X428.205_2.248","X430.223_2.768","X430.223_2.769","X440.359_2.985","X444.332_3.016","X446.218_2.884","X448.342_2.867","X458.23_2.165","X466.25_2.226","X472.363_3.023","X475.989_2.164","X476.24_2.164","X484.385_2.982","X486.098_2.765","X488.359_3.01","X489.228_2.768","X494.325_2.865","X502.294_2.879","X506.255_3.172","X511.21_3.171","X516.39_3.018","X522.357_2.957","X528.311_2.928","X530.289_2.929","X532.385_3.004","X538.315_2.977","X544.34_2.89","X546.029_2.319","X560.416_3.006","X568.341_2.887","X570.357_2.934","X576.411_2.999","X580.362_2.984","X590.322_2.887","X596.357_2.948","X599.241_2.765","X602.344_2.984","X604.362_2.948","X604.442_3.001","X607.227_2.771","X608.227_2.768","X608.393_3.098","X616.308_2.766","X620.356_2.913","X620.437_2.993","X637.306_3.32","X648.468_2.995","X650.403_3.014","X650.978_2.339","X654.332_3.32","X664.419_3.086","X664.463_2.992","X666.433_3.092","X666.434_3.024","X668.414_2.975","X679.068_2.179","X682.363_3.329","X682.364_3.313","X690.434_3.14","X692.414_2.985","X696.443_3.1","X696.445_3.083","X705.141_2.339","X708.445_3.006","X708.489_2.982","X709.936_2.18","X720.445_3.09","X737.391_2.399","X748.439_2.944","X752.515_2.977","X764.524_3.729","X776.042_2.398","X776.095_2.398","X776.148_2.398","X776.253_2.398","X776.359_2.398","X776.411_2.398","X790.38_2.768","X792.329_2.764","X795.335_2.768","X801.313_2.768","X801.815_2.767","X811.309_2.773","X811.31_2.767","X819.211_2.398","X819.322_2.398","X819.378_2.399","X819.433_2.399","X867.281_2.399","X898.581_3.224","X268.105_0.35","X269.088_0.35","X293.211_2.933","X368.389_3.90","X440.337_2.765","X442.353_2.823"
"X631_Group15_142dpi_RV_top_191_G_C7_P136.mzXML",631,"Group15","142dpi","RV_top","C7","P136",0.001435057,0.005875543,0.000135891,0.00023914,0.000234021,9.67e-05,0,0.000551945,0.00247485,0,0.000255499,0.005804324,0,0.000174519,0,0,0.000751357,0.000395264,0,8.43e-05,0.000388142,0,3.91e-05,0.001068281,0,0.001107451,3.35e-05,0.001641591,0.022896813,4.57e-05,9.42e-05,8.16e-05,0,9.25e-05,0.00028906,0.000141577,0,0.000747796,0,0,0,0.002204219,0,0,0.005234575,0.002389388,0,5.84e-05,0,0.001613104,0,0,0.002385827,0.000883112,0.003393571,0.002984064,0,0.000509214,0,0.000238157,6.18e-05,0,0,0,0.000145697,0,0,3.65e-05,0.0001274,0.002189975,0.001438618,0,0.00049497,0.000430873,0.000343243,0.004273122,0.00091516,0,0,0,0,0.003411376,0,2.67e-05,0,0.001556129,0,0,0,0,0.098637904,0,0,2.98e-05,0,0,0,0.000409508,0,0.038814193,0.001132377,0.026457748,0.000502092,8.86e-05,0,0,3.3e-05,0,0,0.000249029,6.14e-05,0,0.000121263,0,0,5.04e-05,0,0.000346246,0.000330679,2.99e-05,0,0,0.004771653,2.57e-05,0.00114306,0,0,0,0.00102911,3.48e-05,0.000177392,0,0.000277247,0.001004184,0,0,0.003215524,3.38e-05,0,0.00715748,0,0.002716994,0.000729992,0.000127456,0.000274948,0,0,0.000212421,0.003475473,0,0,0,0.00296982,0,0,8.66e-05,0.000491409,0.000201929,0,0,9.92e-05,0.000248111,0,2.74e-05,0.000170536,0,0.000200956,0,8.23e-05,4.72e-05,3.81e-05,0,8.25e-05,0,0,0,0,2.19e-05,0,0,0,3.48e-05,3.81e-05,0,0.003471912,0.000186446,0.002478411,7.44e-05,0.000121633,0,0.000203554,3.46e-05,3.81e-05,3.99e-05,0,0,0,6.66e-05,0.000576991,0,0,7.55e-05,3.37e-05
"X632_Group15_142dpi_RV_top_192_G_C8_P136.mzXML",632,"Group15","142dpi","RV_top","C8","P136",0,0.008781571,9.94e-05,0.000611574,0.000262964,0.000304705,0,0.001991535,0.002854011,0,0.000601119,0.002451522,0.000622028,0.000184698,0,0,0.000606347,0.000152368,0,0.000121815,0.000574984,0,0.000130283,0.001416551,0,0.001045425,5.16e-05,0.002184939,0.032251365,0.000117743,0.000138634,8.12e-05,0,0.000140379,0,0.000123793,0.000101319,0.000935655,0,0,0,0.003679896,3.55e-05,0,0.007579332,0.000342016,0,0,0,0.002488112,4.45e-05,0,0.00352831,0.001427005,0.003643307,0.004260107,0,0.000118747,0,0.000301145,0.000225674,0,0,0,0,0,0,0.000127432,0.000119641,0.00341854,0.00143746,0,0.000508366,0,0,0.006533907,0.000486829,0,0,0,0,0.003523083,0,0,0,0.002451522,0,5.16e-05,0,0,0.147404944,0,0,5.36e-05,0,0,0.000377959,6.89e-05,0,0.059589233,0.001913128,0.041032936,0.000569757,0,0,0,0,0,0,0.000242603,5.87e-05,0,0.000188617,0,0,5.74e-05,0,0.000522713,0.000585438,4.9e-05,0,0,0.006481636,0,0.001034971,4.15e-05,0,0,0.000794523,0,0.000356478,0,0.000229684,0.000904293,0,0,0.002346979,0,0,0.006690721,0,0.001427005,0.000857249,0.000116715,5.11e-05,0,0,0.000139833,0.002587427,0,0,0,0.00429147,0,0,0,0.000810204,5.43e-05,0,0,6.03e-05,5.28e-05,0,0,0.000622028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005331668,0.000187176,0.003925571,0,5.99e-05,9.69e-05,0.000279351,0,0,0,0,0,0,0,0,0,0,0,0
"X633_Group15_142dpi_RV_top_193_G_C9_P136.mzXML",633,"Group15","142dpi","RV_top","C9","P136",0.002150942,0.008495882,0.0001359,0.000237586,0.00024587,0,0,0.002002601,0.002022829,0,0,0.00741704,0,0,0,0,0.001179984,0,0,0.000218109,0.000652266,0,8.81e-05,0,0,0.001078842,7.45e-05,0.001989115,0.041130857,0.000103953,0.000110957,6.53e-05,0,0.00015407,0,0.000192328,0,0.001227183,0,0,0,0.003135385,0,0,0.00741704,0.000849588,0.000226676,0,0,0.002845446,5.72e-05,0,0.003964745,0.001072099,0.004011944,0.004456967,0,0.000252829,0,0.000483316,0.00046569,0,0,0,0,0,0,0.000156505,0.000163932,0.004065886,0.001820546,0,0.000440811,0.000123273,0,0.007754178,0.000386178,0,6.03e-05,0,6.61e-05,0.002737562,0,0,0,0.00248808,0,0,0,0,0.142272309,0,0,9.74e-05,0,0,0.000231313,0,0,0.055964937,0.001618263,0.039984587,0.000883302,0,0,0,0,0,0,8.19e-05,0.000184748,0,0.000301506,0,0,0,0,0,0,9.33e-05,0,0,0.006675336,0,0.000510407,0,0,0,0.000815874,0,0.000102138,0,0.000356522,0.000728218,0,0,0.003378125,0,0,0.009777007,0,0.00319607,0.000842845,0.000175128,0.000309177,0,5.87e-05,0.000393272,0.003115157,0,0,0,0.004625536,0,0,0,0.000567134,5e-05,0,0,0,0.000114685,0,0,0.00044032,0,0,0,6.27e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005279584,0.000298368,0.003998459,0.000228069,0.000235699,0,0.000195352,0,0,0,0,0,0,0.000130514,0.001266298,0,0,0,0
"X634_Group15_142dpi_RV_top_194_G_C10_P136.mzXML",634,"Group15","142dpi","RV_top","C10","P136",0,0.006227057,8.03e-05,0.000437025,0.000142744,0,0.000189745,0.001456173,0.003079998,0,0.000531695,0.00862208,0.002763856,8.61e-05,0,0,0.00103465,0.000200233,0,9.73e-05,0.000467139,0,0.00012792,0.001805847,0,0.000819098,4.91e-05,0.001987868,0.028883967,9.62e-05,0.000136295,0,0,8.6e-05,0,6.17e-05,0,0.000852628,0,0,0,0.002395022,0,0,0.005556451,0.000598756,0,0,0,0.002222581,0,0,0.00324286,0.000967589,0.004196079,0.003333871,0,0.000385178,0,0.00028454,0.000217576,0,0,0,0,0,0,0.00015694,0.000135182,0.003166219,0.001992658,0,0.000425952,0.000187544,0,0.005843854,0.000675396,0,0,0,0,0.00322849,0,0,0,0.001714836,0,0,0,0,0.107775995,0,0,4.98e-05,0,0,0.000113365,0,0,0.040571675,0.001293312,0.029602473,0.000376038,0.000132978,0,0,0,0,0,0.000126572,4.94e-05,0,6.32e-05,0,0,0,0,0.000145728,0.00020096,0,0,0,0.004670293,0,0.000958009,3.84e-05,0,0,0.001163981,0,0.000137868,0,0.000404935,0.001322052,0,0,0.005316949,0.000250004,0,0.009388487,4.13e-05,0.002984198,0.000737667,0.000159465,0.000394324,0,0,0.000111497,0.003822455,0,3.99e-05,0,0.004196079,0,0,0,0.000713717,0.000160976,0,0,6.01e-05,0.000278169,0,0,0.000483794,0,0.000245363,0,9.78e-05,4.38e-05,3.92e-05,0,0,0,0,0,0,0,0,0,0,4.1e-05,0,0,0.003424882,9.26e-05,0.002735115,0,4.26e-05,0,0.000155142,0,0,3.89e-05,0,0,0,0.000105174,0.001269362,0,0,0.000154028,0.000149903
"X635_Group15_142dpi_RV_top_195_G_C11_P136.mzXML",635,"Group15","142dpi","RV_top","C11","P136",0.001169585,0.006894393,4.78e-05,0.000411429,0.000128822,0.00020393,0.00014381,0.000806398,0.00282547,0,9.91e-05,0.011264946,0,0,0,0,0.001360412,0.000113702,0,0.000286,0.000763308,0,0.000224575,0,0,0.001569706,0.000139723,0.00308401,0.045736912,0.000179758,0.00026424,6.19e-05,6.47e-05,0.000138359,0,6.54e-05,0,0.001317322,0,0,0,0.003761138,0,0,0.006106463,0.000439344,0,0.000131184,0,0.002548463,5.37e-05,0,0.003699581,0.001015692,0.00408739,0.003527221,0,0.000917201,0,0.000576238,0.000360997,0,0,0,0,0,0,0.000211193,0.00014285,0.004136636,0.001655886,0,0.000677128,7.64e-05,0,0.007756192,0.00038743,0,0,0,0,0.004228972,0,0.000100476,0,0.001852868,0,0,0,0,0.116342886,0,0,6.17e-05,0,0,0.000259297,0,0,0.048630095,0.00143428,0.033363939,0.000414329,7.72e-05,0,0,0,0,0,0.000166129,5.86e-05,0,9.05e-05,0,0,0,0,0,0,0,0,0,0.004438266,0,0.000677128,6.23e-05,0,0,0.001329633,0,8.76e-05,0,0.000378013,0.001323477,0,0,0.004826075,0.000140639,0,0.011880517,0,0.004364397,0.000634038,0.000261173,0.000335024,0,0,5.5e-05,0.003533377,0,0,0,0.00451829,0,0,0,0.000812553,0.000121072,0,0,0,0.000323864,0,0,0.000509569,0,0.000144752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003964276,9.31e-05,0.002985519,4.27e-05,4.61e-05,0,0.000171101,0,0,0,0,0,0,0.000235018,0.001779202,0,0,0.000298659,0.000224657
"X716_Group15_142dpi_RV_top_216_G_E8_P136.mzXML",716,"Group15","142dpi","RV_top","E8","P136",0.00209464,0.009755855,0.000171649,0.000529551,0.000311616,0.00015107,0,0.002014297,0.00391382,0,0.000268564,0.008435946,0,0.000195838,0,0,0.001417468,0.000292434,0,0.000168342,0.000579613,0,0.000157488,0.002329928,0,0.001119054,0.000134084,0.002599649,0.036555764,0.000112666,0.000136366,4.92e-05,0,5.51e-05,0,0.000266962,0,0.000992802,0,0,0,0.003512108,0,0,0.008608108,0.000642739,0,0.000188493,0,0.002616865,4.69e-05,0,0.003339946,0.001572414,0.003885126,0.005302594,0,0.001084622,0,0.000320538,0.000334514,0,0,0,0,0.000121494,0,0.000130976,0.000134547,0.003741657,0.001492072,0,0.000417998,0.000110751,0.000163105,0.007747297,0.000452761,0,0,0,0,0.002576694,0,0,0,0.002875108,0,0,0,0,0.165849542,0,0,0.000122596,0,0,0.000290664,7.24e-05,0,0.063699997,0.00195691,0.04631162,0.000625522,0,0,0,0,0,0.000224816,0,0.000126159,0,0.000150007,0,0,0,0,0,0,5.8e-05,0,0,0.009067207,5.67e-05,0.001256784,4.62e-05,0,0,0.001997081,0,5.21e-05,0,0,0.003540802,0,0,0.01142009,0.000561617,0,0.005910901,0.000234093,0.001916739,0.001210874,0.000130006,0.000144884,0,0,0.000190059,0.002238108,0,0,0,0.004022856,0,0,0,0.00077473,4.96e-05,0,0,6.26e-05,0,0,0,0.000562157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006025675,0.00035292,0.004585252,6.99e-05,0.000127052,0,0.000289495,0,0,0,0,0,0,0,0.000372451,0,0,0,0
"X717_Group15_142dpi_RV_top_217_G_E9_P136.mzXML",717,"Group15","142dpi","RV_top","E9","P136",0.001709239,0.008433001,0.000115571,0.000293023,0.000255032,0.000162832,0,0.001528128,0.003576951,0,0,0.008433001,0.003186429,0,0,0,0.001007432,0.000282574,0,0.000168754,0.000541205,0,6.97e-05,0.002128059,0,0.001013092,5.77e-05,0.00253556,0.035090339,5.57e-05,0.0001535,4.79e-05,0,5.07e-05,0,0.000164341,0,0.001001773,0.000143175,0,0,0.003141151,0,0,0.007470846,0.000543002,0,4.63e-05,0,0.00273931,0,0,0.004363653,0.001437572,0.004595702,0.004499487,0,0.00062823,0,0.000422909,0.000254957,0,0,0,0.00010654,0,0,0.0001344,0.000199025,0.003288304,0.002190316,0,0.000480367,0.00046859,0,0.007414249,0.000436976,0,0,0,0,0.003367541,0,0,0,0.002416706,0,0,0,0,0.14828498,0,0,6.56e-05,0,0,0.000143379,0,0,0.056597321,0.001845073,0.041768823,0.000611251,0,0,0,0,0,0.000215999,0,6.7e-05,0,0.000239812,0,0,0,0,0.000256372,0.000288878,6.1e-05,0,0,0.006904873,0,0.001233822,0,0,0,0.001363995,0,0.000242643,0,0.000330264,0.001618683,0,0,0.005122058,0.000193255,0,0.008376403,0,0.002869484,0.001160245,0.000194631,0.000300201,0,0,0.000176723,0.003610909,0,0,0,0.004833411,0,0,0,0.000792362,0.000113425,0,0,0.000200051,0.000225016,0,0,0.000539115,0,0.000103488,0,0,0,0,0,0,0,0,0,0,3.28e-05,0,0,0,0,0,0,0.004969245,0.000241037,0.004024069,6.32e-05,7.89e-05,0,0.000267129,0,0,0,0,0,0,0,0.000990453,0,0,0,0
"X718_Group15_142dpi_RV_top_218_G_E10_P136.mzXML",718,"Group15","142dpi","RV_top","E10","P136",0,0.007759698,0.000108086,0,0.000145798,0.000202684,0,0.001330234,0.002527445,0,0.000294601,0.007759698,0.004129268,0,0.000154673,0,0.000947792,0,0,0.00017391,0.000548099,0,8.01e-05,0.002084033,0,0.001102986,6.4e-05,0.00226694,0.035860892,6.12e-05,0.00019923,5.55e-05,0,0.000111866,0,7.22e-05,0,0.001014303,0.000126504,0,0,0.002865546,0,0,0.006817449,0.00037169,0,4.79e-05,0,0.002976399,0,0,0.004062756,0.000936706,0.005021633,0.003547291,0,0.000615233,0,0.000381026,0.000262246,0,0,0,0,0,0,0.000155435,0.000169139,0.003918648,0.002388879,0,0.000347208,0.000188617,0,0.007815125,0.000534552,0,4.68e-05,0,5.9e-05,0.002394421,0,0,0,0.00167942,0,0,0,0,0.129143554,0,0,8.11e-05,0,0,0.000177316,0,0,0.050881452,0.001335777,0.03575004,0.0002889,0,0,0,0,0,0.000188519,0,7.92e-05,0,0.00016091,0,0,0,0,6.96e-05,0.00012583,7.28e-05,0,0,0.004628106,0,0.000925621,6.39e-05,0,0,0.001380118,0,0.000286613,0,0.000294267,0.001834614,0,0,0.005492758,0.000269363,0,0.007981404,0,0.002344537,0.000648489,0.000156611,0.00026049,0,0,7.58e-05,0.002932058,0,0,0,0.002804577,0,0,0,0.00037875,0.000167199,0,0,0.000234351,6.99e-05,0,0,0.000257725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033145,0.000200199,0.002738065,4.65e-05,5.43e-05,0,0.000115958,0,0,0,0,0,0,4.92e-05,0.001466376,0,0,0,0
"X719_Group15_142dpi_RV_top_219_G_E11_P136.mzXML",719,"Group15","142dpi","RV_top","E11","P136",0,0.006364431,4.3e-05,0.000573325,0.000163621,0.000198858,0.000136405,0.002019786,0.004181589,0,0.000346242,0.010361925,0.003087538,0.000141049,0,0,0.001073012,0.000453152,0,0.00016864,0.000699561,0,0.000127907,0.002387977,0,0.001456981,5.82e-05,0.003140137,0.036240438,6.41e-05,0.00030298,0.000108666,0,0.000167583,0.000317962,9.9e-05,0,0.001083531,0.000119808,0,0,0.002924482,0,0,0.005575452,0.000946775,0,0.00011073,0,0.002477394,0,0,0.003545146,0.001015153,0.00453926,0.003176956,0,0.000936255,0,0.00039418,0.000201348,0,0,0,0,4.06e-05,0,0.000116908,0.000148394,0.003597745,0.002014527,0,0.000488702,0.000345203,0.00017156,0.006680023,0.000915216,0,0,0,0,0.00338209,0,0,4.13e-05,0.001656856,0,0,0,0,0.10887911,0,0,4.43e-05,0,0,0.000121738,0,0,0.040395728,0.001330745,0.029823409,0.000365998,0,0,0,0,0,4.38e-05,0,5.29e-05,0,0.000122245,0,0,5.01e-05,0,0.000376685,0.000393676,4.61e-05,0,0,0.003308452,0,0.00114139,0,0,0,0.001746274,0.000101602,0.000414294,0,0.000378321,0.002503694,0,0,0.008573572,0.000481409,0,0.008836565,6.55e-05,0.002677269,0.00049177,0.000116886,0.00031082,0,0,0.000127694,0.004186849,0,0,0,0.004097431,0,0,6.78e-05,0.00073638,0.000183575,0,0,0.000106565,0.000273843,0,8.91e-05,0.00037221,0,9.67e-05,0,5.15e-05,0,0,0,0,0,0,0,0,0.00010001,0,0,0,0,0,0,0.003108578,0.000116016,0.00262467,0,5.03e-05,0,0.00024607,0,0,0,0,0,0,4.04e-05,0.001199248,0,0,0,0
"X720_Group15_142dpi_RV_top_220_G_E12_P136.mzXML",720,"Group15","142dpi","RV_top","E12","P136",0.000770619,0.00520338,0,0.000716061,0,0,0.000244277,0.000669432,0.010161253,0,0,0.014184836,0.005032889,0,0,0,0.001166157,0.001520778,0,0,0.00073652,0,7.5e-05,0.001957235,0,0.001588974,0,0.004296369,0.043168276,0,0.000194033,6.92e-05,8.28e-05,0.000162225,0,0,0,0.001241173,0,0,0.000384028,0.003055196,0,0,0.00463735,0.000688783,0,0.000504008,0,0.002591461,5.58e-05,0,0.004153156,0.000702422,0.004705547,0.002639198,0,0.002298216,0,0.000609711,0.000421853,0,0,0,0,0.000147792,0,0.00016366,0.000146929,0.003641684,0.002066349,0,0.000607016,5.83e-05,0.0001741,0.00947929,0.00039519,0,0,0,0,0.003764437,0,0,0,0.00111842,0,0.000311254,0,0,0.092065044,0,0,0,0,0,6.21e-05,0.000167597,0,0.037644374,0.001002486,0.026255587,0.000248296,0,0,0,0,0,6.05e-05,0,0,0,0.000151416,0,8.65e-05,0.000438309,0,0.001779924,0.001759465,0,0,0,0.002182283,0.00022874,0.0033348,0,0,0,0.003614405,0.000231249,0.00042456,0,0.000294027,0.003539389,7.06e-05,0,0.012889106,0.0005783,0,0.010093057,0.000356492,0.003621225,0.000390508,0.000268713,0.000367232,0,0,0,0.00407814,0,0,0,0.00353257,0,0,0.000250929,0.000662601,0.000262996,0,0,0.000489698,0.00036054,0,0,0.000267284,0,0.00022977,0,0.000149521,0,6.33e-05,0,0,0,0,0,0,0,0,0,0.000182949,0.000106257,0.000151379,6.9e-05,0.002434609,0,0.001970874,0,0,0,0.000212008,0.000158738,0.000246199,0.000246686,0.000202928,0,0,0,0.001091141,0,0,0,0
