Module	m10A	m12A	m14A	m15A	m09A	m21A	m22A	m23A	m24A	m25A	m16A	m17A	m18A	m19A	m20A
M00001	224179	230464	216893	254774	138595	240019	252201	205021	226885	254822	259160	150074	216679	292439	225957
M00002	109776	116745	111733	126649	69224	124570	129947	107739	115649	130837	126482	74986	107006	142957	116585
M00003	140366	145064	147056	164167	91403	155306	166031	133269	144418	171632	170829	96891	142650	194386	150859
M00004	19684	19635	40554	25552	18155	22623	22437	16509	18949	23236	31688	13987	24096	27437	23613
M00005	1994	2124	2735	2352	1922	2596	2146	1879	1736	2008	2336	1267	1954	1704	2178
M00006	3296	3130	8379	4422	4059	3786	3491	2513	3040	3754	6151	2451	4585	4371	4641
M00007	3344	3421	17118	5607	5293	5062	4640	2805	3265	5342	8385	3116	5499	4856	5410
M00008	2236	2179	5058	3060	2587	2456	2422	1803	2040	2530	3954	1674	3038	2679	2981
M00009	252186	265158	195692	270459	130851	263728	274523	239159	253091	264560	189238	144366	181067	167480	175012
M00010	89893	98548	73243	100941	48522	95843	103365	88096	91953	97904	73376	52921	71055	64761	68486
M00011	162293	166610	122449	169518	82329	167885	171158	151063	161138	166656	115862	91445	110012	102719	106526
M00012	56774	57176	46780	64132	29828	59769	61205	53637	56951	60306	44705	34118	42627	39446	40358
M00013	35213	34530	28846	37151	21439	37084	37463	32993	33622	36455	24112	18794	23637	20702	23569
M00014	17778	17577	33960	20591	14083	17444	18239	13836	14666	19513	34991	10852	21576	19953	23208
M00015	912	897	1881	1067	820	959	924	629	798	925	1580	632	1247	1181	1162
M00017	6486	4910	2817	6665	3206	6712	5991	5752	5778	5565	2303	3244	2874	2444	2286
M00018	135	142	109	144	96	184	143	112	98	135	101	60	105	99	97
M00019	2685	2571	2740	2840	2143	2525	3115	2277	2551	2731	3163	1727	2279	2290	2280
M00020	390	349	1728	663	462	496	600	306	391	594	1073	400	855	596	736
M00027	2601	2025	2657	2381	1714	3066	2845	2515	2601	2662	1884	1515	1642	1172	1545
M00028	315	300	341	339	173	313	355	251	323	319	428	242	273	259	269
M00029	400	608	1200	613	565	380	423	269	289	445	1313	323	914	1532	1299
M00030	32	34	58	40	58	26	23	30	24	22	32	7	37	8	26
M00032	73909	75333	62140	78803	37224	81573	81721	71476	73228	78209	54861	41934	52484	45117	51103
M00034	8888	9247	10763	10940	6353	9618	10072	8158	8649	9799	9006	5201	8700	8158	10229
M00035	10483	10812	14380	12818	7933	11613	11466	9507	10164	10926	9621	6015	9829	8485	10489
M00036	80993	79809	64084	85307	41836	85142	90077	78816	79128	83974	55124	43643	51448	43321	52587
M00037	238	193	306	141	161	157	129	101	113	193	596	157	245	600	350
M00038	405	451	981	362	251	284	303	270	256	336	658	273	511	593	646
M00039	151	148	344	169	189	166	197	108	114	173	453	124	249	346	280
M00042	456	440	554	461	300	493	436	356	418	484	883	332	481	843	562
M00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00044	1408	1213	3945	1696	1560	1553	1742	1291	1187	2039	1969	1025	1528	988	1118
M00045	229	154	512	265	318	127	145	60	84	268	690	165	378	252	365
M00046	2981	2530	4924	3777	2867	3121	2984	2104	2793	2810	5649	2317	4568	4450	5132
M00047	81732	84690	52072	87894	41815	83053	89910	80052	81559	91888	77118	52361	62625	71644	67181
M00048	7514	7391	8846	8942	5046	8183	8543	6778	7833	8307	7667	4542	7257	6364	7038
M00049	33610	33989	33701	40352	20805	36701	41428	32811	33724	40117	35530	19934	34051	34649	36784
M00050	13629	14314	14995	16015	9000	13831	16905	12093	12601	16729	16462	8042	15020	16712	18140
M00051	1265	1154	1629	1386	994	1278	1217	1060	1162	1196	1214	754	1146	804	1058
M00052	12053	12596	12877	14058	7958	11955	14795	10532	10876	14842	13635	6710	13293	14331	16755
M00053	11061	11528	11689	12867	7161	10947	13537	9738	10221	13534	12406	6033	11814	12824	14728
M00055	4042	3961	5349	4783	3263	4326	4320	3293	3683	3933	4893	2508	4136	3915	4794
M00056	9332	8523	11830	11126	7758	9341	9377	7683	8828	8526	9197	5250	8672	7316	9623
M00057	1790	1695	2623	2088	1519	1671	1915	1335	1419	1629	2685	1161	2151	2152	2297
M00058	2835	2831	4759	3438	2637	2931	2837	2109	2490	2645	4413	1739	3592	3659	4126
M00059	8451	8280	8734	9427	6431	9303	8525	7289	7678	7599	8202	4822	7628	6628	7352
M00065	5776	5354	7969	6475	4818	6086	6115	4755	5169	5677	7272	3466	5624	5012	6669
M00066	1852	1786	2619	1991	1578	1621	1733	1270	1578	1592	2047	1232	1997	2319	2284
M00067	15	7	51	10	24	13	11	11	4	16	58	7	19	5	7
M00068	240	268	495	369	324	263	227	142	201	265	464	171	411	338	525
M00069	1044	824	1088	964	811	1209	788	804	726	1154	1037	625	851	804	831
M00070	525	284	538	291	398	266	422	171	569	488	271	191	315	207	192
M00071	2914	3019	4284	3469	2456	2984	2924	2226	2567	2633	4225	2050	3462	3860	3931
M00072	10717	11003	18357	13363	10363	11477	11330	8470	9874	11874	18031	7368	14058	13202	15594
M00073	6727	6336	9447	7505	6485	6392	6473	4864	5741	6014	7125	4101	6750	5546	6826
M00074	6299	5957	8562	7018	6079	6025	6051	4587	5439	5556	6408	3796	6122	5012	6172
M00075	11775	11869	16638	14159	9387	13398	11096	10587	10296	9726	12740	7252	11398	10312	10821
M00076	3703	3584	5745	4276	3324	3787	3723	2837	3347	3646	4760	2040	4275	4159	4783
M00077	2555	2476	4355	2885	2333	2575	2558	1855	2213	2536	3632	1434	3093	3424	3352
M00078	7151	6491	11041	7715	6129	6617	6541	5137	5765	6476	8838	4153	8336	7290	8920
M00079	6944	6276	11443	7971	6592	6311	6672	4721	5658	6598	10121	4259	8795	8990	9679
M00082	9404	8469	58508	17563	21338	17250	10741	8043	9333	15044	15054	10663	10278	4345	4918
M00083	6267	6142	51454	13930	17147	13467	8675	5938	6644	12694	14126	7361	8844	4415	5071
M00085	109969	114609	95814	116553	50584	123284	123543	108704	104247	117303	85054	61932	77796	63253	74522
M00086	19905	18638	16492	19706	11698	22493	20114	19033	19295	20373	9884	10231	12245	8464	10754
M00087	214069	216118	180111	224889	101324	233461	235567	208268	202562	226482	158805	117944	148295	125060	145713
M00088	86654	89112	73321	89070	40721	95356	96157	84005	78182	91196	66178	46799	59262	48950	58986
M00089	29975	30177	40482	33012	22462	33009	30506	25591	26745	31709	26940	17720	25511	20088	23321
M00090	13046	14600	14062	15712	9352	14115	14231	11722	13284	13670	10588	6966	11399	9488	13802
M00091	25	22	75	31	25	25	25	18	24	36	47	30	65	46	35
M00092	4606	4152	7137	5360	3456	4533	5027	3681	4170	4570	5742	3034	4682	3969	4969
M00093	5965	5475	7301	7273	4615	5752	5425	4213	5015	5531	7385	3658	6612	5070	5625
M00094	4705	5183	8491	6027	4978	5290	5392	3902	4524	5310	7243	3169	6375	5755	7246
M00095	79264	83202	71414	83216	37968	89278	89338	79180	72777	84431	61909	43526	55801	44349	54931
M00096	188	217	564	231	194	247	281	216	186	239	405	163	265	228	320
M00098	15998	15163	27033	19339	12408	17499	17118	12834	14308	18107	21509	12510	18008	18166	16596
M00099	6912	7531	11578	8867	7110	7701	7638	5693	6690	7554	9169	4432	8525	8248	10087
M00100	1414	1259	2497	1756	1320	1425	1372	1086	1238	1374	2041	930	1842	1561	1797
M00101	2779	2764	5767	3208	2597	3136	3012	2190	2545	2999	4567	1790	3301	2877	3837
M00102	1840	1852	3667	2128	1729	2053	1908	1486	1715	1959	2466	1128	1967	1538	2361
M00103	5	3	14	8	2	1	5	0	2	1	6	3	8	11	7
M00104	11242	11097	13480	13064	8712	12455	12624	10274	10860	12519	10329	6663	10238	8557	11217
M00106	4	3	2	0	3	2	0	0	0	3	2	0	2	1	3
M00107	118	74	158	100	83	65	72	61	47	51	194	94	153	155	159
M00108	3	1	1	11	0	1	6	1	1	1	10	4	1	1	1
M00109	3	1	1	11	0	1	6	1	1	1	10	4	1	1	1
M00110	113	71	149	97	83	62	68	60	44	46	184	90	148	152	150
M00113	9067	9051	8868	9874	6463	10610	9468	8520	8571	10113	8078	5497	7641	6677	7306
M00114	4093	3589	5049	4390	2694	4356	4771	3600	4135	4153	5150	2567	4081	4328	4191
M00115	969	916	818	1038	583	1120	1007	961	937	1047	856	563	844	609	704
M00117	4011	3837	3509	4453	2135	4055	4216	3611	3702	3984	3777	2215	3029	3275	3358
M00118	1451	1397	1943	1629	1122	1630	1465	1080	1288	1433	1554	785	1461	1269	1483
M00119	2685	2571	2740	2840	2143	2525	3115	2277	2551	2731	3163	1727	2279	2290	2280
M00120	4920	4698	6947	5449	3785	5142	5164	3973	4574	5320	4819	3100	4377	3510	4165
M00121	12559	11800	12093	13157	8254	13015	12763	10712	11533	12372	12270	7397	10581	10606	10660
M00122	1017	854	879	1055	551	952	1099	901	979	883	694	473	609	496	560
M00124	544	424	1017	553	435	457	511	297	399	625	854	337	608	453	638
M00126	1192	1422	1186	1424	1119	1233	1072	1162	959	1186	1342	787	1072	1450	1203
M00128	10506	9908	8656	11143	5656	10762	11300	9478	9486	10558	8900	5778	7759	7963	8228
M00129	17430	17360	20519	19792	13369	16336	18620	13331	14726	18448	24661	10848	21414	23619	26030
M00130	15083	14454	19350	17786	11592	15034	14640	12057	13571	14026	16296	9436	15113	13731	14177
M00131	10962	10312	9141	11273	6972	10705	10417	9035	9213	10018	10312	6268	9353	10233	9444
M00132	994	850	1584	1316	933	1123	1150	847	892	1033	1209	697	1199	1052	1064
M00133	834	840	1126	900	646	805	705	617	756	903	1121	561	766	983	923
M00134	2969	3191	4789	3724	2323	3288	3352	2730	3167	2963	3912	1861	3733	4409	4741
M00135	14199	13930	26969	18058	12560	18040	17353	14202	14446	19570	22442	9361	14339	10471	15188
M00140	2131	2094	3725	2429	1383	2350	2489	1839	1941	2196	2834	1404	2419	2156	2301
M00141	2317	2256	3899	2652	1524	2551	2641	2006	2103	2327	2940	1484	2545	2254	2478
M00142	478355	481792	287771	450368	219452	519028	477328	453475	479121	470826	204154	207254	266070	183787	330395
M00143	100724	105220	83212	111168	56731	105015	118862	97740	100024	113693	98674	62518	79583	88864	85956
M00144	48259	49317	40139	52919	27716	49013	55400	45212	46638	53570	50255	30417	38561	43976	42400
M00146	87456	90905	77927	97110	52288	91471	108610	84611	87782	106590	103078	57918	80848	96068	97549
M00147	64656	69504	59043	72892	40971	69556	82711	63555	67095	81858	76921	41616	61838	72173	76892
M00148	64663	67037	50769	69611	33915	67252	71023	62390	64598	69812	50139	36894	45990	43600	45568
M00149	42720	43905	33255	45629	21980	44380	46056	41647	42333	45541	30773	24346	28780	26191	27318
M00151	407729	401702	320183	414176	186998	472317	491342	401012	396351	483999	247794	218696	284979	225960	299058
M00152	493030	488666	391095	505346	234600	559571	591655	482667	478749	583169	330970	270655	352304	300139	375230
M00154	2625909	2686488	1648501	2498281	1344721	2794882	2822546	2446786	2658959	2782271	1306050	1279256	1521618	1223396	1920369
