filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_137,mass_269
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,naive,50,LV_top,A1,P129,0.010380109,0.002588744
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,naive,50,LV_top,A2,P129,0.014272804,0.001996993
X503_Group1A_50dpi_LV_top_253_B_A3_P129.mzXML,503,Group1A,naive,50,LV_top,A3,P129,0.024759046,0.002890634
X504_Group1A_50dpi_LV_top_254_B_A4_P129.mzXML,504,Group1A,naive,50,LV_top,A4,P129,0.028124142,0.003543578
X505_Group1A_50dpi_LV_top_255_B_A5_P129.mzXML,505,Group1A,naive,50,LV_top,A5,P129,0.023286098,0.003112301
X521_Group1A_50dpi_LV_top_256_B_A6_P129.mzXML,521,Group1A,naive,50,LV_top,A6,P129,0.025914662,0.003053012
X522_Group1A_50dpi_LV_top_257_B_A7_P129.mzXML,522,Group1A,naive,50,LV_top,A7,P129,0.018600185,0.003274227
X523_Group1A_50dpi_LV_top_258_B_A8_P129.mzXML,523,Group1A,naive,50,LV_top,A8,P129,0.033287307,0.00383916
X524_Group1A_50dpi_LV_top_259_B_A9_P129.mzXML,524,Group1A,naive,50,LV_top,A9,P129,0.022952748,0.006375302
X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML,525,Group1A,naive,50,LV_top,A10,P129,0.02804594,0.003392905
X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML,541,Group1A,naive,50,LV_top,A11,P129,0.019880759,0.005988976
X542_Group1A_50dpi_LV_top_262_B_A12_P129.mzXML,542,Group1A,naive,50,LV_top,A12,P129,0.024484599,0.003154628
X543_Group1A_50dpi_LV_top_263_B_B1_P129.mzXML,543,Group1A,naive,50,LV_top,B1,P129,0.020902316,0.00450566
X544_Group1A_50dpi_LV_top_264_B_B2_P129.mzXML,544,Group1A,naive,50,LV_top,B2,P129,0.013021378,0.002950589
X545_Group1A_50dpi_LV_top_265_B_B3_P129.mzXML,545,Group1A,naive,50,LV_top,B3,P129,0.030687802,0.004818523
X506_Group1B_70dpi_LV_top_281_B_C7_P129.mzXML,506,Group1B,naive,75,LV_top,C7,P129,0.026497293,0.003930114
X507_Group1B_70dpi_LV_top_282_B_C8_P129.mzXML,507,Group1B,naive,75,LV_top,C8,P129,0.020443261,0.001787843
X508_Group1B_70dpi_LV_top_283_B_C9_P129.mzXML,508,Group1B,naive,75,LV_top,C9,P129,0.012584421,0.004308797
X509_Group1B_70dpi_LV_top_284_B_C10_P129.mzXML,509,Group1B,naive,75,LV_top,C10,P129,0.027638069,0.00439115
X510_Group1B_70dpi_LV_top_285_B_C11_P129.mzXML,510,Group1B,naive,75,LV_top,C11,P129,0.019645676,0.00233153
X526_Group1B_70dpi_LV_top_286_B_C12_P129.mzXML,526,Group1B,naive,75,LV_top,C12,P129,0.023846552,0.003555517
X527_Group1B_70dpi_LV_top_287_B_D1_P129.mzXML,527,Group1B,naive,75,LV_top,D1,P129,0.026472197,0.002668426
X528_Group1B_70dpi_LV_top_288_B_D2_P129.mzXML,528,Group1B,naive,75,LV_top,D2,P129,0.037987589,0.005290189
X529_Group1B_70dpi_LV_top_289_B_D3_P129.mzXML,529,Group1B,naive,75,LV_top,D3,P129,0.026256075,0.002231952
X530_Group1B_70dpi_LV_top_290_B_D4_P129.mzXML,530,Group1B,naive,75,LV_top,D4,P129,0.02439362,0.004451106
X546_Group1B_70dpi_LV_top_291_B_D5_P129.mzXML,546,Group1B,naive,75,LV_top,D5,P129,0.012936741,0.001722476
X547_Group1B_70dpi_LV_top_292_B_D6_P129.mzXML,547,Group1B,naive,75,LV_top,D6,P129,0,0
