mass,RVB
X132.102_0.307,1
X150.059_0.3,1
X282.624_2.875,1
X288.161_2.924,1
X303.648_2.884,1
X312.633_2.891,1
X408.309_3.341,1
X454.294_2.917,1
X482.361_2.958,1
X496.341_2.926,1
X510.356_2.983,1
X526.294_2.877,1
X530.289_2.929,1
X554.288_2.924,1
X568.341_2.887,1
X590.322_2.887,1
X602.344_2.992,1
X616.325_2.661,1
X632.393_3.035,1
X650.901_2.339,1
X650.978_2.339,1
X651.054_2.339,1
X652.418_3.02,1
X705.058_2.339,1
X705.308_2.339,1
X769.153_2.339,1
X856.584_5.565,1
X868.534_3.116,1
X918.535_2.976,1
X991.673_2.928,1
X169.036_0.375,1
