mass,DPI_50
X125.071_0.362,1
X127.013_2.258,1
X136.062_0.301,1
X150.059_0.3,1
X263.081_2.774,1
X267.123_2.767,1
X271.104_0.42,1
X285.133_2.768,1
X291.146_2.39,1
X293.162_2.447,1
X301.115_0.328,1
X301.115_0.413,1
X331.177_2.552.1,1
X353.191_2.187,1
X356.28_3.016,1
X368.316_3.329,1
X369.17_2.767,1
X380.993_2.164,1
X387.181_2.767,1
X400.158_0.426,1
X400.159_0.337,1
X404.207_2.768,1
X408.952_0.314,1
X409.162_2.768,1
X415.158_0.304,1
X420.899_2.103,1
X449.738_2.229,1
X455.725_2.239,1
X475.989_2.164,1
X476.24_2.164,1
X489.228_2.768,1
X538.315_2.977,1
X554.31_2.942,1
X564.331_3.008,1
X599.241_2.765,1
X604.362_2.948,1
X606.378_3.022,1
X608.393_3.098,1
X624.388_3.054,1
X632.392_2.97,1
X632.393_3.035,1
X634.372_2.992,1
X638.403_3.073,1
X652.383_2.943,1
X662.404_3.01,1
X674.439_3.163,1
X676.382_2.92,1
X682.363_3.329,1
X682.364_3.313,1
X705.058_2.339,1
X705.225_2.339,1
X720.445_3.09,1
X722.461_3.045,1
X736.476_3.119,1
X790.38_2.768,1
X878.754_2.555,1
X907.276_2.579,1
X907.526_2.579,1
X944.55_3.076,1
X137.046_0.35,1
X269.088_0.35,1
