mass,DPI_75
X1021.626_2.909,1
X1039.674_2.917,1
X1063.674_2.914,1
X1087.672_2.892,1
X136.062_0.301,1
X137.046_0.42,1
X203.007_0.309,1
X203.007_0.316,1
X258.111_0.302,1
X285.083_0.446,1
X288.161_2.924,1
X291.146_2.39,1
X293.162_2.447,1
X298.993_0.33,1
X301.115_0.328,1
X301.115_0.413,1
X307.084_0.362,1
X312.327_3.55,1
X331.177_2.552.1,1
X353.191_2.187,1
X356.279_3.026,1
X356.28_3.016,1
X368.317_3.315,1
X400.159_0.337,1
X400.307_3.013,1
X445.221_2.633,1
X468.309_2.821,1
X475.989_2.164,1
X476.24_2.164,1
X480.345_2.967,1
X482.325_3.027,1
X482.361_2.958,1
X493.314_3.018,1
X493.315_3.011,1
X494.324_2.861,1
X494.325_2.865,1
X508.376_2.995,1
X526.294_2.877,1
X540.273_2.812,1
X604.362_2.948,1
X608.393_3.098,1
X620.393_3.029,1
X622.372_2.977,1
X622.408_3.044,1
X622.409_3.109,1
X634.371_2.921,1
X636.388_2.978,1
X638.403_2.987,1
X652.383_2.943,1
X682.363_3.329,1
X682.364_3.313,1
X991.673_2.928,1
X137.046_0.35,1
X269.088_0.35,1
