"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML",501,"Group1A","naive","DPI_50","LA","A1","P121",0,0.000569214
"X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML",502,"Group1A","naive","DPI_50","LA","A2","P121",3.66e-05,0.004412355
"X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML",503,"Group1A","naive","DPI_50","LA","A3","P121",6.04e-05,0.01082445
"X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML",504,"Group1A","naive","DPI_50","LA","A4","P121",1.71e-05,0.004532281
"X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML",505,"Group1A","naive","DPI_50","LA","A5","P121",5.1e-05,0.006736306
"X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML",521,"Group1A","naive","DPI_50","LA","A6","P121",4.29e-05,0.009858084
"X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML",522,"Group1A","naive","DPI_50","LA","A7","P121",0.000158276,0.009241265
"X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML",523,"Group1A","naive","DPI_50","LA","A8","P121",0,0.001118359
"X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML",524,"Group1A","naive","DPI_50","LA","A9","P121",0,0.001817576
"X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML",525,"Group1A","naive","DPI_50","LA","A10","P121",0,0.0008903
"X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML",541,"Group1A","naive","DPI_50","LA","A11","P121",2.24e-05,0.006727007
"X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML",542,"Group1A","naive","DPI_50","LA","A12","P121",0,0.004383209
"X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML",543,"Group1A","naive","DPI_50","LA","B1","P121",0,0.000364128
"X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML",544,"Group1A","naive","DPI_50","LA","B2","P121",2.97e-05,0.002597334
"X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML",545,"Group1A","naive","DPI_50","LA","B3","P121",0,0.001254499
"X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML",506,"Group1B","naive","DPI_75","LA","C7","P121",0,0.003384796
"X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML",507,"Group1B","naive","DPI_75","LA","C8","P121",0.000123,0.028690832
"X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML",508,"Group1B","naive","DPI_75","LA","C9","P121",0,0.000526666
"X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML",509,"Group1B","naive","DPI_75","LA","C10","P121",2.59e-05,0.005635522
"X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML",510,"Group1B","naive","DPI_75","LA","C11","P121",0,0.002039672
