"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML",511,"naive",142,"LA","A1","P120",0,0.002466692
"X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML",512,"naive",142,"LA","A2","P120",0,0.001265076
"X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML",513,"naive",142,"LA","A3","P120",0,0.000731922
"X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML",514,"naive",142,"LA","A4","P120",0,0.001584927
"X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML",515,"naive",142,"LA","A5","P120",0,0.000793961
"X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML",531,"naive",142,"LA","A6","P120",0,0.001016111
"X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML",532,"naive",142,"LA","A7","P120",0,0.001184383
"X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML",533,"naive",142,"LA","A8","P120",0,0.00112625
"X534_Group1C_142dpi_LA_169_G_A9_P120.mzXML",534,"naive",142,"LA","A9","P120",0,0.001804336
"X535_Group1C_142dpi_LA_170_G_A10_P120.mzXML",535,"naive",142,"LA","A10","P120",0,0.001334937
"X551_Group1C_142dpi_LA_171_G_A11_P120.mzXML",551,"naive",142,"LA","A11","P120",1.88e-05,0.005038145
"X552_Group1C_142dpi_LA_172_G_A12_P120.mzXML",552,"naive",142,"LA","A12","P120",0,0.001818173
"X553_Group1C_142dpi_LA_173_G_B1_P120.mzXML",553,"naive",142,"LA","B1","P120",0,0.002070501
"X554_Group1C_142dpi_LA_174_G_B2_P120.mzXML",554,"naive",142,"LA","B2","P120",0,0.000719968
"X555_Group1C_142dpi_LA_175_G_B3_P120.mzXML",555,"naive",142,"LA","B3","P120",0,0.005655063
"X581_Group3E_142dpi_LA_176_G_B4_P120.mzXML",581,"infected",142,"LA","B4","P120",0,0.001375106
"X582_Group3E_142dpi_LA_177_G_B5_P120.mzXML",582,"infected",142,"LA","B5","P120",0,0.001090347
"X583_Group3E_142dpi_LA_178_G_B6_P120.mzXML",583,"infected",142,"LA","B6","P120",0,0.002862502
"X584_Group3E_142dpi_LA_179_G_B7_P120.mzXML",584,"infected",142,"LA","B7","P120",0,0.004437563
"X585_Group3E_142dpi_LA_180_G_B8_P120.mzXML",585,"infected",142,"LA","B8","P120",0,0.003129263
"X611_Group9_142dpi_LA_181_G_B9_P120.mzXML",611,"combo",142,"LA","B9","P120",0,0.011610114
"X612_Group9_142dpi_LA_182_G_B10_P120.mzXML",612,"combo",142,"LA","B10","P120",0,0.002357211
"X613_Group9_142dpi_LA_183_G_B11_P120.mzXML",613,"combo",142,"LA","B11","P120",0,0.001973185
"X614_Group9_142dpi_LA_184_G_B12_P120.mzXML",614,"combo",142,"LA","B12","P120",0,0.003930774
"X615_Group9_142dpi_LA_185_G_C1_P120.mzXML",615,"combo",142,"LA","C1","P120",3.61e-05,0.006991817
"X631_Group15_142dpi_LA_191_G_C7_P120.mzXML",631,"BNZ",142,"LA","C7","P120",0,0.007523776
"X632_Group15_142dpi_LA_192_G_C8_P120.mzXML",632,"BNZ",142,"LA","C8","P120",0,0.001181233
"X633_Group15_142dpi_LA_193_G_C9_P120.mzXML",633,"BNZ",142,"LA","C9","P120",0,0.000631913
"X634_Group15_142dpi_LA_194_G_C10_P120.mzXML",634,"BNZ",142,"LA","C10","P120",0,0.004163269
"X635_Group15_142dpi_LA_195_G_C11_P120.mzXML",635,"BNZ",142,"LA","C11","P120",0,0.001293676
"X666_Group3E_142dpi_LA_201_G_D5_P120.mzXML",666,"infected",142,"LA","D5","P120",0,0.003986599
"X667_Group3E_142dpi_LA_202_G_D6_P120.mzXML",667,"infected",142,"LA","D6","P120",0,0.001532614
"X668_Group3E_142dpi_LA_203_G_D7_P120.mzXML",668,"infected",142,"LA","D7","P120",0,0.002406818
"X669_Group3E_142dpi_LA_204_G_D8_P120.mzXML",669,"infected",142,"LA","D8","P120",0,0.000802385
"X670_Group3E_142dpi_LA_205_G_D9_P120.mzXML",670,"infected",142,"LA","D9","P120",0,0.003235769
"X696_Group9_142dpi_LA_206_G_D10_P120.mzXML",696,"combo",142,"LA","D10","P120",0,0.001577145
"X697_Group9_142dpi_LA_207_G_D11_P120.mzXML",697,"combo",142,"LA","D11","P120",0,0.0001644
"X698_Group9_142dpi_LA_208_G_D12_P120.mzXML",698,"combo",142,"LA","D12","P120",0,0.004433829
"X699_Group9_142dpi_LA_209_G_E1_P120.mzXML",699,"combo",142,"LA","E1","P120",2.31e-05,0.005217251
"X700_Group9_142dpi_LA_210_G_E2_P120.mzXML",700,"combo",142,"LA","E2","P120",0,0.001503109
"X716_Group15_142dpi_LA_216_G_E8_P120.mzXML",716,"BNZ",142,"LA","E8","P120",0,0.001668795
"X717_Group15_142dpi_LA_217_G_E9_P120.mzXML",717,"BNZ",142,"LA","E9","P120",0,0.000768751
"X718_Group15_142dpi_LA_218_G_E10_P120.mzXML",718,"BNZ",142,"LA","E10","P120",0,0.001555548
"X719_Group15_142dpi_LA_219_G_E11_P120.mzXML",719,"BNZ",142,"LA","E11","P120",0,0.001295085
"X720_Group15_142dpi_LA_220_G_E12_P120.mzXML",720,"BNZ",142,"LA","E12","P120",0,0.0001784
"X751_Group3E_142dpi_LA_226_G_F6_P120.mzXML",751,"infected",142,"LA","F6","P120",0,0.002701864
"X752_Group3E_142dpi_LA_227_G_F7_P120.mzXML",752,"infected",142,"LA","F7","P120",0,0.002079755
"X753_Group3E_142dpi_LA_228_G_F8_P120.mzXML",753,"infected",142,"LA","F8","P120",0,0.000738733
"X754_Group3E_142dpi_LA_229_G_F9_P120.mzXML",754,"infected",142,"LA","F9","P120",0,0.00039849
"X755_Group3E_142dpi_LA_230_G_F10_P120.mzXML",755,"infected",142,"LA","F10","P120",0,0.001300849
"X781_Group9_142dpi_LA_231_G_F11_P120.mzXML",781,"combo",142,"LA","F11","P120",0,0.002814208
"X782_Group9_142dpi_LA_232_G_F12_P120.mzXML",782,"combo",142,"LA","F12","P120",0,0.004115445
"X783_Group9_142dpi_LA_233_G_G1_P120.mzXML",783,"combo",142,"LA","G1","P120",0,0.001358827
"X784_Group9_142dpi_LA_234_G_G2_P120.mzXML",784,"combo",142,"LA","G2","P120",0,0.000960926
"X785_Group9_142dpi_LA_235_G_G3_P120.mzXML",785,"combo",142,"LA","G3","P120",0,0.002823466
"X801_Group15_142dpi_LA_241_G_G9_P120.mzXML",801,"BNZ",142,"LA","G9","P120",0,0.002717918
"X802_Group15_142dpi_LA_242_G_G10_P120.mzXML",802,"BNZ",142,"LA","G10","P120",0,0.011441982
"X803_Group15_142dpi_LA_243_G_G11_P120.mzXML",803,"BNZ",142,"LA","G11","P120",0,0.001955901
"X804_Group15_142dpi_LA_244_G_G12_P120.mzXML",804,"BNZ",142,"LA","G12","P120",0,0.00039539
"X805_Group15_142dpi_LA_245_G_H1_P120.mzXML",805,"BNZ",142,"LA","H1","P120",0,0.000607254
