"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML",511,"naive",142,"LV_bottom","A1","P132",0,3.07e-05
"X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML",512,"naive",142,"LV_bottom","A2","P132",0,0
"X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML",513,"naive",142,"LV_bottom","A3","P132",0,3.16e-05
"X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML",514,"naive",142,"LV_bottom","A4","P132",0,0
"X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML",515,"naive",142,"LV_bottom","A5","P132",0,2.93e-05
"X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML",531,"naive",142,"LV_bottom","A6","P132",0,0
"X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML",532,"naive",142,"LV_bottom","A7","P132",0,4.01e-05
"X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML",533,"naive",142,"LV_bottom","A8","P132",0,3.11e-05
"X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML",534,"naive",142,"LV_bottom","A9","P132",0,0
"X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML",535,"naive",142,"LV_bottom","A10","P132",0,0
"X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML",551,"naive",142,"LV_bottom","A11","P132",0,2.74e-05
"X552_Group1C_142dpi_LV_bottom_172_G_A12_P132.mzXML",552,"naive",142,"LV_bottom","A12","P132",0,0
"X553_Group1C_142dpi_LV_bottom_173_G_B1_P132.mzXML",553,"naive",142,"LV_bottom","B1","P132",0,0
"X554_Group1C_142dpi_LV_bottom_174_G_B2_P132.mzXML",554,"naive",142,"LV_bottom","B2","P132",0,0
"X555_Group1C_142dpi_LV_bottom_175_G_B3_P132.mzXML",555,"naive",142,"LV_bottom","B3","P132",0,0.0001115
"X581_Group3E_142dpi_LV_bottom_176_G_B4_P132.mzXML",581,"infected",142,"LV_bottom","B4","P132",0,0.000441601
"X582_Group3E_142dpi_LV_bottom_177_G_B5_P132.mzXML",582,"infected",142,"LV_bottom","B5","P132",0,0.000718141
"X583_Group3E_142dpi_LV_bottom_178_G_B6_P132.mzXML",583,"infected",142,"LV_bottom","B6","P132",0,0.000412639
"X584_Group3E_142dpi_LV_bottom_179_G_B7_P132.mzXML",584,"infected",142,"LV_bottom","B7","P132",0,0.00061308
"X585_Group3E_142dpi_LV_bottom_180_G_B8_P132.mzXML",585,"infected",142,"LV_bottom","B8","P132",0,0.000852706
"X611_Group9_142dpi_LV_bottom_181_G_B9_P132.mzXML",611,"combo",142,"LV_bottom","B9","P132",0,0.000222028
"X612_Group9_142dpi_LV_bottom_182_G_B10_P132.mzXML",612,"combo",142,"LV_bottom","B10","P132",0,4.62e-05
"X613_Group9_142dpi_LV_bottom_183_G_B11_P132.mzXML",613,"combo",142,"LV_bottom","B11","P132",0,0.000451238
"X614_Group9_142dpi_LV_bottom_184_G_B12_P132.mzXML",614,"combo",142,"LV_bottom","B12","P132",0,0.000356286
"X615_Group9_142dpi_LV_bottom_185_G_C1_P132.mzXML",615,"combo",142,"LV_bottom","C1","P132",0,0.000209509
"X631_Group15_142dpi_LV_bottom_191_G_C7_P132.mzXML",631,"BNZ",142,"LV_bottom","C7","P132",0,0.001048426
"X632_Group15_142dpi_LV_bottom_192_G_C8_P132.mzXML",632,"BNZ",142,"LV_bottom","C8","P132",0,0.000567214
"X633_Group15_142dpi_LV_bottom_193_G_C9_P132.mzXML",633,"BNZ",142,"LV_bottom","C9","P132",0,0.000395188
