"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML",511,"naive",142,"LV_top","A1","P128",0,8.53e-05
"X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML",512,"naive",142,"LV_top","A2","P128",0,0
"X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML",513,"naive",142,"LV_top","A3","P128",0,0.000632642
"X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML",514,"naive",142,"LV_top","A4","P128",0,0
"X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML",515,"naive",142,"LV_top","A5","P128",0,0.000149541
"X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML",531,"naive",142,"LV_top","A6","P128",0,0.000478358
"X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML",532,"naive",142,"LV_top","A7","P128",0,0.000848712
"X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML",533,"naive",142,"LV_top","A8","P128",0,0.001271545
"X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML",534,"naive",142,"LV_top","A9","P128",0,7.09e-05
"X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML",535,"naive",142,"LV_top","A10","P128",0,8.9e-05
"X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML",551,"naive",142,"LV_top","A11","P128",0,0.001433668
"X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML",552,"naive",142,"LV_top","A12","P128",0,6.08e-05
"X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML",553,"naive",142,"LV_top","B1","P128",0,0.000801816
"X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML",554,"naive",142,"LV_top","B2","P128",0,0.0001883
"X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML",555,"naive",142,"LV_top","B3","P128",0,0.000917065
"X581_Group3E_142dpi_LV_top_176_G_B4_P128.mzXML",581,"infected",142,"LV_top","B4","P128",0,0.001564505
"X582_Group3E_142dpi_LV_top_177_G_B5_P128.mzXML",582,"infected",142,"LV_top","B5","P128",0,0.001273621
"X583_Group3E_142dpi_LV_top_178_G_B6_P128.mzXML",583,"infected",142,"LV_top","B6","P128",0,0.004275555
"X584_Group3E_142dpi_LV_top_179_G_B7_P128.mzXML",584,"infected",142,"LV_top","B7","P128",0,0.001741117
"X585_Group3E_142dpi_LV_top_180_G_B8_P128.mzXML",585,"infected",142,"LV_top","B8","P128",0,0.00332771
"X611_Group9_142dpi_LV_top_181_G_B9_P128.mzXML",611,"combo",142,"LV_top","B9","P128",0,0.001795282
"X612_Group9_142dpi_LV_top_182_G_B10_P128.mzXML",612,"combo",142,"LV_top","B10","P128",0,0.000666932
"X613_Group9_142dpi_LV_top_183_G_B11_P128.mzXML",613,"combo",142,"LV_top","B11","P128",0,0.003324226
"X614_Group9_142dpi_LV_top_184_G_B12_P128.mzXML",614,"combo",142,"LV_top","B12","P128",0,0.001230555
"X615_Group9_142dpi_LV_top_185_G_C1_P128.mzXML",615,"combo",142,"LV_top","C1","P128",0,0.003122679
"X631_Group15_142dpi_LV_top_191_G_C7_P128.mzXML",631,"BNZ",142,"LV_top","C7","P128",0,0.000855722
"X632_Group15_142dpi_LV_top_192_G_C8_P128.mzXML",632,"BNZ",142,"LV_top","C8","P128",0,0.000329622
"X633_Group15_142dpi_LV_top_193_G_C9_P128.mzXML",633,"BNZ",142,"LV_top","C9","P128",0,0.001734099
"X634_Group15_142dpi_LV_top_194_G_C10_P128.mzXML",634,"BNZ",142,"LV_top","C10","P128",0,0.002007866
"X635_Group15_142dpi_LV_top_195_G_C11_P128.mzXML",635,"BNZ",142,"LV_top","C11","P128",0,0.000280083
"X666_Group3E_142dpi_LV_top_201_G_D5_P128.mzXML",666,"infected",142,"LV_top","D5","P128",0,0.003155736
"X667_Group3E_142dpi_LV_top_202_G_D6_P128.mzXML",667,"infected",142,"LV_top","D6","P128",0,0.006673995
"X668_Group3E_142dpi_LV_top_203_G_D7_P128.mzXML",668,"infected",142,"LV_top","D7","P128",0,0.003464563
"X669_Group3E_142dpi_LV_top_204_G_D8_P128.mzXML",669,"infected",142,"LV_top","D8","P128",0,0.000595363
"X670_Group3E_142dpi_LV_top_205_G_D9_P128.mzXML",670,"infected",142,"LV_top","D9","P128",0,0.00023748
"X696_Group9_142dpi_LV_top_206_G_D10_P128.mzXML",696,"combo",142,"LV_top","D10","P128",0,0.001844122
"X697_Group9_142dpi_LV_top_207_G_D11_P128.mzXML",697,"combo",142,"LV_top","D11","P128",0,0.001542566
"X698_Group9_142dpi_LV_top_208_G_D12_P128.mzXML",698,"combo",142,"LV_top","D12","P128",0,0.000517916
"X699_Group9_142dpi_LV_top_209_G_E1_P128.mzXML",699,"combo",142,"LV_top","E1","P128",0,0.003214833
"X700_Group9_142dpi_LV_top_210_G_E2_P128.mzXML",700,"combo",142,"LV_top","E2","P128",0,0.003172825
"X716_Group15_142dpi_LV_top_216_G_E8_P128.mzXML",716,"BNZ",142,"LV_top","E8","P128",0,0.000815293
"X717_Group15_142dpi_LV_top_217_G_E9_P128.mzXML",717,"BNZ",142,"LV_top","E9","P128",0,6.22e-05
"X718_Group15_142dpi_LV_top_218_G_E10_P128.mzXML",718,"BNZ",142,"LV_top","E10","P128",0,4.89e-05
"X719_Group15_142dpi_LV_top_219_G_E11_P128.mzXML",719,"BNZ",142,"LV_top","E11","P128",0,0.000333439
"X720_Group15_142dpi_LV_top_220_G_E12_P128.mzXML",720,"BNZ",142,"LV_top","E12","P128",0,0.000426908
"X751_Group3E_142dpi_LV_top_226_G_F6_P128.mzXML",751,"infected",142,"LV_top","F6","P128",0,0.000800256
"X752_Group3E_142dpi_LV_top_227_G_F7_P128.mzXML",752,"infected",142,"LV_top","F7","P128",0,0.001139321
"X753_Group3E_142dpi_LV_top_228_G_F8_P128.mzXML",753,"infected",142,"LV_top","F8","P128",0,0.00057766
"X754_Group3E_142dpi_LV_top_229_G_F9_P128.mzXML",754,"infected",142,"LV_top","F9","P128",0,0.000589652
"X755_Group3E_142dpi_LV_top_230_G_F10_P128.mzXML",755,"infected",142,"LV_top","F10","P128",0,0.00107016
"X781_Group9_142dpi_LV_top_231_G_F11_P128.mzXML",781,"combo",142,"LV_top","F11","P128",0,0.000266871
"X782_Group9_142dpi_LV_top_232_G_F12_P128.mzXML",782,"combo",142,"LV_top","F12","P128",0,0.001598721
"X783_Group9_142dpi_LV_top_233_G_G1_P128.mzXML",783,"combo",142,"LV_top","G1","P128",0,0.001832101
"X784_Group9_142dpi_LV_top_234_G_G2_P128.mzXML",784,"combo",142,"LV_top","G2","P128",0,0.001089731
