"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML",511,"naive",142,"RA","A1","P124",0,0.00072204
"X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML",512,"naive",142,"RA","A2","P124",3.25e-05,0.005251773
"X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML",513,"naive",142,"RA","A3","P124",0,0.001428677
"X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML",514,"naive",142,"RA","A4","P124",0,0.001536334
"X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML",515,"naive",142,"RA","A5","P124",0,0.000752024
"X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML",531,"naive",142,"RA","A6","P124",0,0.001017006
"X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML",532,"naive",142,"RA","A7","P124",0,0.000325448
"X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML",533,"naive",142,"RA","A8","P124",0,0.004246878
"X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML",534,"naive",142,"RA","A9","P124",0,0.001413581
"X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML",535,"naive",142,"RA","A10","P124",0,0.001296033
"X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML",551,"naive",142,"RA","A11","P124",0,0.004604176
"X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML",552,"naive",142,"RA","A12","P124",0,0.00260293
"X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML",553,"naive",142,"RA","B1","P124",0,0.001975781
"X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML",554,"naive",142,"RA","B2","P124",0,0.001541476
"X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML",555,"naive",142,"RA","B3","P124",0,0.005881852
"X581_Group3E_142dpi_RA_176_G_B4_P124.mzXML",581,"infected",142,"RA","B4","P124",0,0.005147358
"X582_Group3E_142dpi_RA_177_G_B5_P124.mzXML",582,"infected",142,"RA","B5","P124",0,0.006398734
"X583_Group3E_142dpi_RA_178_G_B6_P124.mzXML",583,"infected",142,"RA","B6","P124",0,0.004067739
"X584_Group3E_142dpi_RA_179_G_B7_P124.mzXML",584,"infected",142,"RA","B7","P124",0,0.007727994
"X585_Group3E_142dpi_RA_180_G_B8_P124.mzXML",585,"infected",142,"RA","B8","P124",7.67e-05,0.008717704
"X611_Group9_142dpi_RA_181_G_B9_P124.mzXML",611,"combo",142,"RA","B9","P124",0,0.003146454
"X612_Group9_142dpi_RA_182_G_B10_P124.mzXML",612,"combo",142,"RA","B10","P124",0,0.005374843
"X613_Group9_142dpi_RA_183_G_B11_P124.mzXML",613,"combo",142,"RA","B11","P124",0,0.004721533
"X614_Group9_142dpi_RA_184_G_B12_P124.mzXML",614,"combo",142,"RA","B12","P124",0,0.00523359
"X615_Group9_142dpi_RA_185_G_C1_P124.mzXML",615,"combo",142,"RA","C1","P124",0,0.005787677
"X631_Group15_142dpi_RA_191_G_C7_P124.mzXML",631,"BNZ",142,"RA","C7","P124",0,0.001998533
"X632_Group15_142dpi_RA_192_G_C8_P124.mzXML",632,"BNZ",142,"RA","C8","P124",0,0.00543845
"X633_Group15_142dpi_RA_193_G_C9_P124.mzXML",633,"BNZ",142,"RA","C9","P124",0,0.002672164
"X634_Group15_142dpi_RA_194_G_C10_P124.mzXML",634,"BNZ",142,"RA","C10","P124",0,0.001942616
"X635_Group15_142dpi_RA_195_G_C11_P124.mzXML",635,"BNZ",142,"RA","C11","P124",0,0.001305775
"X666_Group3E_142dpi_RA_201_G_D5_P124.mzXML",666,"infected",142,"RA","D5","P124",0,0.001066209
"X667_Group3E_142dpi_RA_202_G_D6_P124.mzXML",667,"infected",142,"RA","D6","P124",0,0.0032859
"X668_Group3E_142dpi_RA_203_G_D7_P124.mzXML",668,"infected",142,"RA","D7","P124",0,0.002257876
"X669_Group3E_142dpi_RA_204_G_D8_P124.mzXML",669,"infected",142,"RA","D8","P124",0,0.003821364
"X670_Group3E_142dpi_RA_205_G_D9_P124.mzXML",670,"infected",142,"RA","D9","P124",0,0.001684721
"X696_Group9_142dpi_RA_206_G_D10_P124.mzXML",696,"combo",142,"RA","D10","P124",0,0.004438706
"X697_Group9_142dpi_RA_207_G_D11_P124.mzXML",697,"combo",142,"RA","D11","P124",0,0.003109728
"X698_Group9_142dpi_RA_208_G_D12_P124.mzXML",698,"combo",142,"RA","D12","P124",2.39e-05,0.01038482
"X699_Group9_142dpi_RA_209_G_E1_P124.mzXML",699,"combo",142,"RA","E1","P124",0,0.006142335
"X700_Group9_142dpi_RA_210_G_E2_P124.mzXML",700,"combo",142,"RA","E2","P124",0,0.006712309
"X716_Group15_142dpi_RA_216_G_E8_P124.mzXML",716,"BNZ",142,"RA","E8","P124",0,0.003094818
"X717_Group15_142dpi_RA_217_G_E9_P124.mzXML",717,"BNZ",142,"RA","E9","P124",0,0.001329478
"X718_Group15_142dpi_RA_218_G_E10_P124.mzXML",718,"BNZ",142,"RA","E10","P124",0,0.00419602
"X719_Group15_142dpi_RA_219_G_E11_P124.mzXML",719,"BNZ",142,"RA","E11","P124",0,0.000988187
"X720_Group15_142dpi_RA_220_G_E12_P124.mzXML",720,"BNZ",142,"RA","E12","P124",0,0.001316158
"X751_Group3E_142dpi_RA_226_G_F6_P124.mzXML",751,"infected",142,"RA","F6","P124",0,0.005657812
"X752_Group3E_142dpi_RA_227_G_F7_P124.mzXML",752,"infected",142,"RA","F7","P124",0,0.003647437
"X753_Group3E_142dpi_RA_228_G_F8_P124.mzXML",753,"infected",142,"RA","F8","P124",0,0.003431166
"X754_Group3E_142dpi_RA_229_G_F9_P124.mzXML",754,"infected",142,"RA","F9","P124",0,0.000936574
"X755_Group3E_142dpi_RA_230_G_F10_P124.mzXML",755,"infected",142,"RA","F10","P124",0,0.002393614
"X781_Group9_142dpi_RA_231_G_F11_P124.mzXML",781,"combo",142,"RA","F11","P124",0,0.004063653
"X782_Group9_142dpi_RA_232_G_F12_P124.mzXML",782,"combo",142,"RA","F12","P124",0,0.005303991
"X783_Group9_142dpi_RA_233_G_G1_P124.mzXML",783,"combo",142,"RA","G1","P124",0,0.00158916
"X784_Group9_142dpi_RA_234_G_G2_P124.mzXML",784,"combo",142,"RA","G2","P124",0,0.002675411
"X785_Group9_142dpi_RA_235_G_G3_P124.mzXML",785,"combo",142,"RA","G3","P124",0,0.001414955
"X801_Group15_142dpi_RA_241_G_G9_P124.mzXML",801,"BNZ",142,"RA","G9","P124",0,0.004513954
"X802_Group15_142dpi_RA_242_G_G10_P124.mzXML",802,"BNZ",142,"RA","G10","P124",0,0.001446315
"X803_Group15_142dpi_RA_243_G_G11_P124.mzXML",803,"BNZ",142,"RA","G11","P124",0,0.001458816
"X804_Group15_142dpi_RA_244_G_G12_P124.mzXML",804,"BNZ",142,"RA","G12","P124",0,0.002415577
"X805_Group15_142dpi_RA_245_G_H1_P124.mzXML",805,"BNZ",142,"RA","H1","P124",0,0.000984478
