"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML",501,"Group1A","naive","DPI_50","RV_bottom","A1","P141",0,0.024538733
"X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML",502,"Group1A","naive","DPI_50","RV_bottom","A2","P141",1.77e-05,0.003547525
"X503_Group1A_50dpi_RV_bottom_253_B_A3_P141.mzXML",503,"Group1A","naive","DPI_50","RV_bottom","A3","P141",0,0.0003116
"X504_Group1A_50dpi_RV_bottom_254_B_A4_P141.mzXML",504,"Group1A","naive","DPI_50","RV_bottom","A4","P141",0,0.00326234
"X505_Group1A_50dpi_RV_bottom_255_B_A5_P141.mzXML",505,"Group1A","naive","DPI_50","RV_bottom","A5","P141",0,0.028324386
"X521_Group1A_50dpi_RV_bottom_256_B_A6_P141.mzXML",521,"Group1A","naive","DPI_50","RV_bottom","A6","P141",0,0.012080991
"X522_Group1A_50dpi_RV_bottom_257_B_A7_P141.mzXML",522,"Group1A","naive","DPI_50","RV_bottom","A7","P141",0,0.000472773
"X523_Group1A_50dpi_RV_bottom_258_B_A8_P141.mzXML",523,"Group1A","naive","DPI_50","RV_bottom","A8","P141",0,0
"X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML",524,"Group1A","naive","DPI_50","RV_bottom","A9","P141",0,0.000316815
"X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML",525,"Group1A","naive","DPI_50","RV_bottom","A10","P141",0,0.010119978
"X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML",541,"Group1A","naive","DPI_50","RV_bottom","A11","P141",0,0.006528178
"X542_Group1A_50dpi_RV_bottom_262_B_A12_P141.mzXML",542,"Group1A","naive","DPI_50","RV_bottom","A12","P141",0,0.003018762
"X543_Group1A_50dpi_RV_bottom_263_B_B1_P141.mzXML",543,"Group1A","naive","DPI_50","RV_bottom","B1","P141",0,0
"X544_Group1A_50dpi_RV_bottom_264_B_B2_P141.mzXML",544,"Group1A","naive","DPI_50","RV_bottom","B2","P141",0,0.000939249
"X545_Group1A_50dpi_RV_bottom_265_B_B3_P141.mzXML",545,"Group1A","naive","DPI_50","RV_bottom","B3","P141",0,0.000357059
