"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML",501,"Group1A","naive","DPI_50","RV_top","A1","P137",0,0.000273748
"X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML",502,"Group1A","naive","DPI_50","RV_top","A2","P137",0,0.000396923
"X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML",503,"Group1A","naive","DPI_50","RV_top","A3","P137",0,4.06e-05
"X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML",504,"Group1A","naive","DPI_50","RV_top","A4","P137",0,0.001474421
"X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML",505,"Group1A","naive","DPI_50","RV_top","A5","P137",0,0.000274512
"X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML",521,"Group1A","naive","DPI_50","RV_top","A6","P137",0,0.000128641
"X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML",522,"Group1A","naive","DPI_50","RV_top","A7","P137",0,0.002324911
"X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML",523,"Group1A","naive","DPI_50","RV_top","A8","P137",0,7.2e-05
"X524_Group1A_50dpi_RV_top_259_B_A9_P137.mzXML",524,"Group1A","naive","DPI_50","RV_top","A9","P137",0,0.010487334
"X525_Group1A_50dpi_RV_top_260_B_A10_P137.mzXML",525,"Group1A","naive","DPI_50","RV_top","A10","P137",0,0.000652513
"X541_Group1A_50dpi_RV_top_261_B_A11_P137.mzXML",541,"Group1A","naive","DPI_50","RV_top","A11","P137",0,0.010065618
"X542_Group1A_50dpi_RV_top_262_B_A12_P137.mzXML",542,"Group1A","naive","DPI_50","RV_top","A12","P137",0,0.004387461
"X543_Group1A_50dpi_RV_top_263_B_B1_P137.mzXML",543,"Group1A","naive","DPI_50","RV_top","B1","P137",0,0.0001009
"X544_Group1A_50dpi_RV_top_264_B_B2_P137.mzXML",544,"Group1A","naive","DPI_50","RV_top","B2","P137",0,0.008186389
"X545_Group1A_50dpi_RV_top_265_B_B3_P137.mzXML",545,"Group1A","naive","DPI_50","RV_top","B3","P137",0,5.66e-05
"X506_Group1B_70dpi_RV_top_281_B_C7_P137.mzXML",506,"Group1B","naive","DPI_75","RV_top","C7","P137",0,0.0001507
"X507_Group1B_70dpi_RV_top_282_B_C8_P137.mzXML",507,"Group1B","naive","DPI_75","RV_top","C8","P137",0,0.005176063
"X508_Group1B_70dpi_RV_top_283_B_C9_P137.mzXML",508,"Group1B","naive","DPI_75","RV_top","C9","P137",0,0.008103268
"X509_Group1B_70dpi_RV_top_284_B_C10_P137.mzXML",509,"Group1B","naive","DPI_75","RV_top","C10","P137",0,0
"X510_Group1B_70dpi_RV_top_285_B_C11_P137.mzXML",510,"Group1B","naive","DPI_75","RV_top","C11","P137",0,0
"X526_Group1B_70dpi_RV_top_286_B_C12_P137.mzXML",526,"Group1B","naive","DPI_75","RV_top","C12","P137",0,0.001559781
"X527_Group1B_70dpi_RV_top_287_B_D1_P137.mzXML",527,"Group1B","naive","DPI_75","RV_top","D1","P137",0,0.000381722
"X528_Group1B_70dpi_RV_top_288_B_D2_P137.mzXML",528,"Group1B","naive","DPI_75","RV_top","D2","P137",0,0.000919545
"X529_Group1B_70dpi_RV_top_289_B_D3_P137.mzXML",529,"Group1B","naive","DPI_75","RV_top","D3","P137",0,0.009652877
"X530_Group1B_70dpi_RV_top_290_B_D4_P137.mzXML",530,"Group1B","naive","DPI_75","RV_top","D4","P137",0,0.006723995
"X546_Group1B_70dpi_RV_top_291_B_D5_P137.mzXML",546,"Group1B","naive","DPI_75","RV_top","D5","P137",0,0.000779297
"X547_Group1B_70dpi_RV_top_292_B_D6_P137.mzXML",547,"Group1B","naive","DPI_75","RV_top","D6","P137",0,0.004649618
"X548_Group1B_70dpi_RV_top_293_B_D7_P137.mzXML",548,"Group1B","naive","DPI_75","RV_top","D7","P137",0,0.000843272
"X549_Group1B_70dpi_RV_top_294_B_D8_P137.mzXML",549,"Group1B","naive","DPI_75","RV_top","D8","P137",0,0.0001464
"X550_Group1B_70dpi_RV_top_295_B_D9_P137.mzXML",550,"Group1B","naive","DPI_75","RV_top","D9","P137",0,0.004576467
"X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML",511,"Group1C","naive","DPI_142","RV_top","A1","P136",0,0
"X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML",512,"Group1C","naive","DPI_142","RV_top","A2","P136",0,0
"X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML",513,"Group1C","naive","DPI_142","RV_top","A3","P136",0,0
"X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML",514,"Group1C","naive","DPI_142","RV_top","A4","P136",0,0
"X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML",515,"Group1C","naive","DPI_142","RV_top","A5","P136",0,0
"X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML",531,"Group1C","naive","DPI_142","RV_top","A6","P136",0,0
"X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML",532,"Group1C","naive","DPI_142","RV_top","A7","P136",0,0
