filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,mass_400,mass_500,mass_600,mass_700,mass_800
X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML,511,naive,142dpi,LA,A1,P120,0.057088339,0.058687987,0.001422083,0.024448705,0.002961521
X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,511,naive,142dpi,LV_bottom,A1,P132,0.043827893,0.079977727,0.002684053,0.003825973,0.000280747
X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,511,naive,142dpi,LV_top,A1,P128,0.065565436,0.095731657,0.002550993,0.005125326,0.004634527
X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,511,naive,142dpi,RA,A1,P124,0.019942835,0.02502781,0.000415632,0.005854332,0.003647412
X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,511,naive,142dpi,RV_bottom,A1,P140,0.010702499,0.018784438,0,0,0
X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,511,naive,142dpi,RV_top,A1,P136,0.032091931,0.026205891,0.000100362,0,0
X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML,512,naive,142dpi,LA,A2,P120,0.043649806,0.035292388,0.001064818,0.015103071,0.001586869
X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,512,naive,142dpi,LV_bottom,A2,P132,0.039081502,6.24E-02,0.0029983,0.003632408,0.001471252
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,512,naive,142dpi,LV_top,A2,P128,0.060895436,0.085315981,0.001798692,0.002720909,0.002227292
X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,512,naive,142dpi,RA,A2,P124,0.036269927,4.24E-02,0.000906489,0.01103642,0.003723513
X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,512,naive,142dpi,RV_bottom,A2,P140,0.018174011,0.025207861,0.0000717,0,0
X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,512,naive,142dpi,RV_top,A2,P136,0.025402882,0.030534463,0.000454363,0.001898197,0.000330184
X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML,513,naive,142dpi,LA,A3,P120,0.027236625,0.023089072,0.000641467,0.004038756,0.001170106
X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,513,naive,142dpi,LV_bottom,A3,P132,0.032670718,4.62E-02,0.001726274,0.004220656,0.002569278
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,513,naive,142dpi,LV_top,A3,P128,0.063582502,0.150533079,0.004499186,1.51E-02,0.023117551
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,513,naive,142dpi,RA,A3,P124,0.031512615,5.47E-02,0.001419182,0.025528456,0.020909886
X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,513,naive,142dpi,RV_bottom,A3,P140,0.012460664,0.014387724,0,0.00102245,0.000313152
X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,513,naive,142dpi,RV_top,A3,P136,0.033665283,0.032277149,0.000964191,0.000102656,0.000358707
X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML,514,naive,142dpi,LA,A4,P120,0.047952077,0.052034147,0.002287018,0.027557699,0.002876021
X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,514,naive,142dpi,LV_bottom,A4,P132,0.041721884,5.52E-02,0.001976908,0.003830678,0.000883582
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,514,naive,142dpi,LV_top,A4,P128,0.061260911,0.069982227,0.00132241,0.001122947,0.001015702
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,514,naive,142dpi,RA,A4,P124,0.034280176,0.039614432,0.00091083,0.003097366,0.00538055
X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,514,naive,142dpi,RV_bottom,A4,P140,0.013938643,0.018600493,0.000228515,0.0000606,0
X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,514,naive,142dpi,RV_top,A4,P136,0.019596124,0.020882444,0.000388447,0.002484004,0.0000963
X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML,515,naive,142dpi,LA,A5,P120,0.060625346,0.055201815,0.001113023,0.016928592,0.002033275
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,515,naive,142dpi,LV_bottom,A5,P132,0.035059784,0.058580274,0.002110626,0.002231458,0.001315984
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,515,naive,142dpi,LV_top,A5,P128,0.09292099,0.14679559,0.00346371,1.56E-02,0.019521396
