"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML",501,"Group1A","naive",50,"LA","A1","P121",0.036805406,0.0572,0.00076056,0.031205378,0.002291347
"X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML",502,"Group1A","naive",50,"LA","A2","P121",0.050302468,0.055799713,0.001677424,0.042509779,0.015692309
"X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML",503,"Group1A","naive",50,"LA","A3","P121",0.044316837,0.0517,0.000937343,0.040181915,0.012112645
"X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML",504,"Group1A","naive",50,"LA","A4","P121",0.01793115,0.0313,0.00125422,0.041006624,0.011346929
"X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML",505,"Group1A","naive",50,"LA","A5","P121",0.061516223,0.0859,0.001179035,0.017767807,0.013053424
"X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML",521,"Group1A","naive",50,"LA","A6","P121",0.059230365,0.0705,0.001097703,0.025816479,0.011216905
"X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML",522,"Group1A","naive",50,"LA","A7","P121",0.052488602,0.0827,0.001938458,0.032949636,0.017714658
"X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML",523,"Group1A","naive",50,"LA","A8","P121",0.049059106,0.0544,0.001036401,0.020194156,0.010070921
"X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML",524,"Group1A","naive",50,"LA","A9","P121",0.063364527,0.0718,0.001116448,0.041721035,0.015549704
"X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML",525,"Group1A","naive",50,"LA","A10","P121",0.022485425,0.040747142,0.001470124,0.031277974,0.004881561
"X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML",541,"Group1A","naive",50,"LA","A11","P121",0.035977806,0.0701,0.001078151,0.042704287,0.016401998
"X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML",542,"Group1A","naive",50,"LA","A12","P121",0.034415367,0.0502,0.001184917,0.044963837,0.033149964
"X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML",543,"Group1A","naive",50,"LA","B1","P121",0.034391129,0.0384,0.0005331,0.014078662,0.001119007
"X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML",544,"Group1A","naive",50,"LA","B2","P121",0.035552726,0.0551,0.001287547,0.022306003,0.010617431
