"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML",501,"Group1A","naive",50,"LV_bottom","A1","P133",0.078923501,0.065306991,0.000970399,0.001945097,0.000366071
"X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML",502,"Group1A","naive",50,"LV_bottom","A2","P133",0.079242557,0.076174289,0.002993028,0.00844,0.004184386
"X503_Group1A_50dpi_LV_bottom_253_B_A3_P133.mzXML",503,"Group1A","naive",50,"LV_bottom","A3","P133",0.096994365,0.098730227,0.003911717,0.009612853,0.002613826
"X504_Group1A_50dpi_LV_bottom_254_B_A4_P133.mzXML",504,"Group1A","naive",50,"LV_bottom","A4","P133",0.1057254,0.098460789,0.004994654,0.004941648,0.001521743
"X505_Group1A_50dpi_LV_bottom_255_B_A5_P133.mzXML",505,"Group1A","naive",50,"LV_bottom","A5","P133",0.081355246,0.0772,0.00408695,0.00632891,0.003207701
"X521_Group1A_50dpi_LV_bottom_256_B_A6_P133.mzXML",521,"Group1A","naive",50,"LV_bottom","A6","P133",0.079755246,0.087290914,0.003954718,0.009437329,0.003987342
"X522_Group1A_50dpi_LV_bottom_257_B_A7_P133.mzXML",522,"Group1A","naive",50,"LV_bottom","A7","P133",0.047656842,0.039402563,0.000696963,0.000222586,0
"X523_Group1A_50dpi_LV_bottom_258_B_A8_P133.mzXML",523,"Group1A","naive",50,"LV_bottom","A8","P133",0.09464861,0.0865,0.003768263,0.001364059,0.000337605
"X524_Group1A_50dpi_LV_bottom_259_B_A9_P133.mzXML",524,"Group1A","naive",50,"LV_bottom","A9","P133",0.0956102,0.0897,0.004363859,0.004107843,0.000713995
"X525_Group1A_50dpi_LV_bottom_260_B_A10_P133.mzXML",525,"Group1A","naive",50,"LV_bottom","A10","P133",0.074459267,0.082079368,0.00420788,0.006694884,0.001577344
"X541_Group1A_50dpi_LV_bottom_261_B_A11_P133.mzXML",541,"Group1A","naive",50,"LV_bottom","A11","P133",0.07716943,0.0808,0.004759275,0.01325579,0.005196084
"X542_Group1A_50dpi_LV_bottom_262_B_A12_P133.mzXML",542,"Group1A","naive",50,"LV_bottom","A12","P133",0.074843964,0.0732,0.00380817,0.00785,0.004587652
"X543_Group1A_50dpi_LV_bottom_263_B_B1_P133.mzXML",543,"Group1A","naive",50,"LV_bottom","B1","P133",0.02096921,0.017132963,4.85e-05,0.000939011,0
"X544_Group1A_50dpi_LV_bottom_264_B_B2_P133.mzXML",544,"Group1A","naive",50,"LV_bottom","B2","P133",0.064425003,0.06920755,0.003487371,0.01687435,0.00616816
"X545_Group1A_50dpi_LV_bottom_265_B_B3_P133.mzXML",545,"Group1A","naive",50,"LV_bottom","B3","P133",0.062038008,0.0692,0.003590402,0.008550072,0.004814288
"X506_Group1B_70dpi_LV_bottom_281_B_C7_P133.mzXML",506,"Group1B","naive",75,"LV_bottom","C7","P133",0.068288413,0.062924035,0.002967751,0.0073,0.003110738
"X507_Group1B_70dpi_LV_bottom_282_B_C8_P133.mzXML",507,"Group1B","naive",75,"LV_bottom","C8","P133",0.065729827,0.057434102,0.00276356,0.006749543,0.003015778
"X508_Group1B_70dpi_LV_bottom_283_B_C9_P133.mzXML",508,"Group1B","naive",75,"LV_bottom","C9","P133",0.065796734,0.058638332,0.003233173,0.010467686,0.003320559
"X509_Group1B_70dpi_LV_bottom_284_B_C10_P133.mzXML",509,"Group1B","naive",75,"LV_bottom","C10","P133",0.022995846,0.019380953,0.000337286,0.007340795,0.001557687
"X510_Group1B_70dpi_LV_bottom_285_B_C11_P133.mzXML",510,"Group1B","naive",75,"LV_bottom","C11","P133",0.052630856,0.046,0.00073616,0.002057198,0.000266219
"X526_Group1B_70dpi_LV_bottom_286_B_C12_P133.mzXML",526,"Group1B","naive",75,"LV_bottom","C12","P133",0.072026923,0.067,0.002716652,0.001190607,3.83e-05
"X527_Group1B_70dpi_LV_bottom_287_B_D1_P133.mzXML",527,"Group1B","naive",75,"LV_bottom","D1","P133",0.076804271,0.0798,0.003201121,0.008132565,0.004835063
"X528_Group1B_70dpi_LV_bottom_288_B_D2_P133.mzXML",528,"Group1B","naive",75,"LV_bottom","D2","P133",0.040402665,0.0404,0.002047455,0.005017269,0.00137823
"X529_Group1B_70dpi_LV_bottom_289_B_D3_P133.mzXML",529,"Group1B","naive",75,"LV_bottom","D3","P133",0.08591896,0.067251812,0.003267867,0.008762006,0.004148332
"X530_Group1B_70dpi_LV_bottom_290_B_D4_P133.mzXML",530,"Group1B","naive",75,"LV_bottom","D4","P133",0.061105966,0.0613,0.002897446,0.008972116,0.00510826
"X546_Group1B_70dpi_LV_bottom_291_B_D5_P133.mzXML",546,"Group1B","naive",75,"LV_bottom","D5","P133",0.068969295,0.062251899,0.003067693,0.005530727,0.003836358
"X547_Group1B_70dpi_LV_bottom_292_B_D6_P133.mzXML",547,"Group1B","naive",75,"LV_bottom","D6","P133",0.033474537,0.028117356,0.000484379,0.00366765,0.000325117
"X548_Group1B_70dpi_LV_bottom_293_B_D7_P133.mzXML",548,"Group1B","naive",75,"LV_bottom","D7","P133",0.058802131,0.0481,0.002246571,0.001123624,0.000194704
"X549_Group1B_70dpi_LV_bottom_294_B_D8_P133.mzXML",549,"Group1B","naive",75,"LV_bottom","D8","P133",0.074056852,0.065724117,0.003248685,0.006160914,0.001054163
"X550_Group1B_70dpi_LV_bottom_295_B_D9_P133.mzXML",550,"Group1B","naive",75,"LV_bottom","D9","P133",0.061709957,0.073923637,0.003667637,0.004269967,0.00200694
"X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML",511,"Group1C","naive",142,"LV_bottom","A1","P132",0.043827893,0.079977727,0.002684053,0.003825973,0.000280747
"X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML",512,"Group1C","naive",142,"LV_bottom","A2","P132",0.039081502,0.0624,0.0029983,0.003632408,0.001471252
"X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML",513,"Group1C","naive",142,"LV_bottom","A3","P132",0.032670718,0.0462,0.001726274,0.004220656,0.002569278
"X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML",514,"Group1C","naive",142,"LV_bottom","A4","P132",0.041721884,0.0552,0.001976908,0.003830678,0.000883582
"X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML",515,"Group1C","naive",142,"LV_bottom","A5","P132",0.035059784,0.058580274,0.002110626,0.002231458,0.001315984
"X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML",531,"Group1C","naive",142,"LV_bottom","A6","P132",0.032718284,0.0397,0.001690467,0.0061366,0.002555819
"X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML",532,"Group1C","naive",142,"LV_bottom","A7","P132",0.040565622,0.060124642,0.002358184,0.001932979,0.000835822
"X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML",533,"Group1C","naive",142,"LV_bottom","A8","P132",0.043631152,0.0676,0.002264667,0.00516417,0.002720221
"X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML",534,"Group1C","naive",142,"LV_bottom","A9","P132",0.034743853,0.048406811,0.001895897,0.004145536,0.001396689
"X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML",535,"Group1C","naive",142,"LV_bottom","A10","P132",0.026018701,0.037574571,0.001181785,0.001423776,0.003364134
"X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML",551,"Group1C","naive",142,"LV_bottom","A11","P132",0.042672818,0.068186079,0.002223042,0.005356417,0.002493371
"X552_Group1C_142dpi_LV_bottom_172_G_A12_P132.mzXML",552,"Group1C","naive",142,"LV_bottom","A12","P132",0.043751498,0.062526376,0.002564734,0.006578542,0.003792509
"X553_Group1C_142dpi_LV_bottom_173_G_B1_P132.mzXML",553,"Group1C","naive",142,"LV_bottom","B1","P132",0.066618811,0.0812,0.002472581,0.005629735,0.00608705
"X554_Group1C_142dpi_LV_bottom_174_G_B2_P132.mzXML",554,"Group1C","naive",142,"LV_bottom","B2","P132",0.027038803,0.042737922,0.000995773,0.00845084,0.003082775
"X555_Group1C_142dpi_LV_bottom_175_G_B3_P132.mzXML",555,"Group1C","naive",142,"LV_bottom","B3","P132",0.038491038,0.0533,0.00205679,0.009062418,0.011609149
"X561_Group3A_50dpi_LV_bottom_266_B_B4_P133.mzXML",561,"Group3A","infected",50,"LV_bottom","B4","P133",0.094310466,0.083523571,0.002697172,0.005567809,0.000693632
"X562_Group3A_50dpi_LV_bottom_267_B_B5_P133.mzXML",562,"Group3A","infected",50,"LV_bottom","B5","P133",0.050572276,0.037128324,0.000604808,0.003632734,0.000629132
"X563_Group3A_50dpi_LV_bottom_268_B_B6_P133.mzXML",563,"Group3A","infected",50,"LV_bottom","B6","P133",0.112928912,0.0972,0.003904444,0.007665108,0.006701103
"X564_Group3A_50dpi_LV_bottom_269_B_B7_P133.mzXML",564,"Group3A","infected",50,"LV_bottom","B7","P133",0.068014441,0.0689,0.002667304,0.007266407,0.00275813
"X565_Group3A_50dpi_LV_bottom_270_B_B8_P133.mzXML",565,"Group3A","infected",50,"LV_bottom","B8","P133",0.113498317,0.0842,0.003050135,0.008699128,0.006444201
"X646_Group3A_50dpi_LV_bottom_271_B_B9_P133.mzXML",646,"Group3A","infected",50,"LV_bottom","B9","P133",0.036265417,0.023881768,0.000168,0.003117901,0.000347303
"X647_Group3A_50dpi_LV_bottom_272_B_B10_P133.mzXML",647,"Group3A","infected",50,"LV_bottom","B10","P133",0.144968348,0.101339695,0.003334391,0.004862489,0.001191908
"X648_Group3A_50dpi_LV_bottom_273_B_B11_P133.mzXML",648,"Group3A","infected",50,"LV_bottom","B11","P133",0.036607387,0.023209951,0.0001036,0.005745256,0.000247252
"X649_Group3A_50dpi_LV_bottom_274_B_B12_P133.mzXML",649,"Group3A","infected",50,"LV_bottom","B12","P133",0.076214894,0.063791343,0.000751529,0.002203435,0.000403778
"X650_Group3A_50dpi_LV_bottom_275_B_C1_P133.mzXML",650,"Group3A","infected",50,"LV_bottom","C1","P133",0.034278371,0.018993178,0.000673746,0.002418587,0
"X731_Group3A_50dpi_LV_bottom_276_B_C2_P133.mzXML",731,"Group3A","infected",50,"LV_bottom","C2","P133",0.065863141,0.05329467,0.002010932,0.001968385,0.000855117
"X732_Group3A_50dpi_LV_bottom_277_B_C3_P133.mzXML",732,"Group3A","infected",50,"LV_bottom","C3","P133",0.059894983,0.040854385,0.00158621,0.013510864,0.005584308
"X733_Group3A_50dpi_LV_bottom_278_B_C4_P133.mzXML",733,"Group3A","infected",50,"LV_bottom","C4","P133",0.014735546,0.008038848,0,0.001906223,0.000152183
"X734_Group3A_50dpi_LV_bottom_279_B_C5_P133.mzXML",734,"Group3A","infected",50,"LV_bottom","C5","P133",0.095947651,0.085901574,0.002612736,0.009833662,0.003403786
"X735_Group3A_50dpi_LV_bottom_280_B_C6_P133.mzXML",735,"Group3A","infected",50,"LV_bottom","C6","P133",0.003152157,0.002154601,0,0.000411491,4.08e-05
"X566_Group3B_70dpi_LV_bottom_296_B_D10_P133.mzXML",566,"Group3B","infected",75,"LV_bottom","D10","P133",0.137099609,0.0928,0.004061479,0.01160275,0.006998394
"X567_Group3B_70dpi_LV_bottom_297_B_D11_P133.mzXML",567,"Group3B","infected",75,"LV_bottom","D11","P133",0.110046505,0.079,0.00348708,0.003322744,0.002348657
"X568_Group3B_70dpi_LV_bottom_298_B_D12_P133.mzXML",568,"Group3B","infected",75,"LV_bottom","D12","P133",0.055437651,0.03874153,0.000317413,0.004589467,0.000550069
"X569_Group3B_70dpi_LV_bottom_299_B_E1_P133.mzXML",569,"Group3B","infected",75,"LV_bottom","E1","P133",0.039478958,0.026222649,0.000700283,0.000807786,0
