"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML",511,"naive","142dpi","LV_bottom","A1","P132",0.043827893,0.079977727,0.002684053,0.003825973,0.000280747
"X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML",512,"naive","142dpi","LV_bottom","A2","P132",0.039081502,0.0624,0.0029983,0.003632408,0.001471252
"X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML",513,"naive","142dpi","LV_bottom","A3","P132",0.032670718,0.0462,0.001726274,0.004220656,0.002569278
"X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML",514,"naive","142dpi","LV_bottom","A4","P132",0.041721884,0.0552,0.001976908,0.003830678,0.000883582
"X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML",515,"naive","142dpi","LV_bottom","A5","P132",0.035059784,0.058580274,0.002110626,0.002231458,0.001315984
"X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML",531,"naive","142dpi","LV_bottom","A6","P132",0.032718284,0.0397,0.001690467,0.0061366,0.002555819
"X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML",532,"naive","142dpi","LV_bottom","A7","P132",0.040565622,0.060124642,0.002358184,0.001932979,0.000835822
"X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML",533,"naive","142dpi","LV_bottom","A8","P132",0.043631152,0.0676,0.002264667,0.00516417,0.002720221
"X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML",534,"naive","142dpi","LV_bottom","A9","P132",0.034743853,0.048406811,0.001895897,0.004145536,0.001396689
"X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML",535,"naive","142dpi","LV_bottom","A10","P132",0.026018701,0.037574571,0.001181785,0.001423776,0.003364134
"X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML",551,"naive","142dpi","LV_bottom","A11","P132",0.042672818,0.068186079,0.002223042,0.005356417,0.002493371
"X552_Group1C_142dpi_LV_bottom_172_G_A12_P132.mzXML",552,"naive","142dpi","LV_bottom","A12","P132",0.043751498,0.062526376,0.002564734,0.006578542,0.003792509
"X553_Group1C_142dpi_LV_bottom_173_G_B1_P132.mzXML",553,"naive","142dpi","LV_bottom","B1","P132",0.066618811,0.0812,0.002472581,0.005629735,0.00608705
"X554_Group1C_142dpi_LV_bottom_174_G_B2_P132.mzXML",554,"naive","142dpi","LV_bottom","B2","P132",0.027038803,0.042737922,0.000995773,0.00845084,0.003082775
"X555_Group1C_142dpi_LV_bottom_175_G_B3_P132.mzXML",555,"naive","142dpi","LV_bottom","B3","P132",0.038491038,0.0533,0.00205679,0.009062418,0.011609149
"X581_Group3E_142dpi_LV_bottom_176_G_B4_P132.mzXML",581,"infected","142dpi","LV_bottom","B4","P132",0.064923867,0.0499,0.002081265,0.00648,0.003550676
"X582_Group3E_142dpi_LV_bottom_177_G_B5_P132.mzXML",582,"infected","142dpi","LV_bottom","B5","P132",0.036956516,0.062339795,0.001795235,0.01118153,0.011186446
"X583_Group3E_142dpi_LV_bottom_178_G_B6_P132.mzXML",583,"infected","142dpi","LV_bottom","B6","P132",0.036069434,0.0515,0.001668329,0.011848941,0.005145605
"X584_Group3E_142dpi_LV_bottom_179_G_B7_P132.mzXML",584,"infected","142dpi","LV_bottom","B7","P132",0.030799094,0.045671337,0.001573917,0.003792443,0.003028223
"X585_Group3E_142dpi_LV_bottom_180_G_B8_P132.mzXML",585,"infected","142dpi","LV_bottom","B8","P132",0.03190038,0.052078453,0.001750879,0.005605542,0.00433139
