"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML",501,"Group1A","naive",50,"LV_top","A1","P129",0.085203762,0.114249346,0.003061546,0.012707655,0.00390909
"X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML",502,"Group1A","naive",50,"LV_top","A2","P129",0.096287286,0.107408683,0.001904863,0.00986,0.009529682
"X503_Group1A_50dpi_LV_top_253_B_A3_P129.mzXML",503,"Group1A","naive",50,"LV_top","A3","P129",0.090024637,0.124002904,0.002197743,0.008374795,0.009014913
"X504_Group1A_50dpi_LV_top_254_B_A4_P129.mzXML",504,"Group1A","naive",50,"LV_top","A4","P129",0.079562389,0.111695154,0.002840599,0.009764016,0.003003261
"X505_Group1A_50dpi_LV_top_255_B_A5_P129.mzXML",505,"Group1A","naive",50,"LV_top","A5","P129",0.078224877,0.106459796,0.002835057,0.014087989,0.006528662
"X521_Group1A_50dpi_LV_top_256_B_A6_P129.mzXML",521,"Group1A","naive",50,"LV_top","A6","P129",0.080379538,0.107,0.002012212,0.011846743,0.010792394
"X522_Group1A_50dpi_LV_top_257_B_A7_P129.mzXML",522,"Group1A","naive",50,"LV_top","A7","P129",0.070524721,0.118722299,0.003536759,0.020122926,0.007699623
"X523_Group1A_50dpi_LV_top_258_B_A8_P129.mzXML",523,"Group1A","naive",50,"LV_top","A8","P129",0.079180533,0.114973135,0.003266375,0.004692664,0.003310726
"X524_Group1A_50dpi_LV_top_259_B_A9_P129.mzXML",524,"Group1A","naive",50,"LV_top","A9","P129",0.067953415,0.120228289,0.002828719,0.002079376,0.001394597
"X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML",525,"Group1A","naive",50,"LV_top","A10","P129",0.049753357,0.0737,0.001755914,0.00911654,0.005086839
"X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML",541,"Group1A","naive",50,"LV_top","A11","P129",0.032602495,0.044009085,0.000530814,0.000753235,0.000375867
"X542_Group1A_50dpi_LV_top_262_B_A12_P129.mzXML",542,"Group1A","naive",50,"LV_top","A12","P129",0.044912958,0.056881495,0.002629234,0.019735324,0.01913451
"X543_Group1A_50dpi_LV_top_263_B_B1_P129.mzXML",543,"Group1A","naive",50,"LV_top","B1","P129",0.09456409,0.128166435,0.003153289,0.016489076,0.004805959
"X544_Group1A_50dpi_LV_top_264_B_B2_P129.mzXML",544,"Group1A","naive",50,"LV_top","B2","P129",0.085265435,0.123611237,0.003068487,0.020084959,0.009414068
"X545_Group1A_50dpi_LV_top_265_B_B3_P129.mzXML",545,"Group1A","naive",50,"LV_top","B3","P129",0.085801671,0.14173103,0.003739091,0.01009611,0.006387373
"X506_Group1B_70dpi_LV_top_281_B_C7_P129.mzXML",506,"Group1B","naive",75,"LV_top","C7","P129",0.061957279,0.088220809,0.003303184,0.016052386,0.009774094
"X507_Group1B_70dpi_LV_top_282_B_C8_P129.mzXML",507,"Group1B","naive",75,"LV_top","C8","P129",0.062016253,0.064192928,0.001732098,0.010686263,0.005741669
"X508_Group1B_70dpi_LV_top_283_B_C9_P129.mzXML",508,"Group1B","naive",75,"LV_top","C9","P129",0.040542057,0.042370788,0.002343598,0.011328216,0.01418415
"X509_Group1B_70dpi_LV_top_284_B_C10_P129.mzXML",509,"Group1B","naive",75,"LV_top","C10","P129",0.059426311,0.0648,0.002205949,0.016815087,0.012132695
