"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML",511,"naive","142dpi","LV_top","A1","P128",0.065565436,0.095731657,0.002550993,0.005125326,0.004634527
"X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML",512,"naive","142dpi","LV_top","A2","P128",0.060895436,0.085315981,0.001798692,0.002720909,0.002227292
"X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML",513,"naive","142dpi","LV_top","A3","P128",0.063582502,0.150533079,0.004499186,0.0151,0.023117551
"X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML",514,"naive","142dpi","LV_top","A4","P128",0.061260911,0.069982227,0.00132241,0.001122947,0.001015702
"X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML",515,"naive","142dpi","LV_top","A5","P128",0.09292099,0.14679559,0.00346371,0.0156,0.019521396
"X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML",531,"naive","142dpi","LV_top","A6","P128",0.080852449,0.141706975,0.003290438,0.013793976,0.011966565
"X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML",532,"naive","142dpi","LV_top","A7","P128",0.066179641,0.097324863,0.002248258,0.005990147,0.008215334
"X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML",533,"naive","142dpi","LV_top","A8","P128",0.073257317,0.118915595,0.001863646,0.0135,0.012884615
"X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML",534,"naive","142dpi","LV_top","A9","P128",0.04335837,0.06906421,0.001902407,0.016636705,0.006215393
"X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML",535,"naive","142dpi","LV_top","A10","P128",0.040010474,0.06406205,0.000720707,0.003210069,0.00195323
"X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML",551,"naive","142dpi","LV_top","A11","P128",0.063790142,0.0948,0.002165375,0.015541595,0.005689063
"X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML",552,"naive","142dpi","LV_top","A12","P128",0.058188401,0.074741145,0.001378898,0.001601977,0.001682853
"X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML",553,"naive","142dpi","LV_top","B1","P128",0.086396312,0.120106787,0.002203362,0.023472311,0.036662718
"X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML",554,"naive","142dpi","LV_top","B2","P128",0.076529819,0.111819411,0.001244093,0.007312124,0.005641256
"X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML",555,"naive","142dpi","LV_top","B3","P128",0.072814989,0.140993524,0.002302861,0.0198,0.027806219
"X581_Group3E_142dpi_LV_top_176_G_B4_P128.mzXML",581,"infected","142dpi","LV_top","B4","P128",0.05917028,0.144646802,0.002258752,0.019965924,0.024196529
"X582_Group3E_142dpi_LV_top_177_G_B5_P128.mzXML",582,"infected","142dpi","LV_top","B5","P128",0.069891349,0.087157212,0.002073981,0.015894947,0.011310604
"X583_Group3E_142dpi_LV_top_178_G_B6_P128.mzXML",583,"infected","142dpi","LV_top","B6","P128",0.081830524,0.152722319,0.001671131,0.016177212,0.017405851
"X584_Group3E_142dpi_LV_top_179_G_B7_P128.mzXML",584,"infected","142dpi","LV_top","B7","P128",0.04360125,0.042503098,0.001427776,0.006811321,0.005660542
"X585_Group3E_142dpi_LV_top_180_G_B8_P128.mzXML",585,"infected","142dpi","LV_top","B8","P128",0.05866167,0.0904,0.002172306,0.017464916,0.016216802
"X611_Group9_142dpi_LV_top_181_G_B9_P128.mzXML",611,"combo","142dpi","LV_top","B9","P128",0.044350741,0.103574243,0.002740302,0.014637169,0.013619342
"X612_Group9_142dpi_LV_top_182_G_B10_P128.mzXML",612,"combo","142dpi","LV_top","B10","P128",0.050744411,0.053995133,0.00043988,0,0
"X613_Group9_142dpi_LV_top_183_G_B11_P128.mzXML",613,"combo","142dpi","LV_top","B11","P128",0.084020961,0.103220911,0.001080063,0.00795471,0.006277986
"X614_Group9_142dpi_LV_top_184_G_B12_P128.mzXML",614,"combo","142dpi","LV_top","B12","P128",0.064959586,0.0812,0.002153735,0.005573463,0.003175823
"X615_Group9_142dpi_LV_top_185_G_C1_P128.mzXML",615,"combo","142dpi","LV_top","C1","P128",0.109985919,0.109,0.002556324,0.017670957,0.020444511
"X631_Group15_142dpi_LV_top_191_G_C7_P128.mzXML",631,"BNZ","142dpi","LV_top","C7","P128",0.042505548,0.0681,0.001996656,0.005245484,0.002712673
"X632_Group15_142dpi_LV_top_192_G_C8_P128.mzXML",632,"BNZ","142dpi","LV_top","C8","P128",0.063955801,0.0792,0.002032787,0.01145128,0.002012197
"X633_Group15_142dpi_LV_top_193_G_C9_P128.mzXML",633,"BNZ","142dpi","LV_top","C9","P128",0.057827349,0.088,0.00211867,0.013101616,0.009078375
"X634_Group15_142dpi_LV_top_194_G_C10_P128.mzXML",634,"BNZ","142dpi","LV_top","C10","P128",0.064918342,0.08179934,0.001220877,0.002648015,0.00026412
"X635_Group15_142dpi_LV_top_195_G_C11_P128.mzXML",635,"BNZ","142dpi","LV_top","C11","P128",0.04528353,0.064231669,0.000753063,0.021040028,0.009134355
"X666_Group3E_142dpi_LV_top_201_G_D5_P128.mzXML",666,"infected","142dpi","LV_top","D5","P128",0.047128007,0.116659693,0.0025,0.042364017,0.010734698
"X667_Group3E_142dpi_LV_top_202_G_D6_P128.mzXML",667,"infected","142dpi","LV_top","D6","P128",0.070434438,0.119732056,0.001644857,0.021453963,0.01763585
"X668_Group3E_142dpi_LV_top_203_G_D7_P128.mzXML",668,"infected","142dpi","LV_top","D7","P128",0.054133526,0.073448144,0.000833493,0.011407927,0.011522142
"X669_Group3E_142dpi_LV_top_204_G_D8_P128.mzXML",669,"infected","142dpi","LV_top","D8","P128",0.045860479,0.051569453,0.002455266,0.00998,0.016324491
"X670_Group3E_142dpi_LV_top_205_G_D9_P128.mzXML",670,"infected","142dpi","LV_top","D9","P128",0.013718034,0.027418098,0.000596732,0.00326178,6.23e-05
"X696_Group9_142dpi_LV_top_206_G_D10_P128.mzXML",696,"combo","142dpi","LV_top","D10","P128",0.050224763,0.056641078,0.001486479,0.01529516,0.004006798
"X697_Group9_142dpi_LV_top_207_G_D11_P128.mzXML",697,"combo","142dpi","LV_top","D11","P128",0.056901803,0.0453,0.0017379,0.011575258,0.014760988
