"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML",501,"Group1A","naive",50,"RA","A1","P125",0.027834249,0.043995472,0.001158695,0.023595791,0.008372238
"X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML",502,"Group1A","naive",50,"RA","A2","P125",0.033785399,0.043,0.000571394,0.015961516,0.002533112
"X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML",503,"Group1A","naive",50,"RA","A3","P125",0.018263205,0.023991752,0.000426553,0.006921314,0.00598674
"X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML",504,"Group1A","naive",50,"RA","A4","P125",0.023369477,0.024397742,0.000282014,0.001110971,0.000516804
"X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML",505,"Group1A","naive",50,"RA","A5","P125",0.023675373,0.032485306,0.000438144,0.00893129,0.002606911
"X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML",521,"Group1A","naive",50,"RA","A6","P125",0.025348339,0.019771216,0.000199671,0.002390123,0.003758617
"X522_Group1A_50dpi_RA_257_B_A7_P125.mzXML",522,"Group1A","naive",50,"RA","A7","P125",0.020482744,0.0222,0.000518243,0.009083782,0.000240823
"X523_Group1A_50dpi_RA_258_B_A8_P125.mzXML",523,"Group1A","naive",50,"RA","A8","P125",0.020402523,0.017317653,0.000216445,0.011252827,0.001235085
"X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML",524,"Group1A","naive",50,"RA","A9","P125",0.019892077,0.0182,0.000297419,0.000536621,0
"X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML",525,"Group1A","naive",50,"RA","A10","P125",0.024489365,0.021564375,0.000306593,0.01198844,0.000863835
"X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML",541,"Group1A","naive",50,"RA","A11","P125",0.026347469,0.025,0.000452314,0.002832549,0.001919806
"X542_Group1A_50dpi_RA_262_B_A12_P125.mzXML",542,"Group1A","naive",50,"RA","A12","P125",0.019907307,0.0262801,0.000272002,0.005382248,0.005151963
"X543_Group1A_50dpi_RA_263_B_B1_P125.mzXML",543,"Group1A","naive",50,"RA","B1","P125",0.034686589,0.03524825,0.000438219,0.009869285,0.002885975
"X544_Group1A_50dpi_RA_264_B_B2_P125.mzXML",544,"Group1A","naive",50,"RA","B2","P125",0.020560995,0.026743062,0.000461578,0.003574792,0.003057196
"X545_Group1A_50dpi_RA_265_B_B3_P125.mzXML",545,"Group1A","naive",50,"RA","B3","P125",0.013702439,0.015906311,0.0001258,0.006443869,0.00209666
"X506_Group1B_70dpi_RA_281_B_C7_P125.mzXML",506,"Group1B","naive",75,"RA","C7","P125",0.018572901,0.018033679,0.000276647,0.001122779,0
"X507_Group1B_70dpi_RA_282_B_C8_P125.mzXML",507,"Group1B","naive",75,"RA","C8","P125",0.019216229,0.014577766,0.000477393,0.001282485,0.000359235
"X508_Group1B_70dpi_RA_283_B_C9_P125.mzXML",508,"Group1B","naive",75,"RA","C9","P125",0.038395492,0.041980997,0.000413115,0.010923034,0.002420697
"X509_Group1B_70dpi_RA_284_B_C10_P125.mzXML",509,"Group1B","naive",75,"RA","C10","P125",0.015654948,0.02410419,0.000551592,0.0085,5.75e-05
"X510_Group1B_70dpi_RA_285_B_C11_P125.mzXML",510,"Group1B","naive",75,"RA","C11","P125",0.032911908,0.0296,0.000331893,0.007959684,0.000545069
"X526_Group1B_70dpi_RA_286_B_C12_P125.mzXML",526,"Group1B","naive",75,"RA","C12","P125",0.0240457,0.01885878,0.000239692,0.016895539,0.00107132
"X527_Group1B_70dpi_RA_287_B_D1_P125.mzXML",527,"Group1B","naive",75,"RA","D1","P125",0.025906051,0.031158074,0.00034578,0.004233647,0.001838722
"X528_Group1B_70dpi_RA_288_B_D2_P125.mzXML",528,"Group1B","naive",75,"RA","D2","P125",0.034014189,0.043508593,0.000674319,0.00267359,0
"X529_Group1B_70dpi_RA_289_B_D3_P125.mzXML",529,"Group1B","naive",75,"RA","D3","P125",0.03378232,0.0408,0.000768303,0.0212,0.00830353
"X530_Group1B_70dpi_RA_290_B_D4_P125.mzXML",530,"Group1B","naive",75,"RA","D4","P125",0.022174346,0.026334213,0.000437211,0.001490157,0.000210784
"X546_Group1B_70dpi_RA_291_B_D5_P125.mzXML",546,"Group1B","naive",75,"RA","D5","P125",0.014752859,0.014584082,0.000252998,0.008167368,0.003137105
"X547_Group1B_70dpi_RA_292_B_D6_P125.mzXML",547,"Group1B","naive",75,"RA","D6","P125",0.019195425,0.021566234,0.000120495,0.002655056,0.000155253
"X548_Group1B_70dpi_RA_293_B_D7_P125.mzXML",548,"Group1B","naive",75,"RA","D7","P125",0.016443946,0.019015286,0.000164265,0.008476383,0.000213326
"X549_Group1B_70dpi_RA_294_B_D8_P125.mzXML",549,"Group1B","naive",75,"RA","D8","P125",0.017294242,0.029299209,0.000416761,0.00141597,0
"X550_Group1B_70dpi_RA_295_B_D9_P125.mzXML",550,"Group1B","naive",75,"RA","D9","P125",0.022173077,0.026296245,0.0001476,0.002942697,0
"X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML",511,"Group1C","naive",142,"RA","A1","P124",0.019942835,0.02502781,0.000415632,0.005854332,0.003647412
"X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML",512,"Group1C","naive",142,"RA","A2","P124",0.036269927,0.0424,0.000906489,0.01103642,0.003723513
"X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML",513,"Group1C","naive",142,"RA","A3","P124",0.031512615,0.0547,0.001419182,0.025528456,0.020909886
"X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML",514,"Group1C","naive",142,"RA","A4","P124",0.034280176,0.039614432,0.00091083,0.003097366,0.00538055
"X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML",515,"Group1C","naive",142,"RA","A5","P124",0.02349768,0.0273,0.001071729,0.00405903,0.002179902
"X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML",531,"Group1C","naive",142,"RA","A6","P124",0.025858216,0.0334,0.0009383,0.0129,0.007982976
"X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML",532,"Group1C","naive",142,"RA","A7","P124",0.024761672,0.026102286,0.000211087,0.007370659,0.004820024
"X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML",533,"Group1C","naive",142,"RA","A8","P124",0.028949127,0.0345,0.001267203,0.011881974,0.00782687
"X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML",534,"Group1C","naive",142,"RA","A9","P124",0.035838137,0.036084867,0.0001523,0.000468412,0
"X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML",535,"Group1C","naive",142,"RA","A10","P124",0.023746006,0.031788389,0.000581695,0.001106489,0.001231509
"X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML",551,"Group1C","naive",142,"RA","A11","P124",0.027313346,0.0437,0.00105068,0.02652729,0.024057841
"X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML",552,"Group1C","naive",142,"RA","A12","P124",0.031452763,0.0328,0.000927309,0.005411842,0.001951292
"X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML",553,"Group1C","naive",142,"RA","B1","P124",0.024705978,0.02852526,0.000568868,0.004297495,0.003629028
