"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML",501,"Group1A","naive",50,"RV_bottom","A1","P141",0.043428338,0.054974155,0.000742324,0.000115581,0.000597756
"X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML",502,"Group1A","naive",50,"RV_bottom","A2","P141",0.050039889,0.101181452,0.00244645,0.013312979,0.022775175
"X503_Group1A_50dpi_RV_bottom_253_B_A3_P141.mzXML",503,"Group1A","naive",50,"RV_bottom","A3","P141",0.041391143,0.052267972,0.001007878,0.031294605,0.009746465
"X504_Group1A_50dpi_RV_bottom_254_B_A4_P141.mzXML",504,"Group1A","naive",50,"RV_bottom","A4","P141",0.033482737,0.040185277,0.001037871,0.002241342,0.002011229
"X505_Group1A_50dpi_RV_bottom_255_B_A5_P141.mzXML",505,"Group1A","naive",50,"RV_bottom","A5","P141",0.022434586,0.028390918,0.000746064,0.003137893,0.001178689
"X521_Group1A_50dpi_RV_bottom_256_B_A6_P141.mzXML",521,"Group1A","naive",50,"RV_bottom","A6","P141",0.026191745,0.028005882,0.0006811,0.000826693,0.000861809
"X522_Group1A_50dpi_RV_bottom_257_B_A7_P141.mzXML",522,"Group1A","naive",50,"RV_bottom","A7","P141",0.02199058,0.026195343,0.0002404,0,0
"X523_Group1A_50dpi_RV_bottom_258_B_A8_P141.mzXML",523,"Group1A","naive",50,"RV_bottom","A8","P141",0.05806146,0.053984408,0.000737746,0,0
"X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML",524,"Group1A","naive",50,"RV_bottom","A9","P141",0.024534943,0.034107036,0.000675702,0.001672321,0.00068171
"X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML",525,"Group1A","naive",50,"RV_bottom","A10","P141",0.023862815,0.026264609,0.000591586,0.000178518,0
"X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML",541,"Group1A","naive",50,"RV_bottom","A11","P141",0.030235694,0.031301578,0.000219632,0,0
"X542_Group1A_50dpi_RV_bottom_262_B_A12_P141.mzXML",542,"Group1A","naive",50,"RV_bottom","A12","P141",0.039266673,0.050266404,0.000669619,0,0
"X543_Group1A_50dpi_RV_bottom_263_B_B1_P141.mzXML",543,"Group1A","naive",50,"RV_bottom","B1","P141",0.038684232,0.047405715,0.0008103,0.001518462,0.000402203
"X544_Group1A_50dpi_RV_bottom_264_B_B2_P141.mzXML",544,"Group1A","naive",50,"RV_bottom","B2","P141",0.047515356,0.075175866,0.001121079,0.00261782,0.00179485
"X545_Group1A_50dpi_RV_bottom_265_B_B3_P141.mzXML",545,"Group1A","naive",50,"RV_bottom","B3","P141",0.043425998,0.064893429,0.001753933,0.002019543,0.001176931
"X506_Group1B_70dpi_RV_bottom_281_B_C7_P141.mzXML",506,"Group1B","naive",75,"RV_bottom","C7","P141",0.032561912,0.0335,0.000656095,0.000433041,0
