"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML",501,"Group1A","naive",50,"RV_top","A1","P137",0.029713808,0.022202126,7.86e-05,0.002125298,0
"X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML",502,"Group1A","naive",50,"RV_top","A2","P137",0.036674539,0.038578694,0.000675094,0.003480386,0.00349994
"X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML",503,"Group1A","naive",50,"RV_top","A3","P137",0.035403308,0.030019022,0.000535181,0.005257024,0.007673925
"X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML",504,"Group1A","naive",50,"RV_top","A4","P137",0.041352685,0.037121551,0.000900666,0.000650154,0.001575612
"X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML",505,"Group1A","naive",50,"RV_top","A5","P137",0.037115231,0.034288479,0.001060644,0.004597098,0.001621096
"X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML",521,"Group1A","naive",50,"RV_top","A6","P137",0.023270261,0.020962961,0.000790152,0.003665277,0.001131362
"X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML",522,"Group1A","naive",50,"RV_top","A7","P137",0.030882548,0.034838078,0.001101745,0.003613164,0.00350376
"X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML",523,"Group1A","naive",50,"RV_top","A8","P137",0.032163499,0.023409308,0.000278138,0.0001123,0
"X524_Group1A_50dpi_RV_top_259_B_A9_P137.mzXML",524,"Group1A","naive",50,"RV_top","A9","P137",0.02029533,0.021630831,0.000882643,0.004366756,0.002240561
"X525_Group1A_50dpi_RV_top_260_B_A10_P137.mzXML",525,"Group1A","naive",50,"RV_top","A10","P137",0.031827898,0.037204086,0.001159012,0.001496333,0.001099155
"X541_Group1A_50dpi_RV_top_261_B_A11_P137.mzXML",541,"Group1A","naive",50,"RV_top","A11","P137",0.020654435,0.026770672,0.000488472,0.003961695,0.002845926
"X542_Group1A_50dpi_RV_top_262_B_A12_P137.mzXML",542,"Group1A","naive",50,"RV_top","A12","P137",0.031143877,0.041293155,0.001120804,0.002179837,0.003899886
"X543_Group1A_50dpi_RV_top_263_B_B1_P137.mzXML",543,"Group1A","naive",50,"RV_top","B1","P137",0.033606666,0.03345831,0.001021527,0.006094709,0.003508638
"X544_Group1A_50dpi_RV_top_264_B_B2_P137.mzXML",544,"Group1A","naive",50,"RV_top","B2","P137",0.037678765,0.048802637,0.001031437,0.006376895,0.006451313
"X545_Group1A_50dpi_RV_top_265_B_B3_P137.mzXML",545,"Group1A","naive",50,"RV_top","B3","P137",0.034234909,0.044294278,0.000813447,0.002066234,0.001486454
"X506_Group1B_70dpi_RV_top_281_B_C7_P137.mzXML",506,"Group1B","naive",75,"RV_top","C7","P137",0.028290355,0.026314654,0.000521709,0.001231503,0.001111573
"X507_Group1B_70dpi_RV_top_282_B_C8_P137.mzXML",507,"Group1B","naive",75,"RV_top","C8","P137",0.016509086,0.013712936,0.000176998,0.000702323,0.000291528
"X508_Group1B_70dpi_RV_top_283_B_C9_P137.mzXML",508,"Group1B","naive",75,"RV_top","C9","P137",0.027869443,0.025241117,0.000669473,0.002659125,0.002395484
"X509_Group1B_70dpi_RV_top_284_B_C10_P137.mzXML",509,"Group1B","naive",75,"RV_top","C10","P137",0.025978415,0.019656841,0.000259646,0.000277268,0.000307272
"X510_Group1B_70dpi_RV_top_285_B_C11_P137.mzXML",510,"Group1B","naive",75,"RV_top","C11","P137",0.021834686,0.021076159,0.000487923,0.002627399,0.000999993
"X526_Group1B_70dpi_RV_top_286_B_C12_P137.mzXML",526,"Group1B","naive",75,"RV_top","C12","P137",0.023086792,0.017685343,0,0,0
"X527_Group1B_70dpi_RV_top_287_B_D1_P137.mzXML",527,"Group1B","naive",75,"RV_top","D1","P137",0.025323262,0.019407102,0.000170324,0.000908431,0.001415452
"X528_Group1B_70dpi_RV_top_288_B_D2_P137.mzXML",528,"Group1B","naive",75,"RV_top","D2","P137",0.027016748,0.025229646,0.000670253,0.00466367,0.001108364
"X529_Group1B_70dpi_RV_top_289_B_D3_P137.mzXML",529,"Group1B","naive",75,"RV_top","D3","P137",0.028459104,0.024932229,0.000713878,0.002469131,0.002234198
"X530_Group1B_70dpi_RV_top_290_B_D4_P137.mzXML",530,"Group1B","naive",75,"RV_top","D4","P137",0.023438647,0.020411546,0.000472105,0.001969746,0.00154119
"X546_Group1B_70dpi_RV_top_291_B_D5_P137.mzXML",546,"Group1B","naive",75,"RV_top","D5","P137",0.026074311,0.015906301,5.66e-05,0,0
"X547_Group1B_70dpi_RV_top_292_B_D6_P137.mzXML",547,"Group1B","naive",75,"RV_top","D6","P137",0.026771336,0.021909598,0.000142043,0.000727161,0.000624602
"X548_Group1B_70dpi_RV_top_293_B_D7_P137.mzXML",548,"Group1B","naive",75,"RV_top","D7","P137",0.021924793,0.020091425,0.000203263,0.00013705,0.000354992
"X549_Group1B_70dpi_RV_top_294_B_D8_P137.mzXML",549,"Group1B","naive",75,"RV_top","D8","P137",0.018031496,0.010160374,0,0.004428732,0.003446633
"X550_Group1B_70dpi_RV_top_295_B_D9_P137.mzXML",550,"Group1B","naive",75,"RV_top","D9","P137",0.020049938,0.021787965,0.000394119,0.000265588,0.000108865
"X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML",511,"Group1C","naive",142,"RV_top","A1","P136",0.032091931,0.026205891,0.000100362,0,0
"X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML",512,"Group1C","naive",142,"RV_top","A2","P136",0.025402882,0.030534463,0.000454363,0.001898197,0.000330184
"X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML",513,"Group1C","naive",142,"RV_top","A3","P136",0.033665283,0.032277149,0.000964191,0.000102656,0.000358707
"X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML",514,"Group1C","naive",142,"RV_top","A4","P136",0.019596124,0.020882444,0.000388447,0.002484004,9.63e-05
"X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML",515,"Group1C","naive",142,"RV_top","A5","P136",0.05050674,0.045026912,0.000908792,0.000529243,0.000356704
"X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML",531,"Group1C","naive",142,"RV_top","A6","P136",0.014178742,0.009011964,5.19e-05,0.003505334,0.001524456
"X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML",532,"Group1C","naive",142,"RV_top","A7","P136",0.013255028,0.009220371,6.2e-05,0,0
"X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML",533,"Group1C","naive",142,"RV_top","A8","P136",0.013438296,0.007907952,0,0,0
"X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML",534,"Group1C","naive",142,"RV_top","A9","P136",0.025635682,0.025257531,0.000339953,0.000102069,0.000371276
