filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,DPI_50,LA,A1,P121,0.018162692
X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML,501,Group1A,naive,DPI_50,LV_bottom,A1,P133,0.006756158
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,naive,DPI_50,LV_top,A1,P129,0.033268414
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,DPI_50,RA,A1,P125,0.012226981
X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML,501,Group1A,naive,DPI_50,RV_bottom,A1,P141,0.008164742
X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,501,Group1A,naive,DPI_50,RV_top,A1,P137,0.004569483
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,DPI_50,LA,A2,P121,0.021259688
X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML,502,Group1A,naive,DPI_50,LV_bottom,A2,P133,0.011562207
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,naive,DPI_50,LV_top,A2,P129,0.035760252
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,DPI_50,RA,A2,P125,0.018808595
X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML,502,Group1A,naive,DPI_50,RV_bottom,A2,P141,0.025169845
X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,502,Group1A,naive,DPI_50,RV_top,A2,P137,0.006583985
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,503,Group1A,naive,DPI_50,LA,A3,P121,0.023705888
X503_Group1A_50dpi_LV_bottom_253_B_A3_P133.mzXML,503,Group1A,naive,DPI_50,LV_bottom,A3,P133,0.015022951
X503_Group1A_50dpi_LV_top_253_B_A3_P129.mzXML,503,Group1A,naive,DPI_50,LV_top,A3,P129,0.037715945
X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,503,Group1A,naive,DPI_50,RA,A3,P125,0.00629066
X503_Group1A_50dpi_RV_bottom_253_B_A3_P141.mzXML,503,Group1A,naive,DPI_50,RV_bottom,A3,P141,0.011677019
X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,503,Group1A,naive,DPI_50,RV_top,A3,P137,0.006924048
