"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML",501,"Group1A","naive","50dpi","LA","A1","P121",0.004329022,0.00762,4.54e-05,0.006026924,0.000145139
"X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML",502,"Group1A","naive","50dpi","LA","A2","P121",0.004129671,0.007778374,0.000312508,0.00817756,0.000861575
"X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML",503,"Group1A","naive","50dpi","LA","A3","P121",0.00285748,0.00948,0.000177773,0.010588891,0.000596837
"X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML",504,"Group1A","naive","50dpi","LA","A4","P121",0.001465009,0.0053,0.000251431,0.014642428,0.000700246
"X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML",505,"Group1A","naive","50dpi","LA","A5","P121",0.003791592,0.00962,0.000487519,0.00199334,0.00012569
"X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML",521,"Group1A","naive","50dpi","LA","A6","P121",0.003461733,0.00741,0.000142605,0.009728104,0.000715742
"X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML",522,"Group1A","naive","50dpi","LA","A7","P121",0.003618919,0.0112,0.000743803,0.010716392,0.001188843
"X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML",523,"Group1A","naive","50dpi","LA","A8","P121",0.004594042,0.00832,0.000110096,0.003805104,0.000195336
"X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML",524,"Group1A","naive","50dpi","LA","A9","P121",0.004685268,0.00649,0.000143358,0.005520808,0.00064671
"X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML",525,"Group1A","naive","50dpi","LA","A10","P121",0.001275047,0.003621433,0.00047692,0.003478863,0.00011682
"X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML",541,"Group1A","naive","50dpi","LA","A11","P121",0.00483999,0.00962,0.000288811,0.01933044,0.000569166
"X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML",542,"Group1A","naive","50dpi","LA","A12","P121",0.002387957,0.00886,0.000326,0.018623259,0.001165702
"X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML",543,"Group1A","naive","50dpi","LA","B1","P121",0.003694409,0.00425,0,0.002693717,0
"X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML",544,"Group1A","naive","50dpi","LA","B2","P121",0.002719902,0.00667,0.000248276,0.003410837,0.000138571
"X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML",545,"Group1A","naive","50dpi","LA","B3","P121",0.001841719,0.00557,0.000166491,0.007833157,0.000583695
"X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML",506,"Group1B","naive","70dpi","LA","C7","P121",0.00218933,0.012088528,0,0.017248829,0.000289101
"X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML",507,"Group1B","naive","70dpi","LA","C8","P121",0.002309082,0.00717016,0.000198742,0.002241806,0.000370428
"X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML",508,"Group1B","naive","70dpi","LA","C9","P121",0.002559756,0.00488,0,0.00013745,0
"X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML",509,"Group1B","naive","70dpi","LA","C10","P121",0.005345325,0.0104,0.000228916,0.024739055,0.001641423
"X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML",510,"Group1B","naive","70dpi","LA","C11","P121",0.002532088,0.004776248,0.00014099,0.002565503,0
"X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML",526,"Group1B","naive","70dpi","LA","C12","P121",0.003978928,0.0107,8.38e-05,0.002037804,0.000161675
"X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML",527,"Group1B","naive","70dpi","LA","D1","P121",0.002197484,0.009382154,0,0.017624308,0.000470245
"X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML",528,"Group1B","naive","70dpi","LA","D2","P121",0.004784239,0.00952,0.000233869,0.011466378,0.001119887
"X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML",529,"Group1B","naive","70dpi","LA","D3","P121",0.002327503,0.008079056,0.000269615,0.017514708,0.00011258
"X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML",530,"Group1B","naive","70dpi","LA","D4","P121",0.003596053,0.0076,0.000245014,0.004886481,0.000182184
"X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML",546,"Group1B","naive","70dpi","LA","D5","P121",0.000447366,0.001296671,3.08e-05,4.35e-05,0
"X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML",547,"Group1B","naive","70dpi","LA","D6","P121",0.002718565,0.009182224,0.00017889,0.009290751,0.000289945
"X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML",548,"Group1B","naive","70dpi","LA","D7","P121",0,0,0,0,0
"X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML",549,"Group1B","naive","70dpi","LA","D8","P121",0.002620708,0.00835,0.0001767,0.0053473,0.000151167
"X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML",550,"Group1B","naive","70dpi","LA","D9","P121",0.00198017,0.00743,0.000196737,0.010592467,0.000509434
"X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML",511,"Group1C","naive","142dpi","LA","A1","P120",0.002077955,0.002490702,0,0.000232453,0.000149389
"X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML",512,"Group1C","naive","142dpi","LA","A2","P120",0.001422483,0.001827962,2.59e-05,0.000955615,0
"X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML",513,"Group1C","naive","142dpi","LA","A3","P120",0.000422008,0.001031656,4.61e-05,0,0
"X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML",514,"Group1C","naive","142dpi","LA","A4","P120",0.00186151,0.002679198,1.95e-05,0.001053337,8.18e-05
"X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML",515,"Group1C","naive","142dpi","LA","A5","P120",0.001966674,0.002742174,2e-05,0.000639894,0.00015191
"X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML",531,"Group1C","naive","142dpi","LA","A6","P120",0.001182584,0.001621899,3.75e-05,0,0
