"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML",501,"Group1A","naive","50dpi","LV_bottom","A1","P133",0.002972957,0.003479303,0.000269898,3.4e-05,0
"X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML",502,"Group1A","naive","50dpi","LV_bottom","A2","P133",0.003200256,0.005721087,0.000964777,0.00145,0.000223708
"X503_Group1A_50dpi_LV_bottom_253_B_A3_P133.mzXML",503,"Group1A","naive","50dpi","LV_bottom","A3","P133",0.004692557,0.007977204,0.001291204,0.00082452,0.000237466
"X504_Group1A_50dpi_LV_bottom_254_B_A4_P133.mzXML",504,"Group1A","naive","50dpi","LV_bottom","A4","P133",0.00483665,0.008975679,0.00170557,0.000280497,0
"X505_Group1A_50dpi_LV_bottom_255_B_A5_P133.mzXML",505,"Group1A","naive","50dpi","LV_bottom","A5","P133",0.004188893,0.00815,0.001685713,0.000852005,0.000105163
"X521_Group1A_50dpi_LV_bottom_256_B_A6_P133.mzXML",521,"Group1A","naive","50dpi","LV_bottom","A6","P133",0.003719791,0.007589209,0.000961049,0.00190815,7.34e-05
"X522_Group1A_50dpi_LV_bottom_257_B_A7_P133.mzXML",522,"Group1A","naive","50dpi","LV_bottom","A7","P133",0.001663586,0.001777322,0.000278356,0,0
"X523_Group1A_50dpi_LV_bottom_258_B_A8_P133.mzXML",523,"Group1A","naive","50dpi","LV_bottom","A8","P133",0.004876752,0.0108,0.001381099,0,0
"X524_Group1A_50dpi_LV_bottom_259_B_A9_P133.mzXML",524,"Group1A","naive","50dpi","LV_bottom","A9","P133",0.004889792,0.00886,0.0017672,0.00020269,0
"X525_Group1A_50dpi_LV_bottom_260_B_A10_P133.mzXML",525,"Group1A","naive","50dpi","LV_bottom","A10","P133",0.003818614,0.0104365,0.001503024,1.98e-05,0
"X541_Group1A_50dpi_LV_bottom_261_B_A11_P133.mzXML",541,"Group1A","naive","50dpi","LV_bottom","A11","P133",0.003578753,0.00874,0.001402083,0.001569999,0.000114416
"X542_Group1A_50dpi_LV_bottom_262_B_A12_P133.mzXML",542,"Group1A","naive","50dpi","LV_bottom","A12","P133",0.00311818,0.00691,0.001248193,0.000985,3.3e-05
"X543_Group1A_50dpi_LV_bottom_263_B_B1_P133.mzXML",543,"Group1A","naive","50dpi","LV_bottom","B1","P133",0.000693577,0.00158723,0,0,0
"X544_Group1A_50dpi_LV_bottom_264_B_B2_P133.mzXML",544,"Group1A","naive","50dpi","LV_bottom","B2","P133",0.003819171,0.008114243,0.000848604,0.002695171,0.000613868
"X545_Group1A_50dpi_LV_bottom_265_B_B3_P133.mzXML",545,"Group1A","naive","50dpi","LV_bottom","B3","P133",0.003885949,0.00929,0.001001077,0.001520436,6.27e-05
"X506_Group1B_70dpi_LV_bottom_281_B_C7_P133.mzXML",506,"Group1B","naive","70dpi","LV_bottom","C7","P133",0.00285744,0.005542089,0.001103868,0.000129,7.07e-05
"X507_Group1B_70dpi_LV_bottom_282_B_C8_P133.mzXML",507,"Group1B","naive","70dpi","LV_bottom","C8","P133",0.002611225,0.004964885,0.000804096,4.11e-05,7.1e-05
"X508_Group1B_70dpi_LV_bottom_283_B_C9_P133.mzXML",508,"Group1B","naive","70dpi","LV_bottom","C9","P133",0.002884715,0.007126133,0.000767636,0.000542855,3.01e-05
"X509_Group1B_70dpi_LV_bottom_284_B_C10_P133.mzXML",509,"Group1B","naive","70dpi","LV_bottom","C10","P133",0.000599622,0.001404994,3.32e-05,0,0
"X510_Group1B_70dpi_LV_bottom_285_B_C11_P133.mzXML",510,"Group1B","naive","70dpi","LV_bottom","C11","P133",0.001651799,0.00258,0.000220791,0,0
"X526_Group1B_70dpi_LV_bottom_286_B_C12_P133.mzXML",526,"Group1B","naive","70dpi","LV_bottom","C12","P133",0.002699706,0.00558,0.000893692,0,0
"X527_Group1B_70dpi_LV_bottom_287_B_D1_P133.mzXML",527,"Group1B","naive","70dpi","LV_bottom","D1","P133",0.003766041,0.00849,0.001177203,0.002157338,9.94e-05
"X528_Group1B_70dpi_LV_bottom_288_B_D2_P133.mzXML",528,"Group1B","naive","70dpi","LV_bottom","D2","P133",0.002045369,0.00519,0.000570573,0.000745758,0
"X529_Group1B_70dpi_LV_bottom_289_B_D3_P133.mzXML",529,"Group1B","naive","70dpi","LV_bottom","D3","P133",0.003721936,0.005394035,0.001074683,0.000752724,6.27e-05
"X530_Group1B_70dpi_LV_bottom_290_B_D4_P133.mzXML",530,"Group1B","naive","70dpi","LV_bottom","D4","P133",0.003287179,0.00667,0.001041183,0.00190914,0.000189859
"X546_Group1B_70dpi_LV_bottom_291_B_D5_P133.mzXML",546,"Group1B","naive","70dpi","LV_bottom","D5","P133",0.003066975,0.007550087,0.001139261,0.000518449,0.000117255
"X547_Group1B_70dpi_LV_bottom_292_B_D6_P133.mzXML",547,"Group1B","naive","70dpi","LV_bottom","D6","P133",0.001058221,0.001243564,3.44e-05,0,0
"X548_Group1B_70dpi_LV_bottom_293_B_D7_P133.mzXML",548,"Group1B","naive","70dpi","LV_bottom","D7","P133",0.002636929,0.00661,0.000752178,0,0
"X549_Group1B_70dpi_LV_bottom_294_B_D8_P133.mzXML",549,"Group1B","naive","70dpi","LV_bottom","D8","P133",0.003276426,0.005845202,0.001311235,2.32e-05,0
"X550_Group1B_70dpi_LV_bottom_295_B_D9_P133.mzXML",550,"Group1B","naive","70dpi","LV_bottom","D9","P133",0.003042673,0.006627435,0.001035547,4e-05,0
"X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML",511,"Group1C","naive","142dpi","LV_bottom","A1","P132",0.002386624,0.006808896,0.000837413,0.000237425,0
"X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML",512,"Group1C","naive","142dpi","LV_bottom","A2","P132",0.001949328,0.00501,0.000781512,0.000308839,0.00011588
"X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML",513,"Group1C","naive","142dpi","LV_bottom","A3","P132",0.001434203,0.00469,0.000345234,0.000658709,0
"X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML",514,"Group1C","naive","142dpi","LV_bottom","A4","P132",0.001641283,0.00334,0.000589426,8.34e-05,0
"X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML",515,"Group1C","naive","142dpi","LV_bottom","A5","P132",0.001665581,0.005882812,0.000535521,0,0
"X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML",531,"Group1C","naive","142dpi","LV_bottom","A6","P132",0.001219054,0.00326,0.000628733,0.000790339,6.56e-05
"X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML",532,"Group1C","naive","142dpi","LV_bottom","A7","P132",0.001795573,0.004772157,0.000495074,0,0
"X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML",533,"Group1C","naive","142dpi","LV_bottom","A8","P132",0.002234918,0.00542,0.000413138,0.000325774,6.37e-05
"X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML",534,"Group1C","naive","142dpi","LV_bottom","A9","P132",0.001583809,0.004293131,0.000414748,0.000274422,3.3e-05
"X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML",535,"Group1C","naive","142dpi","LV_bottom","A10","P132",0.000870789,0.004582205,0.000116844,0.000674013,0
"X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML",551,"Group1C","naive","142dpi","LV_bottom","A11","P132",0.002084659,0.005846914,0.000529472,0.000333558,0
