"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML",511,"naive","142dpi","LV_bottom","A1","P132",0.002386624,0.006808896,0.000837413,0.000237425,0
"X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML",512,"naive","142dpi","LV_bottom","A2","P132",0.001949328,0.00501,0.000781512,0.000308839,0.00011588
"X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML",513,"naive","142dpi","LV_bottom","A3","P132",0.001434203,0.00469,0.000345234,0.000658709,0
"X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML",514,"naive","142dpi","LV_bottom","A4","P132",0.001641283,0.00334,0.000589426,8.34e-05,0
"X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML",515,"naive","142dpi","LV_bottom","A5","P132",0.001665581,0.005882812,0.000535521,0,0
"X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML",531,"naive","142dpi","LV_bottom","A6","P132",0.001219054,0.00326,0.000628733,0.000790339,6.56e-05
"X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML",532,"naive","142dpi","LV_bottom","A7","P132",0.001795573,0.004772157,0.000495074,0,0
"X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML",533,"naive","142dpi","LV_bottom","A8","P132",0.002234918,0.00542,0.000413138,0.000325774,6.37e-05
"X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML",534,"naive","142dpi","LV_bottom","A9","P132",0.001583809,0.004293131,0.000414748,0.000274422,3.3e-05
"X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML",535,"naive","142dpi","LV_bottom","A10","P132",0.000870789,0.004582205,0.000116844,0.000674013,0
"X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML",551,"naive","142dpi","LV_bottom","A11","P132",0.002084659,0.005846914,0.000529472,0.000333558,0
"X552_Group1C_142dpi_LV_bottom_172_G_A12_P132.mzXML",552,"naive","142dpi","LV_bottom","A12","P132",0.00207546,0.005936022,0.000346977,0.000996804,0.000134158
"X553_Group1C_142dpi_LV_bottom_173_G_B1_P132.mzXML",553,"naive","142dpi","LV_bottom","B1","P132",0.002481509,0.00647,0.000684149,0.000505311,9.19e-05
"X554_Group1C_142dpi_LV_bottom_174_G_B2_P132.mzXML",554,"naive","142dpi","LV_bottom","B2","P132",0.001082505,0.003909082,0.000187725,0.000388151,0
"X555_Group1C_142dpi_LV_bottom_175_G_B3_P132.mzXML",555,"naive","142dpi","LV_bottom","B3","P132",0.001589865,0.00542,0.000610133,0.002240806,0.000166443
"X581_Group3E_142dpi_LV_bottom_176_G_B4_P132.mzXML",581,"infected","142dpi","LV_bottom","B4","P132",0.002222101,0.00449,0.000513737,7.95e-05,0.000163421
"X582_Group3E_142dpi_LV_bottom_177_G_B5_P132.mzXML",582,"infected","142dpi","LV_bottom","B5","P132",0.001739643,0.007251383,0.000362827,0.002699924,0.000707577
"X583_Group3E_142dpi_LV_bottom_178_G_B6_P132.mzXML",583,"infected","142dpi","LV_bottom","B6","P132",0.001386222,0.00466,0.000276625,0.002056273,0.000102736
"X584_Group3E_142dpi_LV_bottom_179_G_B7_P132.mzXML",584,"infected","142dpi","LV_bottom","B7","P132",0.00122159,0.003891675,0.000361526,0.000202556,0.000116045
