"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML",501,"Group1A","naive","50dpi","LV_top","A1","P129",0.010533542,0.020465031,0.00072133,0.001451111,9.74e-05
"X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML",502,"Group1A","naive","50dpi","LV_top","A2","P129",0.010213984,0.020920025,0.000570535,0.00406,0
"X503_Group1A_50dpi_LV_top_253_B_A3_P129.mzXML",503,"Group1A","naive","50dpi","LV_top","A3","P129",0.012011057,0.020755847,0.000657954,0.004291087,0
"X504_Group1A_50dpi_LV_top_254_B_A4_P129.mzXML",504,"Group1A","naive","50dpi","LV_top","A4","P129",0.010019269,0.020915855,0.001080712,0.001449577,0
"X505_Group1A_50dpi_LV_top_255_B_A5_P129.mzXML",505,"Group1A","naive","50dpi","LV_top","A5","P129",0.010264075,0.019777644,0.00105537,0.001997117,0.000129107
"X521_Group1A_50dpi_LV_top_256_B_A6_P129.mzXML",521,"Group1A","naive","50dpi","LV_top","A6","P129",0.010619971,0.022,0.000305079,0.0019697,0
"X522_Group1A_50dpi_LV_top_257_B_A7_P129.mzXML",522,"Group1A","naive","50dpi","LV_top","A7","P129",0.008922815,0.020976748,0.000666238,0.002645488,0.000368525
"X523_Group1A_50dpi_LV_top_258_B_A8_P129.mzXML",523,"Group1A","naive","50dpi","LV_top","A8","P129",0.009318406,0.026323195,0.001103235,0.000238157,0
"X524_Group1A_50dpi_LV_top_259_B_A9_P129.mzXML",524,"Group1A","naive","50dpi","LV_top","A9","P129",0.008579264,0.022121349,0.000952653,4.59e-05,0
"X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML",525,"Group1A","naive","50dpi","LV_top","A10","P129",0.004493871,0.0166,0.000576179,0.002515044,3.16e-05
"X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML",541,"Group1A","naive","50dpi","LV_top","A11","P129",0.002529754,0.010782801,0.000157701,0.000671396,0
"X542_Group1A_50dpi_LV_top_262_B_A12_P129.mzXML",542,"Group1A","naive","50dpi","LV_top","A12","P129",0.005268878,0.022836134,0.000368775,0.007209004,0.000464895
"X543_Group1A_50dpi_LV_top_263_B_B1_P129.mzXML",543,"Group1A","naive","50dpi","LV_top","B1","P129",0.013615598,0.022760576,0.001188651,0.002338731,0.000311513
"X544_Group1A_50dpi_LV_top_264_B_B2_P129.mzXML",544,"Group1A","naive","50dpi","LV_top","B2","P129",0.012576439,0.024426981,0.000971986,0.003621057,0.001293916
"X545_Group1A_50dpi_LV_top_265_B_B3_P129.mzXML",545,"Group1A","naive","50dpi","LV_top","B3","P129",0.012631976,0.026882084,0.001294834,0.002148459,0.000323767
"X506_Group1B_70dpi_LV_top_281_B_C7_P129.mzXML",506,"Group1B","naive","70dpi","LV_top","C7","P129",0.007132665,0.017993843,0.001134236,0.00238853,0
"X507_Group1B_70dpi_LV_top_282_B_C8_P129.mzXML",507,"Group1B","naive","70dpi","LV_top","C8","P129",0.009149911,0.011522234,0.000289309,0.00089581,0
"X508_Group1B_70dpi_LV_top_283_B_C9_P129.mzXML",508,"Group1B","naive","70dpi","LV_top","C9","P129",0.001827752,0.004212732,0.000300932,0.003022946,2.28e-05
"X509_Group1B_70dpi_LV_top_284_B_C10_P129.mzXML",509,"Group1B","naive","70dpi","LV_top","C10","P129",0.005239035,0.0147,0.000297503,0.002483543,2.7e-05
"X510_Group1B_70dpi_LV_top_285_B_C11_P129.mzXML",510,"Group1B","naive","70dpi","LV_top","C11","P129",0.006024284,0.016169402,0.000469285,0.004189046,0.000756478
"X526_Group1B_70dpi_LV_top_286_B_C12_P129.mzXML",526,"Group1B","naive","70dpi","LV_top","C12","P129",0.00432376,0.012069876,6.62e-05,0.003164847,3.4e-05
"X527_Group1B_70dpi_LV_top_287_B_D1_P129.mzXML",527,"Group1B","naive","70dpi","LV_top","D1","P129",0.012135411,0.024339766,0.000451254,0.000754361,0.000187175
"X528_Group1B_70dpi_LV_top_288_B_D2_P129.mzXML",528,"Group1B","naive","70dpi","LV_top","D2","P129",0.004977837,0.016680849,0.000151537,0,0
"X529_Group1B_70dpi_LV_top_289_B_D3_P129.mzXML",529,"Group1B","naive","70dpi","LV_top","D3","P129",0.00996115,0.0135,0.000352201,0.005629772,0
"X530_Group1B_70dpi_LV_top_290_B_D4_P129.mzXML",530,"Group1B","naive","70dpi","LV_top","D4","P129",0.011308894,0.02060195,0.000369306,0.009570591,3.02e-05
