"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML",511,"naive","142dpi","LV_top","A1","P128",0.007457554,0.027445968,0.000521874,0.000673111,0
"X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML",512,"naive","142dpi","LV_top","A2","P128",0.008515695,0.027412065,0.000255829,0.000566018,0
"X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML",513,"naive","142dpi","LV_top","A3","P128",0.008847471,0.03699675,0,0.00703,0.000523528
"X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML",514,"naive","142dpi","LV_top","A4","P128",0.006734363,0.018650592,0.000214131,0,0
"X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML",515,"naive","142dpi","LV_top","A5","P128",0.012388772,0.034749768,0.000635973,0.00652,0.000621587
"X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML",531,"naive","142dpi","LV_top","A6","P128",0.012357413,0.031136552,0.000643272,0.007864901,0.000467785
"X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML",532,"naive","142dpi","LV_top","A7","P128",0.009592636,0.022187879,0.000253102,0.001157849,8.47e-05
"X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML",533,"naive","142dpi","LV_top","A8","P128",0.009171067,0.032161322,0.000284424,0.00315,8.14e-05
"X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML",534,"naive","142dpi","LV_top","A9","P128",0.005449869,0.021174059,0.000278587,0.001512774,0
"X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML",535,"naive","142dpi","LV_top","A10","P128",0.005808289,0.018638456,0.00013729,0.000396516,0
"X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML",551,"naive","142dpi","LV_top","A11","P128",0.009907023,0.0217,0.000270569,0.002303199,0.000225835
"X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML",552,"naive","142dpi","LV_top","A12","P128",0.007681753,0.018423849,0.000246572,0.000162443,0
"X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML",553,"naive","142dpi","LV_top","B1","P128",0.005759053,0.024849978,0.000365955,0.012059818,0.001416417
"X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML",554,"naive","142dpi","LV_top","B2","P128",0.009423142,0.03224386,0.000223252,0.000894712,0
"X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML",555,"naive","142dpi","LV_top","B3","P128",0.008509249,0.037236989,0.000303505,0.00789,0.000756203
"X581_Group3E_142dpi_LV_top_176_G_B4_P128.mzXML",581,"infected","142dpi","LV_top","B4","P128",0.00770625,0.030149069,0.000641527,0.010259495,0.00112626
"X582_Group3E_142dpi_LV_top_177_G_B5_P128.mzXML",582,"infected","142dpi","LV_top","B5","P128",0.007974369,0.025127976,0.000396005,0.003305871,0.000477912
"X583_Group3E_142dpi_LV_top_178_G_B6_P128.mzXML",583,"infected","142dpi","LV_top","B6","P128",0.011100987,0.040626484,0.00038736,0.006965201,0
"X584_Group3E_142dpi_LV_top_179_G_B7_P128.mzXML",584,"infected","142dpi","LV_top","B7","P128",0.001920445,0.004590532,0.000160346,0.000716275,0
"X585_Group3E_142dpi_LV_top_180_G_B8_P128.mzXML",585,"infected","142dpi","LV_top","B8","P128",0.005807323,0.0239,0.000553334,0.0053008,0.000258538
"X611_Group9_142dpi_LV_top_181_G_B9_P128.mzXML",611,"combo","142dpi","LV_top","B9","P128",0.00624376,0.030362286,0.000331154,0.00344107,0.000859417
"X612_Group9_142dpi_LV_top_182_G_B10_P128.mzXML",612,"combo","142dpi","LV_top","B10","P128",0.005234528,0.02397661,4.8e-05,0,0
"X613_Group9_142dpi_LV_top_183_G_B11_P128.mzXML",613,"combo","142dpi","LV_top","B11","P128",0.009664593,0.024512572,0.000176687,0.001891457,0.000128239
"X614_Group9_142dpi_LV_top_184_G_B12_P128.mzXML",614,"combo","142dpi","LV_top","B12","P128",0.00648264,0.0211,0.000488605,0.000470912,0
"X615_Group9_142dpi_LV_top_185_G_C1_P128.mzXML",615,"combo","142dpi","LV_top","C1","P128",0.005064922,0.0203,0.00037431,0.006426943,0.000572521
"X631_Group15_142dpi_LV_top_191_G_C7_P128.mzXML",631,"BNZ","142dpi","LV_top","C7","P128",0.004682804,0.0205,0.000196078,0.00055096,0
"X632_Group15_142dpi_LV_top_192_G_C8_P128.mzXML",632,"BNZ","142dpi","LV_top","C8","P128",0.00609429,0.0243,0.000379999,0.000738291,0.000144442
"X633_Group15_142dpi_LV_top_193_G_C9_P128.mzXML",633,"BNZ","142dpi","LV_top","C9","P128",0.008367666,0.0253,0.000183671,0.001882418,0.000118409
"X634_Group15_142dpi_LV_top_194_G_C10_P128.mzXML",634,"BNZ","142dpi","LV_top","C10","P128",0.007930511,0.025540688,0.000324801,0,0
"X635_Group15_142dpi_LV_top_195_G_C11_P128.mzXML",635,"BNZ","142dpi","LV_top","C11","P128",0.006251799,0.020864278,0,0.010541965,0
"X666_Group3E_142dpi_LV_top_201_G_D5_P128.mzXML",666,"infected","142dpi","LV_top","D5","P128",0.007239937,0.029319686,0.000424,0.018118516,0.000945717
"X667_Group3E_142dpi_LV_top_202_G_D6_P128.mzXML",667,"infected","142dpi","LV_top","D6","P128",0.008683059,0.038499006,0.000275666,0.004189625,0.000782938
"X668_Group3E_142dpi_LV_top_203_G_D7_P128.mzXML",668,"infected","142dpi","LV_top","D7","P128",0.00700408,0.027714844,0,0.003139064,0
"X669_Group3E_142dpi_LV_top_204_G_D8_P128.mzXML",669,"infected","142dpi","LV_top","D8","P128",0.002272943,0.005562702,0.000325345,0.0018,5.15e-05
"X670_Group3E_142dpi_LV_top_205_G_D9_P128.mzXML",670,"infected","142dpi","LV_top","D9","P128",0.002018378,0.008356147,4.42e-05,0,0
"X696_Group9_142dpi_LV_top_206_G_D10_P128.mzXML",696,"combo","142dpi","LV_top","D10","P128",0.006367099,0.017681215,0.000231809,0.00194749,0.000146315
"X697_Group9_142dpi_LV_top_207_G_D11_P128.mzXML",697,"combo","142dpi","LV_top","D11","P128",0.002399353,0.00575,0.000291966,0.002698221,0
"X698_Group9_142dpi_LV_top_208_G_D12_P128.mzXML",698,"combo","142dpi","LV_top","D12","P128",0.006393058,0.024657939,0.000140195,0.000879214,0
"X699_Group9_142dpi_LV_top_209_G_E1_P128.mzXML",699,"combo","142dpi","LV_top","E1","P128",0.004417419,0.02598592,0.000143508,0.0136,0.002311562
"X700_Group9_142dpi_LV_top_210_G_E2_P128.mzXML",700,"combo","142dpi","LV_top","E2","P128",0.01118388,0.032706861,0.00081296,0.0164,0.000436279
"X716_Group15_142dpi_LV_top_216_G_E8_P128.mzXML",716,"BNZ","142dpi","LV_top","E8","P128",0.011893198,0.022322169,0.000321172,0.006467595,0.000331555
"X717_Group15_142dpi_LV_top_217_G_E9_P128.mzXML",717,"BNZ","142dpi","LV_top","E9","P128",0.008511754,0.024692489,0.000140217,0,0
"X718_Group15_142dpi_LV_top_218_G_E10_P128.mzXML",718,"BNZ","142dpi","LV_top","E10","P128",0.003621968,0.024563097,0,0.002080392,0
"X719_Group15_142dpi_LV_top_219_G_E11_P128.mzXML",719,"BNZ","142dpi","LV_top","E11","P128",0.003737653,0.0145,0.0003056,0.006959895,0.000542014
"X720_Group15_142dpi_LV_top_220_G_E12_P128.mzXML",720,"BNZ","142dpi","LV_top","E12","P128",0.006483031,0.026892282,0.000720511,0.001803802,0.000445998
"X751_Group3E_142dpi_LV_top_226_G_F6_P128.mzXML",751,"infected","142dpi","LV_top","F6","P128",0.005862788,0.025648657,0.000233532,0.005367512,4.97e-05
"X752_Group3E_142dpi_LV_top_227_G_F7_P128.mzXML",752,"infected","142dpi","LV_top","F7","P128",0.008955573,0.031359081,0.000173171,0.002790791,0
"X753_Group3E_142dpi_LV_top_228_G_F8_P128.mzXML",753,"infected","142dpi","LV_top","F8","P128",0.004807144,0.02327324,0.000125781,0.018532792,0.00075828
"X754_Group3E_142dpi_LV_top_229_G_F9_P128.mzXML",754,"infected","142dpi","LV_top","F9","P128",0.006608647,0.020718858,0.000805279,0.001560383,0
"X755_Group3E_142dpi_LV_top_230_G_F10_P128.mzXML",755,"infected","142dpi","LV_top","F10","P128",0.002100443,0.00759,0.000482242,0.01047467,0.001108683
"X781_Group9_142dpi_LV_top_231_G_F11_P128.mzXML",781,"combo","142dpi","LV_top","F11","P128",0.001330723,0.00459,0.000153607,0.00169812,0.000190696
"X782_Group9_142dpi_LV_top_232_G_F12_P128.mzXML",782,"combo","142dpi","LV_top","F12","P128",0.001984121,0.00752,0.000186044,0.000890778,0.000326271
"X783_Group9_142dpi_LV_top_233_G_G1_P128.mzXML",783,"combo","142dpi","LV_top","G1","P128",0.003848343,0.00787102,0.000274015,0.005355796,0.000281382
"X784_Group9_142dpi_LV_top_234_G_G2_P128.mzXML",784,"combo","142dpi","LV_top","G2","P128",0.008439803,0.031820141,0.000229809,0.00321,0.000145121
"X785_Group9_142dpi_LV_top_235_G_G3_P128.mzXML",785,"combo","142dpi","LV_top","G3","P128",0.012026823,0.029775981,0.000290526,0.018035514,0.001581852
"X801_Group15_142dpi_LV_top_241_G_G9_P128.mzXML",801,"BNZ","142dpi","LV_top","G9","P128",0.002434748,0.020153196,7.32e-05,0,0
