"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML",501,"Group1A","naive","50dpi","RA","A1","P125",0.002276123,0.005112843,2.55e-05,0.004763915,4.86e-05
"X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML",502,"Group1A","naive","50dpi","RA","A2","P125",0.011214204,0.00753,0,6.07e-05,0
"X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML",503,"Group1A","naive","50dpi","RA","A3","P125",0.001466114,0.002284202,0,0.002540344,0
"X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML",504,"Group1A","naive","50dpi","RA","A4","P125",0.001911612,0.003449213,0,0.00034825,0
"X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML",505,"Group1A","naive","50dpi","RA","A5","P125",0.00194826,0.002946007,0,0.001875139,0
"X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML",521,"Group1A","naive","50dpi","RA","A6","P125",0.000759709,0.002598417,0,0.000693786,0
"X522_Group1A_50dpi_RA_257_B_A7_P125.mzXML",522,"Group1A","naive","50dpi","RA","A7","P125",0.001289244,0.00289,0,0.000527202,0
"X523_Group1A_50dpi_RA_258_B_A8_P125.mzXML",523,"Group1A","naive","50dpi","RA","A8","P125",0.006143484,0.004933557,0,3.45e-05,0
"X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML",524,"Group1A","naive","50dpi","RA","A9","P125",0.001736667,0.00302,0,0.000586597,0
"X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML",525,"Group1A","naive","50dpi","RA","A10","P125",0.006851618,0.003414049,0,0,0
"X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML",541,"Group1A","naive","50dpi","RA","A11","P125",0.000942294,0.00346,0,0.000316925,0
"X542_Group1A_50dpi_RA_262_B_A12_P125.mzXML",542,"Group1A","naive","50dpi","RA","A12","P125",0.001921839,0.009151301,0,0.003422258,0
"X543_Group1A_50dpi_RA_263_B_B1_P125.mzXML",543,"Group1A","naive","50dpi","RA","B1","P125",0.004837185,0.0077888,0,5.73e-05,0
"X544_Group1A_50dpi_RA_264_B_B2_P125.mzXML",544,"Group1A","naive","50dpi","RA","B2","P125",0.000703624,0.003154609,0,0.00080139,0
"X545_Group1A_50dpi_RA_265_B_B3_P125.mzXML",545,"Group1A","naive","50dpi","RA","B3","P125",0.000341934,0.001726156,0,0.00112631,0
"X506_Group1B_70dpi_RA_281_B_C7_P125.mzXML",506,"Group1B","naive","70dpi","RA","C7","P125",0.000583441,0.003228752,0,4.46e-05,0
"X507_Group1B_70dpi_RA_282_B_C8_P125.mzXML",507,"Group1B","naive","70dpi","RA","C8","P125",0.000430902,0.00127407,0,0.000533969,0
"X508_Group1B_70dpi_RA_283_B_C9_P125.mzXML",508,"Group1B","naive","70dpi","RA","C9","P125",0.004846783,0.006010626,0,0.001799281,2.34e-05
"X509_Group1B_70dpi_RA_284_B_C10_P125.mzXML",509,"Group1B","naive","70dpi","RA","C10","P125",0.005841696,0.006497116,0,0.00229,0
"X510_Group1B_70dpi_RA_285_B_C11_P125.mzXML",510,"Group1B","naive","70dpi","RA","C11","P125",0.007016807,0.00309,0,0,0
"X526_Group1B_70dpi_RA_286_B_C12_P125.mzXML",526,"Group1B","naive","70dpi","RA","C12","P125",0.003759032,0.006938287,0,0,0
"X527_Group1B_70dpi_RA_287_B_D1_P125.mzXML",527,"Group1B","naive","70dpi","RA","D1","P125",0.001259187,0.001938547,0,0.001138903,0
"X528_Group1B_70dpi_RA_288_B_D2_P125.mzXML",528,"Group1B","naive","70dpi","RA","D2","P125",0.005140563,0.008516537,0,0,0
"X529_Group1B_70dpi_RA_289_B_D3_P125.mzXML",529,"Group1B","naive","70dpi","RA","D3","P125",0.0016348,0.00412,0,0.00552,0
"X530_Group1B_70dpi_RA_290_B_D4_P125.mzXML",530,"Group1B","naive","70dpi","RA","D4","P125",0.000792616,0.00505707,0,0,0
"X546_Group1B_70dpi_RA_291_B_D5_P125.mzXML",546,"Group1B","naive","70dpi","RA","D5","P125",0.000479444,0.001652123,0,0.00125781,0
"X547_Group1B_70dpi_RA_292_B_D6_P125.mzXML",547,"Group1B","naive","70dpi","RA","D6","P125",0.005764559,0.004968538,0,0,0
"X548_Group1B_70dpi_RA_293_B_D7_P125.mzXML",548,"Group1B","naive","70dpi","RA","D7","P125",0.00237264,0.004829881,0,0.000174903,0
"X549_Group1B_70dpi_RA_294_B_D8_P125.mzXML",549,"Group1B","naive","70dpi","RA","D8","P125",0.004260605,0.006697132,0,0,0
"X550_Group1B_70dpi_RA_295_B_D9_P125.mzXML",550,"Group1B","naive","70dpi","RA","D9","P125",0.003945331,0.006688821,0,0,0
"X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML",511,"Group1C","naive","142dpi","RA","A1","P124",0.000654335,0.003736275,0,0.00083227,0
"X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML",512,"Group1C","naive","142dpi","RA","A2","P124",0.001902661,0.00722,0,0.003141999,0
"X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML",513,"Group1C","naive","142dpi","RA","A3","P124",0.005683259,0.00681,6.9e-05,0.010410065,0.000484937
"X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML",514,"Group1C","naive","142dpi","RA","A4","P124",0.004470928,0.004333828,0.000201159,0.001951171,0
"X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML",515,"Group1C","naive","142dpi","RA","A5","P124",0.00050434,0.00266,0,0.000772434,0
"X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML",531,"Group1C","naive","142dpi","RA","A6","P124",0.003767551,0.00947,0,0.00265,0
"X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML",532,"Group1C","naive","142dpi","RA","A7","P124",0.001517949,0.011335882,0,0.005563492,0
"X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML",533,"Group1C","naive","142dpi","RA","A8","P124",0.001959477,0.00474,0.000112444,0.00332913,0
"X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML",534,"Group1C","naive","142dpi","RA","A9","P124",0.002994415,0.0115363,0,0.000541951,0
"X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML",535,"Group1C","naive","142dpi","RA","A10","P124",0.000303758,0.002895742,0,0.000888971,0
"X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML",551,"Group1C","naive","142dpi","RA","A11","P124",0.004739988,0.0114,0,0.012963938,8.22e-05
"X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML",552,"Group1C","naive","142dpi","RA","A12","P124",0.000859999,0.00418,0,0.000440698,0
"X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML",553,"Group1C","naive","142dpi","RA","B1","P124",0.001795163,0.00316538,0.000113822,0.002203896,0
"X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML",554,"Group1C","naive","142dpi","RA","B2","P124",0.003370242,0.003699897,0,0.003042212,2.23e-05
"X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML",555,"Group1C","naive","142dpi","RA","B3","P124",0.001475775,0.00555,0,0.00172,0
"X561_Group3A_50dpi_RA_266_B_B4_P125.mzXML",561,"Group3A","infected","50dpi","RA","B4","P125",0.003684458,0.005552954,0,0,0
"X562_Group3A_50dpi_RA_267_B_B5_P125.mzXML",562,"Group3A","infected","50dpi","RA","B5","P125",0.002646336,0.00581,0,0.005541616,2.4e-05
"X563_Group3A_50dpi_RA_268_B_B6_P125.mzXML",563,"Group3A","infected","50dpi","RA","B6","P125",0.003186277,0.006654263,0,0,0
"X564_Group3A_50dpi_RA_269_B_B7_P125.mzXML",564,"Group3A","infected","50dpi","RA","B7","P125",0.004541371,0.008716514,0,9.71e-05,0
"X565_Group3A_50dpi_RA_270_B_B8_P125.mzXML",565,"Group3A","infected","50dpi","RA","B8","P125",0.001472963,0.003807316,0,0.000391559,0
"X646_Group3A_50dpi_RA_271_B_B9_P125.mzXML",646,"Group3A","infected","50dpi","RA","B9","P125",0.012293125,0.011466086,0,0.00064864,0
"X647_Group3A_50dpi_RA_272_B_B10_P125.mzXML",647,"Group3A","infected","50dpi","RA","B10","P125",0.006773545,0.008356624,0,0,0
"X648_Group3A_50dpi_RA_273_B_B11_P125.mzXML",648,"Group3A","infected","50dpi","RA","B11","P125",0.000812576,0.00287001,0,8.29e-05,0
"X649_Group3A_50dpi_RA_274_B_B12_P125.mzXML",649,"Group3A","infected","50dpi","RA","B12","P125",0.002446918,0.00289339,0,0.00073747,0
"X650_Group3A_50dpi_RA_275_B_C1_P125.mzXML",650,"Group3A","infected","50dpi","RA","C1","P125",0.001969498,0.002420676,0.000195625,3.37e-05,0
"X731_Group3A_50dpi_RA_276_B_C2_P125.mzXML",731,"Group3A","infected","50dpi","RA","C2","P125",0.002507661,0.00608,0.00023902,0.003137472,0.000151478
"X732_Group3A_50dpi_RA_277_B_C3_P125.mzXML",732,"Group3A","infected","50dpi","RA","C3","P125",0.000491421,0.000749468,0,0.006484704,0
"X733_Group3A_50dpi_RA_278_B_C4_P125.mzXML",733,"Group3A","infected","50dpi","RA","C4","P125",0.002312159,0.004971036,0,0.000348471,0
"X734_Group3A_50dpi_RA_279_B_C5_P125.mzXML",734,"Group3A","infected","50dpi","RA","C5","P125",0.009475039,0.013170502,0,0.001534339,0
"X735_Group3A_50dpi_RA_280_B_C6_P125.mzXML",735,"Group3A","infected","50dpi","RA","C6","P125",0.001799637,0.00588,7.88e-05,0.012214403,0.000271321
"X566_Group3B_70dpi_RA_296_B_D10_P125.mzXML",566,"Group3B","infected","70dpi","RA","D10","P125",0.001060358,0.003308686,0,0.001103053,0
"X567_Group3B_70dpi_RA_297_B_D11_P125.mzXML",567,"Group3B","infected","70dpi","RA","D11","P125",0.005003473,0.009575894,0,0,0
"X568_Group3B_70dpi_RA_298_B_D12_P125.mzXML",568,"Group3B","infected","70dpi","RA","D12","P125",0.00084426,0.003645286,0,0.000257413,0
"X569_Group3B_70dpi_RA_299_B_E1_P125.mzXML",569,"Group3B","infected","70dpi","RA","E1","P125",0.01005208,0.00976171,0,0,0
"X570_Group3B_70dpi_RA_300_B_E2_P125.mzXML",570,"Group3B","infected","70dpi","RA","E2","P125",0.003630729,0.005163071,0,0.004214737,0
"X651_Group3B_70dpi_RA_301_B_E3_P125.mzXML",651,"Group3B","infected","70dpi","RA","E3","P125",0.005566987,0.00522,0.000330583,0.003883003,2.55e-05
"X652_Group3B_70dpi_RA_302_B_E4_P125.mzXML",652,"Group3B","infected","70dpi","RA","E4","P125",0.001765973,0.002465739,0,0.004609635,0
