"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML",511,"naive","142dpi","RA","A1","P124",0.000654335,0.003736275,0,0.00083227,0
"X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML",512,"naive","142dpi","RA","A2","P124",0.001902661,0.00722,0,0.003141999,0
"X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML",513,"naive","142dpi","RA","A3","P124",0.005683259,0.00681,6.9e-05,0.010410065,0.000484937
"X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML",514,"naive","142dpi","RA","A4","P124",0.004470928,0.004333828,0.000201159,0.001951171,0
"X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML",515,"naive","142dpi","RA","A5","P124",0.00050434,0.00266,0,0.000772434,0
"X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML",531,"naive","142dpi","RA","A6","P124",0.003767551,0.00947,0,0.00265,0
"X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML",532,"naive","142dpi","RA","A7","P124",0.001517949,0.011335882,0,0.005563492,0
"X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML",533,"naive","142dpi","RA","A8","P124",0.001959477,0.00474,0.000112444,0.00332913,0
"X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML",534,"naive","142dpi","RA","A9","P124",0.002994415,0.0115363,0,0.000541951,0
"X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML",535,"naive","142dpi","RA","A10","P124",0.000303758,0.002895742,0,0.000888971,0
"X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML",551,"naive","142dpi","RA","A11","P124",0.004739988,0.0114,0,0.012963938,8.22e-05
"X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML",552,"naive","142dpi","RA","A12","P124",0.000859999,0.00418,0,0.000440698,0
"X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML",553,"naive","142dpi","RA","B1","P124",0.001795163,0.00316538,0.000113822,0.002203896,0
"X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML",554,"naive","142dpi","RA","B2","P124",0.003370242,0.003699897,0,0.003042212,2.23e-05
"X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML",555,"naive","142dpi","RA","B3","P124",0.001475775,0.00555,0,0.00172,0
