"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML",501,"Group1A","naive","50dpi","RV_bottom","A1","P141",0.002313098,0.005796944,5.47e-05,0,0
"X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML",502,"Group1A","naive","50dpi","RV_bottom","A2","P141",0.003466935,0.010414469,0.000750452,0.009553372,0.000984617
"X503_Group1A_50dpi_RV_bottom_253_B_A3_P141.mzXML",503,"Group1A","naive","50dpi","RV_bottom","A3","P141",0.002111373,0.004602643,0.000100047,0.004421777,0.000441179
"X504_Group1A_50dpi_RV_bottom_254_B_A4_P141.mzXML",504,"Group1A","naive","50dpi","RV_bottom","A4","P141",0.001233346,0.003703104,0,0.000801042,0
"X505_Group1A_50dpi_RV_bottom_255_B_A5_P141.mzXML",505,"Group1A","naive","50dpi","RV_bottom","A5","P141",0.00109856,0.00328344,0,0.000452443,0
"X521_Group1A_50dpi_RV_bottom_256_B_A6_P141.mzXML",521,"Group1A","naive","50dpi","RV_bottom","A6","P141",0.001121125,0.003342968,0,0,0
"X522_Group1A_50dpi_RV_bottom_257_B_A7_P141.mzXML",522,"Group1A","naive","50dpi","RV_bottom","A7","P141",0.000671581,0.002616693,0,0,0
"X523_Group1A_50dpi_RV_bottom_258_B_A8_P141.mzXML",523,"Group1A","naive","50dpi","RV_bottom","A8","P141",0.002048884,0.005757983,0,0,0
"X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML",524,"Group1A","naive","50dpi","RV_bottom","A9","P141",0.001117828,0.007541047,0,0.000285754,0
"X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML",525,"Group1A","naive","50dpi","RV_bottom","A10","P141",0.001033743,0.003375368,0,0,0
"X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML",541,"Group1A","naive","50dpi","RV_bottom","A11","P141",0.001183638,0.005218858,0,0,0
"X542_Group1A_50dpi_RV_bottom_262_B_A12_P141.mzXML",542,"Group1A","naive","50dpi","RV_bottom","A12","P141",0.001561074,0.004966668,7.18e-05,0,0
"X543_Group1A_50dpi_RV_bottom_263_B_B1_P141.mzXML",543,"Group1A","naive","50dpi","RV_bottom","B1","P141",0.001671901,0.005998015,0,9.08e-05,0
