"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML",511,"naive","142dpi","RV_bottom","A1","P140",0.011070737,0.001992138,0,0,0
"X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML",512,"naive","142dpi","RV_bottom","A2","P140",0.018662542,0.003579901,0,0,0
"X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML",513,"naive","142dpi","RV_bottom","A3","P140",0.012768515,0.002431946,0,0,0
"X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML",514,"naive","142dpi","RV_bottom","A4","P140",0.000315233,0.003336661,0,6.06e-05,0
"X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML",515,"naive","142dpi","RV_bottom","A5","P140",0.000593772,0.004155339,0,0,0
"X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML",531,"naive","142dpi","RV_bottom","A6","P140",0.000452,0.004626188,0,0,0
"X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML",532,"naive","142dpi","RV_bottom","A7","P140",0.000172605,0.002749717,0,0,0
"X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML",533,"naive","142dpi","RV_bottom","A8","P140",0.000379485,0.002792147,0,0,0
"X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML",534,"naive","142dpi","RV_bottom","A9","P140",0.018867684,0.004707539,0,0,0
"X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML",535,"naive","142dpi","RV_bottom","A10","P140",0.000431413,0.003617499,0,0,0
"X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML",551,"naive","142dpi","RV_bottom","A11","P140",0.000255216,0.002688105,0,0,0
"X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML",552,"naive","142dpi","RV_bottom","A12","P140",0.000625182,0.00367602,0,0,0
"X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML",553,"naive","142dpi","RV_bottom","B1","P140",0.000336561,0.002081335,0,0,0
"X554_Group1C_142dpi_RV_bottom_174_G_B2_P140.mzXML",554,"naive","142dpi","RV_bottom","B2","P140",0.000445159,0.002118063,0,0,0
"X555_Group1C_142dpi_RV_bottom_175_G_B3_P140.mzXML",555,"naive","142dpi","RV_bottom","B3","P140",0.000419589,0.002446562,0,0,0
"X581_Group3E_142dpi_RV_bottom_176_G_B4_P140.mzXML",581,"infected","142dpi","RV_bottom","B4","P140",0.014356123,0.001996371,0,0,0
"X582_Group3E_142dpi_RV_bottom_177_G_B5_P140.mzXML",582,"infected","142dpi","RV_bottom","B5","P140",0.011779334,0.00258527,0,0,0
"X583_Group3E_142dpi_RV_bottom_178_G_B6_P140.mzXML",583,"infected","142dpi","RV_bottom","B6","P140",0.000201895,0.002150646,0,0,0
"X584_Group3E_142dpi_RV_bottom_179_G_B7_P140.mzXML",584,"infected","142dpi","RV_bottom","B7","P140",0.000328386,0.002331377,0,0,0
"X585_Group3E_142dpi_RV_bottom_180_G_B8_P140.mzXML",585,"infected","142dpi","RV_bottom","B8","P140",0.000298403,0.00170941,0,0.000161409,0
"X611_Group9_142dpi_RV_bottom_181_G_B9_P140.mzXML",611,"combo","142dpi","RV_bottom","B9","P140",0.000278261,0.002583873,0,0,0
"X612_Group9_142dpi_RV_bottom_182_G_B10_P140.mzXML",612,"combo","142dpi","RV_bottom","B10","P140",0.007279973,0.002345146,0,0,0
"X613_Group9_142dpi_RV_bottom_183_G_B11_P140.mzXML",613,"combo","142dpi","RV_bottom","B11","P140",0.000214267,0.003085388,0,0,0
"X614_Group9_142dpi_RV_bottom_184_G_B12_P140.mzXML",614,"combo","142dpi","RV_bottom","B12","P140",0.000269569,0.002893949,0,0,0
"X615_Group9_142dpi_RV_bottom_185_G_C1_P140.mzXML",615,"combo","142dpi","RV_bottom","C1","P140",0.000466307,0.00246708,0,0,0
"X631_Group15_142dpi_RV_bottom_191_G_C7_P140.mzXML",631,"BNZ","142dpi","RV_bottom","C7","P140",6.5e-05,0.001412829,0,0,0
"X632_Group15_142dpi_RV_bottom_192_G_C8_P140.mzXML",632,"BNZ","142dpi","RV_bottom","C8","P140",0.000189248,0.002394802,0,0,0
"X633_Group15_142dpi_RV_bottom_193_G_C9_P140.mzXML",633,"BNZ","142dpi","RV_bottom","C9","P140",0.000267683,0.003025456,0,0,0
"X634_Group15_142dpi_RV_bottom_194_G_C10_P140.mzXML",634,"BNZ","142dpi","RV_bottom","C10","P140",0.000138145,0.002116952,0,0,0
"X635_Group15_142dpi_RV_bottom_195_G_C11_P140.mzXML",635,"BNZ","142dpi","RV_bottom","C11","P140",0,0.002608427,0,0,0
"X666_Group3E_142dpi_RV_bottom_201_G_D5_P140.mzXML",666,"infected","142dpi","RV_bottom","D5","P140",0.000150967,0.002384452,0,0,0
"X667_Group3E_142dpi_RV_bottom_202_G_D6_P140.mzXML",667,"infected","142dpi","RV_bottom","D6","P140",0.000157554,0.002622815,0,0,0
"X668_Group3E_142dpi_RV_bottom_203_G_D7_P140.mzXML",668,"infected","142dpi","RV_bottom","D7","P140",0.00012717,0.00231413,0,0,0
"X669_Group3E_142dpi_RV_bottom_204_G_D8_P140.mzXML",669,"infected","142dpi","RV_bottom","D8","P140",0.000126948,0.002443509,0,0,0
"X670_Group3E_142dpi_RV_bottom_205_G_D9_P140.mzXML",670,"infected","142dpi","RV_bottom","D9","P140",0.010210036,0.002974515,0,0,0
"X696_Group9_142dpi_RV_bottom_206_G_D10_P140.mzXML",696,"combo","142dpi","RV_bottom","D10","P140",0.000132232,0.002445518,0,0,0
"X697_Group9_142dpi_RV_bottom_207_G_D11_P140.mzXML",697,"combo","142dpi","RV_bottom","D11","P140",0.000170649,0.002374383,0,0,0
"X698_Group9_142dpi_RV_bottom_208_G_D12_P140.mzXML",698,"combo","142dpi","RV_bottom","D12","P140",9.81e-05,0.002207898,0,0,0
"X699_Group9_142dpi_RV_bottom_209_G_E1_P140.mzXML",699,"combo","142dpi","RV_bottom","E1","P140",0.0003298,0.002166461,0,0,0
"X700_Group9_142dpi_RV_bottom_210_G_E2_P140.mzXML",700,"combo","142dpi","RV_bottom","E2","P140",0.000312214,0.002898432,0,0,0
"X716_Group15_142dpi_RV_bottom_216_G_E8_P140.mzXML",716,"BNZ","142dpi","RV_bottom","E8","P140",0.017479238,0.002621634,0,0,0
"X717_Group15_142dpi_RV_bottom_217_G_E9_P140.mzXML",717,"BNZ","142dpi","RV_bottom","E9","P140",0.000344366,0.002474858,0,0,0
"X718_Group15_142dpi_RV_bottom_218_G_E10_P140.mzXML",718,"BNZ","142dpi","RV_bottom","E10","P140",0.00060947,0.004579832,0,0,0
"X719_Group15_142dpi_RV_bottom_219_G_E11_P140.mzXML",719,"BNZ","142dpi","RV_bottom","E11","P140",0.000178069,0.00194783,0,0,0
"X720_Group15_142dpi_RV_bottom_220_G_E12_P140.mzXML",720,"BNZ","142dpi","RV_bottom","E12","P140",0.000275836,0.002912757,0,0,0
"X751_Group3E_142dpi_RV_bottom_226_G_F6_P140.mzXML",751,"infected","142dpi","RV_bottom","F6","P140",0.000346352,0.002261944,0,0,0
"X752_Group3E_142dpi_RV_bottom_227_G_F7_P140.mzXML",752,"infected","142dpi","RV_bottom","F7","P140",0.000161167,0.002267574,0,0,0
"X753_Group3E_142dpi_RV_bottom_228_G_F8_P140.mzXML",753,"infected","142dpi","RV_bottom","F8","P140",0.000440472,0.003030276,0,0.000885563,0
"X754_Group3E_142dpi_RV_bottom_229_G_F9_P140.mzXML",754,"infected","142dpi","RV_bottom","F9","P140",0.000240445,0.00305751,0,0,0
"X755_Group3E_142dpi_RV_bottom_230_G_F10_P140.mzXML",755,"infected","142dpi","RV_bottom","F10","P140",0.009911927,0.001470668,0,0,0
"X781_Group9_142dpi_RV_bottom_231_G_F11_P140.mzXML",781,"combo","142dpi","RV_bottom","F11","P140",0.000518473,0.002450936,0,0,0
"X782_Group9_142dpi_RV_bottom_232_G_F12_P140.mzXML",782,"combo","142dpi","RV_bottom","F12","P140",0.000516055,0.004125776,0,0,0
"X783_Group9_142dpi_RV_bottom_233_G_G1_P140.mzXML",783,"combo","142dpi","RV_bottom","G1","P140",0.000288816,0.002990197,0,0,0
"X784_Group9_142dpi_RV_bottom_234_G_G2_P140.mzXML",784,"combo","142dpi","RV_bottom","G2","P140",0.000252958,0.002045549,0,0,0
"X785_Group9_142dpi_RV_bottom_235_G_G3_P140.mzXML",785,"combo","142dpi","RV_bottom","G3","P140",0.000312976,0.003218808,0,0,0
"X801_Group15_142dpi_RV_bottom_241_G_G9_P140.mzXML",801,"BNZ","142dpi","RV_bottom","G9","P140",0.00044238,0.002273473,0,0,0
"X802_Group15_142dpi_RV_bottom_242_G_G10_P140.mzXML",802,"BNZ","142dpi","RV_bottom","G10","P140",0.000432847,0.003496355,0,0,0
"X803_Group15_142dpi_RV_bottom_243_G_G11_P140.mzXML",803,"BNZ","142dpi","RV_bottom","G11","P140",0.000394852,0.002737354,0,0,0
"X804_Group15_142dpi_RV_bottom_244_G_G12_P140.mzXML",804,"BNZ","142dpi","RV_bottom","G12","P140",0.000443452,0.002942443,0,0,0
"X805_Group15_142dpi_RV_bottom_245_G_H1_P140.mzXML",805,"BNZ","142dpi","RV_bottom","H1","P140",0.000476418,0.003287744,0,0,0
