"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML",501,"Group1A","naive","50dpi","RV_top","A1","P137",0.000689227,0.003880256,0,0,0
"X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML",502,"Group1A","naive","50dpi","RV_top","A2","P137",0.001208015,0.005265772,0.000110198,0,0
"X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML",503,"Group1A","naive","50dpi","RV_top","A3","P137",0.000999221,0.005218108,0,0.000706719,0
"X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML",504,"Group1A","naive","50dpi","RV_top","A4","P137",0.001044375,0.003351871,0.000278093,0,0
"X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML",505,"Group1A","naive","50dpi","RV_top","A5","P137",0.00116119,0.003870088,5.15e-05,0,0
"X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML",521,"Group1A","naive","50dpi","RV_top","A6","P137",0.000810124,0.001880512,0,0.000214414,0
"X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML",522,"Group1A","naive","50dpi","RV_top","A7","P137",0.00114739,0.003885629,0.000210918,0.00041299,0
"X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML",523,"Group1A","naive","50dpi","RV_top","A8","P137",0.000670281,0.001730134,0,0,0
"X524_Group1A_50dpi_RV_top_259_B_A9_P137.mzXML",524,"Group1A","naive","50dpi","RV_top","A9","P137",0.000859935,0.003334185,3.29e-05,0.000195831,3.91e-05
"X525_Group1A_50dpi_RV_top_260_B_A10_P137.mzXML",525,"Group1A","naive","50dpi","RV_top","A10","P137",0.001271834,0.004240226,0.000294765,0,0
"X541_Group1A_50dpi_RV_top_261_B_A11_P137.mzXML",541,"Group1A","naive","50dpi","RV_top","A11","P137",0.000893822,0.005803087,8.35e-05,0.000181,4.03e-05
"X542_Group1A_50dpi_RV_top_262_B_A12_P137.mzXML",542,"Group1A","naive","50dpi","RV_top","A12","P137",0.001180891,0.004359884,0.000430324,0.000264804,0
"X543_Group1A_50dpi_RV_top_263_B_B1_P137.mzXML",543,"Group1A","naive","50dpi","RV_top","B1","P137",0.001371873,0.004164789,0,0.001462614,0
"X544_Group1A_50dpi_RV_top_264_B_B2_P137.mzXML",544,"Group1A","naive","50dpi","RV_top","B2","P137",0.001979859,0.005738524,4.17e-05,0.002308954,0.000141901
"X545_Group1A_50dpi_RV_top_265_B_B3_P137.mzXML",545,"Group1A","naive","50dpi","RV_top","B3","P137",0.001714081,0.005639228,0,0.000855173,0
"X506_Group1B_70dpi_RV_top_281_B_C7_P137.mzXML",506,"Group1B","naive","70dpi","RV_top","C7","P137",0.000704142,0.00331568,4.15e-05,0.000295251,0
"X507_Group1B_70dpi_RV_top_282_B_C8_P137.mzXML",507,"Group1B","naive","70dpi","RV_top","C8","P137",0.000269393,0.002105935,0,0,0
