number,group,well,burden,position,position_group
161,naive,A1,0.033099627,LVT,LVT_Group1C
162,naive,A2,0.083935927,LVT,LVT_Group1C
163,naive,A3,2.516359052,LVT,LVT_Group1C
164,naive,A4,0.105806783,LVT,LVT_Group1C
165,naive,A5,0,LVT,LVT_Group1C
166,naive,A6,0,LVT,LVT_Group1C
167,naive,A7,0,LVT,LVT_Group1C
169,naive,A9,0.270621912,LVT,LVT_Group1C
170,naive,A10,0.004335912,LVT,LVT_Group1C
171,naive,A11,0.101365519,LVT,LVT_Group1C
172,naive,A12,0.074439382,LVT,LVT_Group1C
174,naive,B2,0.006714872,LVT,LVT_Group1C
175,naive,B3,0.064340386,LVT,LVT_Group1C
177,infected,B5,4728.70433,LVT,LVT_Group3E
179,infected,B7,3187.191399,LVT,LVT_Group3E
180,infected,B8,1188.702311,LVT,LVT_Group3E
181,combo,B9,71.96341065,LVT,LVT_Group9
182,combo,B10,17.25667406,LVT,LVT_Group9
183,combo,B11,2.84957486,LVT,LVT_Group9
184,combo,B12,35.77276909,LVT,LVT_Group9
185,combo,C1,0.11677423,LVT,LVT_Group9
186,Group10,C2,8.877619508,LVT,LVT_Group10
187,Group10,C3,135.7488076,LVT,LVT_Group10
188,Group10,C4,23.90528312,LVT,LVT_Group10
189,Group10,C5,14.47443832,LVT,LVT_Group10
190,Group10,C6,306.6041376,LVT,LVT_Group10
191,BNZ,C7,0.45663244,LVT,LVT_Group15
192,BNZ,C8,0.025155573,LVT,LVT_Group15
193,BNZ,C9,0,LVT,LVT_Group15
194,BNZ,C10,0.0035597,LVT,LVT_Group15
195,BNZ,C11,8.541528437,LVT,LVT_Group15
201,infected,D5,94.68923728,LVT,LVT_Group3E
202,infected,D6,888.0448944,LVT,LVT_Group3E
203,infected,D7,2213.65743,LVT,LVT_Group3E
204,infected,D8,238.0678569,LVT,LVT_Group3E
205,infected,D9,1188.702311,LVT,LVT_Group3E
206,combo,D10,32.13619122,LVT,LVT_Group9
207,combo,D11,317.304785,LVT,LVT_Group9
208,combo,D12,2176.01111,LVT,LVT_Group9
209,combo,E1,11888.91724,LVT,LVT_Group9
212,Group10,E4,24.6337299,LVT,LVT_Group10
214,Group10,E6,5174.292925,LVT,LVT_Group10
215,Group10,E7,351.7000673,LVT,LVT_Group10
217,BNZ,E9,0,LVT,LVT_Group15
218,BNZ,E10,0.071621237,LVT,LVT_Group15
219,BNZ,E11,0.30514629,LVT,LVT_Group15
226,infected,F6,0,LVT,LVT_Group3E
228,infected,F8,8400.282231,LVT,LVT_Group3E
229,infected,F9,33.68836949,LVT,LVT_Group3E
230,infected,F10,24.42336629,LVT,LVT_Group3E
232,combo,F12,6.689335754,LVT,LVT_Group9
233,combo,G1,6.893174592,LVT,LVT_Group9
234,combo,G2,6.408549339,LVT,LVT_Group9
235,combo,G3,1077.05927,LVT,LVT_Group9
237,Group10,G5,17.78252304,LVT,LVT_Group10
238,Group10,G6,167.4904347,LVT,LVT_Group10
239,Group10,G7,2696.357176,LVT,LVT_Group10
240,Group10,G8,794.3546446,LVT,LVT_Group10
241,BNZ,G9,0.005955148,LVT,LVT_Group15
242,BNZ,G10,0,LVT,LVT_Group15
243,BNZ,G11,0.198735508,LVT,LVT_Group15
244,BNZ,G12,0.120849713,LVT,LVT_Group15
245,BNZ,H1,0.608614955,LVT,LVT_Group15
161,naive,A1,0,LVB,LVB_Group1C
162,naive,A2,3.34E-06,LVB,LVB_Group1C
163,naive,A3,1.07E-05,LVB,LVB_Group1C
164,naive,A4,0.217107385,LVB,LVB_Group1C
165,naive,A5,0.482975369,LVB,LVB_Group1C
166,naive,A6,3.944899964,LVB,LVB_Group1C
167,naive,A7,0,LVB,LVB_Group1C
168,naive,A8,0,LVB,LVB_Group1C
169,naive,A9,0.000509031,LVB,LVB_Group1C
170,naive,A10,0.000836475,LVB,LVB_Group1C
171,naive,A11,0.02377459,LVB,LVB_Group1C
172,naive,A12,0,LVB,LVB_Group1C
173,naive,B1,0,LVB,LVB_Group1C
174,naive,B2,0.009027108,LVB,LVB_Group1C
175,naive,B3,0.092280284,LVB,LVB_Group1C
176,infected,B4,113.4278859,LVB,LVB_Group3E
177,infected,B5,0.90996953,LVB,LVB_Group3E
178,infected,B6,0.104937295,LVB,LVB_Group3E
179,infected,B7,5.817450277,LVB,LVB_Group3E
180,infected,B8,638.5103793,LVB,LVB_Group3E
181,combo,B9,2.435549537,LVB,LVB_Group9
182,combo,B10,0.046976705,LVB,LVB_Group9
183,combo,B11,0,LVB,LVB_Group9
184,combo,B12,1.103177824,LVB,LVB_Group9
185,combo,C1,0,LVB,LVB_Group9
186,Group10,C2,0.492597644,LVB,LVB_Group10
187,Group10,C3,24.90134408,LVB,LVB_Group10
188,Group10,C4,532.7772654,LVB,LVB_Group10
189,Group10,C5,8.391685375,LVB,LVB_Group10
190,Group10,C6,1592.294019,LVB,LVB_Group10
191,BNZ,C7,0.240732869,LVB,LVB_Group15
192,BNZ,C8,1.62E-05,LVB,LVB_Group15
193,BNZ,C9,0,LVB,LVB_Group15
194,BNZ,C10,0.903746032,LVB,LVB_Group15
195,BNZ,C11,0.353150111,LVB,LVB_Group15
