filename,LVB.x,LVB.y,LVB
X105.07_2.767,group9,NA,group9
X119.049_2.765,NA,group15,group15
X128.018_0.344,NA,NA,not_restored
X136.062_0.301,NA,NA,not_restored
X136.097_0.551,NA,NA,not_restored
X137.046_0.35,NA,NA,not_restored
X137.046_0.42,NA,NA,not_restored
X203.007_0.309,NA,NA,not_restored
X249.112_2.768,group9,NA,group9
X251.037_0.323,NA,group15,group15
X256.264_3.225,NA,NA,not_restored
X258.207_2.775,group9,NA,group9
X267.123_2.767,group9,NA,group9
X285.133_2.768,NA,NA,not_restored
X291.146_2.39,NA,group15,group15
X296.258_2.976,NA,NA,not_restored
X301.115_0.328,NA,NA,not_restored
X301.115_0.413,NA,NA,not_restored
X324.327_3.455,NA,NA,not_restored
X351.217_2.741,NA,NA,not_restored
X352.306_2.997,group9,NA,group9
X369.17_2.767,group9,NA,group9
X380.993_2.164,NA,NA,not_restored
X386.717_2.856,NA,group15,group15
X387.193_2.842,group9,group15,group9_group15
X396.332_2.991,group9,NA,group9
X397.22_2.071,NA,NA,not_restored
X400.97_2.127,NA,NA,not_restored
X416.337_2.79,NA,NA,not_restored
X420.899_2.103,NA,NA,not_restored
X426.484_2.164,NA,NA,not_restored
X430.223_2.769,group9,NA,group9
X440.337_2.765,NA,NA,not_restored
X440.359_2.985,group9,NA,group9
X442.353_2.823,NA,NA,not_restored
X458.23_2.165,NA,NA,not_restored
X466.25_2.226,NA,NA,not_restored
X475.989_2.164,NA,NA,not_restored
X476.24_2.164,NA,NA,not_restored
X484.385_2.982,group9,NA,group9
X489.228_2.768,group9,NA,group9
X494.325_2.865,NA,group15,group15
X570.357_2.934,NA,NA,not_restored
X580.362_2.984,NA,NA,not_restored
X599.241_2.765,group9,NA,group9
X604.362_2.948,group9,NA,group9
X620.356_2.913,NA,group15,group15
X682.363_3.329,NA,NA,not_restored
X682.364_3.313,NA,NA,not_restored
X764.524_3.729,group9,group15,group9_group15
X790.38_2.768,group9,NA,group9
X792.329_2.764,group9,group15,group9_group15
X795.335_2.768,group9,NA,group9
X811.309_2.773,group9,group15,group9_group15
