filename,LVT.x,LVT.y,LVT
X249.112_2.768,group9,NA,group9
X608.227_2.768,group9,group15,group9_group15
X720.445_3.09,group9,NA,group9
X737.391_2.399,group9,NA,group9
X690.434_3.14,group9,NA,group9
X776.042_2.398,group9,group15,group9_group15
X776.095_2.398,group9,NA,group9
X776.148_2.398,group9,NA,group9
X776.359_2.398,group9,NA,group9
X819.433_2.399,group9,NA,group9
X296.258_2.976,group9,group15,group9_group15
X692.414_2.985,group9,NA,group9
X708.445_3.006,group9,group15,group9_group15
X867.281_2.399,group9,NA,group9
X546.029_2.319,group9,NA,group9
X141.091_1.54,group9,group15,group9_group15
X607.227_2.771,group9,NA,group9
X709.936_2.18,group9,group15,group9_group15
X366.373_3.699,group9,group15,group9_group15
X345.243_3.095,group9,NA,group9
X272.222_2.957,group9,NA,group9
X311.221_2.932,NA,group15,group15
X203.007_0.309,NA,group15,group15
X240.116_2.324,NA,NA,not_restored
X293.211_2.933,NA,group15,group15
X442.353_2.823,NA,NA,not_restored
X440.337_2.765,NA,group15,group15
