Disease_severity_metadata,annotation_fix,Correlation,FDR_pval,Effect_of_treatment
Liver_weight/Body_weight,Daunosamine,-0.5844,0.02643,Restored only by BNZ + Tc24 vaccine treatment
Liver_weight/Body_weight,m/z 175.148 RT 2.71 min,-0.5726,0.02643,Restored only by BNZ + Tc24 vaccine treatment
Liver_weight/Body_weight,m/z 249.112 RT 2.768 min ,0.709902,0.001717,Restored by both treatments
Liver_weight/Body_weight,m/z 489.228 RT 2.768 min ,0.646489,0.002913,Restored by both treatments
Liver_weight/Body_weight,m/z 599.241 RT 2.765 min ,0.652943,0.002913,Restored by both treatments
Ejection_Fraction,m/z 249.112 RT 2.768 min ,0.668012,0.002913,Restored by both treatments
Ejection_Fraction,m/z 489.228 RT 2.768 min ,0.647608,0.002913,Restored by both treatments
Ejection_Fraction,m/z 792.329 RT 2.764 min ,0.650838,0.002913,Restored by both treatments
Liver_weight/Body_weight,m/z 200.165 RT 3.207 min ,-0.63854,0.00322,Restored by both treatments
Ejection_Fraction,m/z 369.17 RT 2.767 min ,0.628921,0.003797,Restored by both treatments
Liver_weight/Body_weight,m/z 111.044 RT 2.768 min ,0.623457,0.003981,Restored by both treatments
Liver_weight/Body_weight,m/z 792.329 RT 2.764 min ,0.612692,0.004558,Restored by both treatments
Ejection_Fraction,m/z 599.241 RT 2.765 min ,0.612013,0.004558,Restored by both treatments
Ejection_Fraction,m/z 111.044 RT 2.768 min ,0.591684,0.00736,Restored by both treatments
QTc (s),m/z 198.15 RT 2.471 min ,-0.56396,0.013877,Restored by both treatments
Liver_weight/Body_weight,m/z 198.15 RT 2.471 min ,-0.5479,0.018955,Restored by both treatments
Liver_weight/Body_weight,m/z 333.063 RT 2.524 min ,-0.53477,0.023921,Restored by both treatments
Liver_weight/Body_weight,m/z 216.16 RT 2.471 min ,-0.50313,0.044246,Restored by both treatments
Liver_weight/Body_weight,PC 22:3;O,-0.49922,0.045094,Restored by both treatments
Liver_weight/Body_weight,Hypoxanthine,-0.73039,0.000617,Not restored by any treatment
Liver_weight/Body_weight,m/z 278.248 RT 3.1 min ,-0.72638,0.000617,Not restored by any treatment
Liver_weight/Body_weight,m/z 280.264 RT 3.159 min ,-0.69456,0.001539,Not restored by any treatment
Liver_weight/Body_weight,Adenosine,-0.6551,0.004786,Not restored by any treatment
Liver_weight/Body_weight,m/z 228.196 RT 2.71 min ,-0.6298,0.008604,Not restored by any treatment
Liver_weight/Body_weight,m/z 256.227 RT 2.847 min ,-0.6229,0.008833,Not restored by any treatment
Liver_weight/Body_weight,m/z 242.212 RT 2.78 min ,-0.59375,0.013134,Not restored by any treatment
Liver_weight/Body_weight,m/z 296.259 RT 2.971 min ,-0.6002,0.013134,Not restored by any treatment
Liver_weight/Body_weight,m/z 306.279 RT 2.989 min ,-0.58729,0.013134,Not restored by any treatment
Ejection_Fraction,Inosine,-0.58843,0.013134,Not restored by any treatment
P Amplitude (V),N-Lauroylsarcosine,0.593771,0.013134,Not restored by any treatment
Liver_weight/Body_weight,m/z 306.279 RT 3.212 min ,-0.57016,0.018742,Not restored by any treatment
Liver_weight/Body_weight,m/z 308.295 RT 3.045 min ,-0.56059,0.021925,Not restored by any treatment
Liver_weight/Body_weight,m/z 258.207 RT 2.775 min ,-0.54813,0.027175,Not restored by any treatment
Liver_weight/Body_weight,Oleamide,-0.54278,0.027175,Not restored by any treatment
Liver_weight/Body_weight,m/z 308.295 RT 3.285 min ,-0.54323,0.027175,Not restored by any treatment
Liver_weight/Body_weight,m/z 399.395 RT 3.152 min ,0.539657,0.027463,Not restored by any treatment
Liver_weight/Body_weight,m/z 811.31 RT 2.767 min ,0.537175,0.027463,Not restored by any treatment
Ejection_Fraction,m/z 399.395 RT 3.152 min ,0.533812,0.028069,Not restored by any treatment
Liver_weight/Body_weight,m/z 399.394 RT 3.159 min ,-0.52046,0.035771,Not restored by any treatment
P Amplitude (V),m/z 811.309 RT 2.773 min ,0.513207,0.039769,Not restored by any treatment
Ejection_Fraction,Hypoxanthine,-0.50078,0.049107,Not restored by any treatment
