mass,LVT
X105.07_2.767,1
X119.049_2.77,1
X123.056_0.323,1
X138.043_0.325,1
X182.985_6.327,1
X207.986_0.312,1
X209.055_2.25,1
X226.081_2.237,1
X271.104_0.331,1
X285.133_2.768,1
X293.162_2.447,1
X293.211_2.931,1
X301.114_0.419,1
X309.156_2.415,1
X331.177_2.552,1
X352.248_2.931,1
X353.191_2.187,1
X369.17_2.767,1
X380.993_2.164,1
X391.211_2.639,1
X414.14_2.772,1
X415.157_0.304,1
X420.899_2.103,1
X449.738_2.229,1
X455.725_2.239,1
X458.23_2.165,1
X466.25_2.226,1
X475.989_2.164,1
X476.24_2.164,1
X489.228_2.768,1
X582.32_2.721,1
X582.56_2.226,1
X604.362_2.948,1
X632.392_2.97,1
X635.813_2.371,1
X706.399_2.251,1
X769.062_2.339,1
X776.253_2.398,1
X776.411_2.398,1
X776.937_2.392,1
X795.335_2.768,1
X819.267_2.398,1
X822.713_2.529,1
X850.482_2.542,1
X867.281_2.399,1
X867.576_2.399,1
X867.634_2.399,1
X907.276_2.579,1
X907.526_2.579,1
X137.046_0.35,1
X269.088_0.35,1
