mass,DPI_50
X1147.751_3.056,1
X153.041_0.412,1
X158.922_0.307,1
X221.06_2.396,1
X267.123_2.767,1
X281.102_2.768,1
X285.133_2.768,1
X291.146_2.39,1
X354.264_2.856,1
X387.181_2.767,1
X409.162_2.768,1
X489.228_2.768,1
X508.376_2.995,1
X534.286_3.175,1
X550.351_3.01,1
X564.365_3.022,1
X596.393_3.06,1
X604.362_3.06,1
X620.356_2.913,1
X624.388_3.054,1
X638.403_3.073,1
X650.403_3.074,1
X652.418_3.078,1
X662.403_3.098,1
X664.418_3.004,1
X666.433_3.092,1
X674.439_3.163,1
X676.418_3.107,1
X692.449_3.051,1
X696.445_3.083,1
X704.45_3.153,1
X710.461_3.089,1
X716.485_3.266,1
X720.445_3.09,1
X722.461_3.045,1
X732.445_3.025,1
X732.445_3.057,1
X758.531_3.388,1
X786.601_5.59,1
X795.335_2.768,1
X798.563_3.38,1
X800.578_3.681,1
X802.558_3.408,1
X814.521_3.283,1
X814.522_3.363,1
X814.559_3.275,1
X874.579_3.277,1
X896.564_3.284,1
X900.523_3.093,1
X137.046_0.35,1
X269.088_0.35,1
