mass,DPI_142
X105.07_2.767,1
X111.044_2.768,1
X119.049_2.765,1
X125.071_0.362,1
X128.018_0.336,1
X128.018_0.344,1
X136.062_0.301,1
X136.097_0.551,1
X137.046_0.42,1
X150.059_0.3,1
X203.007_0.309,1
X249.112_2.768,1
X251.037_0.323,1
X256.264_3.225,1
X258.207_2.775,1
X258.28_2.809,1
X263.081_2.774,1
X281.102_2.768,1
X293.162_2.447,1
X296.258_2.976,1
X296.259_2.971,1
X301.115_0.328,1
X319.227_2.913,1
X324.327_3.455,1
X331.177_2.552.1,1
X352.306_2.997,1
X369.17_2.767,1
X380.993_2.164,1
X387.181_2.767,1
X387.193_2.842,1
X396.332_2.991,1
X397.22_2.071,1
X400.97_2.127,1
X406.154_2.765,1
X416.337_2.79,1
X420.899_2.103,1
X426.484_2.164,1
X430.223_2.769,1
X440.338_2.763,1
X442.353_2.819,1
X444.369_2.876,1
X455.725_2.239,1
X458.23_2.165,1
X466.25_2.226,1
X475.989_2.164,1
X476.24_2.164,1
X484.385_2.982,1
X489.228_2.768,1
X518.325_2.837,1
X580.361_2.989,1
X580.362_2.984,1
X599.241_2.765,1
X604.362_2.948,1
X636.064_2.371,1
X636.424_3.106,1
X682.363_3.329,1
X682.364_3.313,1
X764.524_3.729,1
X790.38_2.768,1
X792.329_2.764,1
X795.335_2.768,1
X811.309_2.773,1
X137.046_0.35,1
X269.088_0.35,1
