filename,organ,X137.046_0.35,X482.361_2.958
LA_50DPI,LA,0.025770797,0.258659701
LA_75DPI,LA,0.321030403,0.157020426
LA_142DPI,LA,0.044526217,0.646058266
RA_50DPI,RA,0.461848066,1
RA_75DPI,RA,0.055533692,0.831138905
RA_142DPI,RA,0.034163311,1
LVT_50DPI,LVT,0.003186753,0.983030584
LVT_75DPI,LVT,0.052742814,1
LVT_142DPI,LVT,0.605896046,0.641365362
LVB_50DPI,LVB,0.002628971,0.672162367
LVB_75DPI,LVB,0.001539285,0.006149937
LVB_142DPI,LVB,0.001441587,0.943534845
RVT_50DPI,RVT,0.012676507,0.392602256
RVT_75DPI,RVT,0.349431239,0.019215057
RVT_142DPI,RVT,1.86E-05,0.07870729
RVB_50DPI,RVB,0.001382629,0.554843241
RVB_75DPI,RVB,0.125393857,0.022382544
RVB_142DPI,RVB,5.64E-05,NA
