filename,LA_142DPI
X137.046_0.35,0.044526217
X269.088_0.35,0.640236429
X169.036_0.375,0.495885062
X338.342_3.533,1
X387.181_2.767,0.640236429
X311.081_2.525,0.78491085
X228.196_2.71,0.640236429
X404.207_2.768,0.640236429
X496.341_2.926,1
X310.31_3.391,1
X228.196_3.321,1
X285.022_2.394,1
X336.326_3.156,0.495885062
X524.372_3.04,1
X596.357_2.948,0.640236429
X409.162_2.768,0.640236429
X244.191_2.61,0.640236429
X624.388_3.054,0.109507256
X226.181_2.61,0.640236429
X238.1_2.259,0.456728943
X226.181_3.32,0.932391163
X244.191_3.324,1
X638.403_3.073,0.635538073
X287.018_2.395,1
X489.228_2.768,0.386209983
X110.021_5.865,0.895414194
X312.326_3.521,0.640236429
X610.372_2.951,1
X110.021_6.211,0.66943602
X580.361_2.989,0.640236429
X183.15_2.549,0.640236429
X637.306_3.32,0.640236429
X146.981_3.86,0.640236429
X105.07_2.767,0.640236429
X352.321_3.187,0.436529995
X432.238_2.769,0.640236429
X200.165_3.207,0.9087694
X267.123_2.767,0.584922127
X200.165_2.552,1
X126.022_0.338,0.932391163
X608.393_3.098,0.007881477
X666.434_3.024,0.836679947
X123.056_0.323,0.878125575
X240.097_2.259,0.334634488
X522.357_2.957,0.640236429
X482.325_3.027,0.640236429
X308.295_3.045,0.640236429
X258.206_2.778,0.836679947
X650.44_3.113,0.640236429
X333.063_2.524,1
X594.377_3,1
X282.279_3.26,0.640236429
X285.133_2.768,0.640236429
X790.38_2.768,0.640236429
X417.337_3.233,0.640236429
X582.341_3.046,0.888097236
X622.409_3.109,0.495885062
X100.076_2.546,0.769274328
X366.373_3.699,1
X401.342_3.422,0.640236429
X340.357_3.733,0.640236429
X636.388_2.978,0.744784373
X214.181_2.634,0.640236429
X198.15_2.471,1
X132.102_0.307,0.456728943
X113.964_6.456,0.640236429
X678.478_3.062,0.640236429
X110.021_5.953,0.640236429
X369.352_3.849,0.650425885
X369.17_2.767,0.635538073
X568.341_2.887,1
X221.111_2.312,0.351556002
X435.347_3.219,0.640236429
X321.315_3.533,0.963780656
X634.453_3.069,0.640236429
X208.17_3.328,0.978275557
X694.465_3.135,1
X216.196_2.567,0.872593177
X313.077_2.525,1
X354.337_3.278,1
X216.16_2.471,0.895414194
X137.046_0.42,0.47768826
X111.092_5.384,0.640236429
X652.382_2.947,1
X520.341_2.89,0.693790673
X425.136_2.773,0.640236429
X795.335_2.768,0.640236429
X280.263_3.169,0.181990431
X256.264_3.225,0.954381948
X198.186_3.331,0.872593177
X113.964_6.627,0.640236429
X111.092_5.093,0.84647764
X256.227_2.847,0.954381948
X295.227_3.017,0.640236429
X111.092_4.634,0.973624439
X454.294_2.917,1
X122.072_5.438,0.854665549
X722.505_3.058,0.640236429
X432.238_2.839,0.933037258
X590.427_3.075,0.611683461
X554.31_2.942,0.640236429
X544.34_2.89,0.72011978
X766.53_3.05,0.640236429
X103.956_5.525,0.640236429
X646.408_3.051,0.829162544
X232.191_2.63,0.978275557
X308.295_3.285,0.640236429
X524.335_2.977,1
X680.414_3.051,0.640236429
X666.433_3.092,0.181990431
X230.248_2.715,0.872593177
X678.469_3.244,0.319592798
X224.084_2.236,0.640236429
X281.102_2.768,0.635538073
X526.294_2.877,0.954381948
X301.285_2.662,0.848923212
X216.16_3.213,0.798364036
X375.199_2.868,0.635538073
X283.118_2.713,1
X664.419_3.086,0.456728943
X343.296_2.691,0.640236429
X608.393_3.002,0.78491085
X550.351_3.01,0.798364036
X324.29_3.082,0.518605326
X128.118_5.106,0.790843306
X694.465_3.092,0.640236429
X175.148_2.71,0.640236429
X278.248_3.1,0.640236429
X266.173_2.61,1
X250.178_2.71,0.640236429
X198.149_3.205,0.78491085
X566.346_3.087,0.9087694
X607.227_2.771,0.658885092
X385.346_3.54,1
X546.401_3.081,0.640236429
X334.31_3.1,0.281986307
X650.366_2.938,0.798364036
X272.222_2.957,0.640236429
X272.222_2.809,0.835640632
X340.285_3.14,0.640236429
X734.57_3.377,0.663554159
X191.143_3.329,1
X570.341_2.875,0.640236429
X622.408_3.044,0.640236429
X198.185_2.612,0.775957572
X113.964_6.749,0.843067827
X173.132_3.332,0.635538073
X296.258_2.976,0.47768826
X324.326_3.469,0.9087694
X568.361_2.947,1
X319.3_3.156,0.181990431
X199.989_2.374,0.640236429
X678.471_3.228,0.635538073
X622.372_2.977,0.47768826
X399.326_3.225,0.640236429
X334.311_3.335,0.848923212
X480.309_2.951,0.744784373
X502.294_2.879,0.640236429
X786.601_3.279,0.640236429
X650.402_3.006,0.177569439
X674.439_3.163,0.640236429
X184.074_0.312,0.616236333
X113.964_1.584,0.893969073
X175.148_3.322,1
X385.346_3.401,0.931419
X113.964_1.491,0.810712519
X636.423_3.105,0.950093746
X810.557_3.053,0.640236429
X209.177_3.331,0.609030753
X387.192_2.843,0.098306115
X113.964_1.63,1
X474.249_2.887,1
X786.601_3.393,0.836679947
X128.118_4.636,0.635538073
